f_D,j_C_C,j_C_H,Re_C,Re_C_std,Re_H,Re_H_std,rmsd_fiber,rmsd_TC,rmsd_DP,rmsd_Tout,rmsd_qdot,DP_C,DP_H,T_C_out,T_H_out,qdot_C,qdot_H
0.0100,1.0000e-04,1.9953e-04,2.5654e+03,519.0727,2.8060e+03,427.7117,124.6176,155.1102,8.6596e+03,319.1871,8.5568e+03,48.6624,283.5826,82.4822,377.0124,1.9997e+03,-1.9939e+03
0.0100,1.0000e-04,3.9811e-04,2.6658e+03,557.1077,2.8289e+03,432.4617,141.3769,157.7197,8.6604e+03,306.8028,8.1715e+03,51.9651,280.0922,91.3280,360.9087,2.3853e+03,-2.3791e+03
0.0100,1.9953e-04,1.0000e-04,2.5103e+03,498.6637,2.7959e+03,426.1859,147.8763,186.8254,8.6594e+03,324.7645,8.7386e+03,47.1162,285.1081,78.8901,384.6345,1.8183e+03,-1.8118e+03
0.0100,0.0501,3.9811e-04,2.9039e+03,624.4614,3.1016e+03,534.6937,147.1044,161.9097,8.6726e+03,178.8360,4.8049e+03,77.8345,241.9954,209.5747,221.2620,5.7573e+03,-5.7423e+03
2.5119,7.9433e-04,1.0000e-04,2.5946e+03,537.8798,2.8205e+03,432.6404,186.6249,222.0403,4.2910e+04,313.1741,8.3726e+03,1.2510e+04,7.0872e+04,87.0373,369.4788,2.1858e+03,-2.1764e+03
2.5119,7.9433e-04,1.9953e-04,2.8101e+03,615.9925,2.9065e+03,457.5923,149.8980,179.5146,4.0858e+04,269.5846,7.1173e+03,1.5058e+04,6.7649e+04,122.6348,317.1680,3.4440e+03,-3.4294e+03
2.5119,7.9433e-04,3.9811e-04,2.9150e+03,623.1297,3.0080e+03,494.6976,106.9310,132.1186,3.8752e+04,217.9177,5.7711e+03,1.7921e+04,6.4130e+04,170.7645,261.1139,4.7945e+03,-4.7722e+03
2.5119,7.9433e-04,7.9433e-04,2.9392e+03,605.5306,3.1019e+03,535.8296,74.7234,94.5392,3.7037e+04,171.8195,4.6140e+03,2.0416e+04,6.1047e+04,216.2042,213.6501,5.9566e+03,-5.9256e+03
2.5119,7.9433e-04,0.0016,2.9341e+03,590.8606,3.1698e+03,568.3641,62.7332,71.8694,3.5881e+04,138.8968,3.7859e+03,2.2213e+04,5.8820e+04,249.7145,180.8306,6.7891e+03,-6.7506e+03
2.5119,7.9433e-04,0.0032,2.9247e+03,582.6404,3.2097e+03,587.7340,63.8214,61.3115,3.5204e+04,118.7008,3.2690e+03,2.3347e+04,5.7433e+04,270.7947,161.2690,7.3092e+03,-7.2655e+03
2.5119,7.9433e-04,0.0063,2.9177e+03,578.6326,3.2302e+03,597.6081,67.6030,57.3969,3.4840e+04,107.4141,2.9751e+03,2.3998e+04,5.6651e+04,282.7977,150.5991,7.6050e+03,-7.5585e+03
2.5119,7.9433e-04,0.0126,2.9134e+03,576.7874,3.2401e+03,602.4217,70.4822,56.1081,3.4653e+04,101.4257,2.8170e+03,2.4351e+04,5.6235e+04,289.2419,145.0320,7.7638e+03,-7.7164e+03
2.5119,7.9433e-04,0.0251,2.9110e+03,575.9384,3.2449e+03,604.7859,72.1981,55.6757,3.4558e+04,98.3359,2.7345e+03,2.4535e+04,5.6021e+04,292.5906,142.1900,7.8463e+03,-7.7991e+03
2.5119,7.9433e-04,0.0501,2.9097e+03,575.5431,3.2473e+03,605.9476,73.1321,55.5132,3.4510e+04,96.7643,2.6921e+03,2.4629e+04,5.5912e+04,294.3009,140.7538,7.8884e+03,-7.8420e+03
0.0100,0.0501,7.9433e-04,2.8701e+03,606.9224,3.2666e+03,613.8093,108.5134,108.8193,8.6804e+03,107.6460,3.0127e+03,91.0372,220.0008,282.9170,151.3391,7.5593e+03,-7.5280e+03
