f_D,j_C_C,j_C_H,Re_C,Re_C_std,Re_H,Re_H_std,rmsd_fiber,rmsd_TC,rmsd_DP,rmsd_Tout,rmsd_qdot,DP_C,DP_H,T_C_out,T_H_out,qdot_C,qdot_H
0.0100,1.0000e-04,1.9953e-04,5.4148e+03,1.1560e+03,7.3271e+03,1.1162e+03,134.7957,178.6609,6.3885e+04,328.3185,2.2577e+04,258.2821,2.6741e+03,58.0598,388.6111,4.7402e+03,-4.7287e+03
0.0100,1.0000e-04,3.9811e-04,5.7376e+03,1.3966e+03,7.3837e+03,1.1274e+03,154.5346,184.5847,6.3898e+04,319.0299,2.1722e+04,275.6186,2.6454e+03,62.3967,374.6191,5.5952e+03,-5.5843e+03
0.0100,1.9953e-04,1.0000e-04,5.3657e+03,1.1190e+03,7.3174e+03,1.1165e+03,142.9840,193.1493,6.3883e+04,329.9509,2.2730e+04,255.7156,2.6788e+03,57.4657,391.2138,4.5897e+03,-4.5739e+03
0.0100,0.0501,3.9811e-04,7.2637e+03,2.0800e+03,8.3118e+03,1.5055e+03,161.6323,176.1814,6.4088e+04,176.6073,1.1618e+04,490.8134,2.2387e+03,182.8382,208.7765,1.5702e+04,-1.5685e+04
2.5119,7.9433e-04,1.0000e-04,5.7897e+03,1.4230e+03,7.4061e+03,1.1392e+03,185.4265,223.7305,4.2995e+05,317.3729,2.1586e+04,7.0066e+04,6.9082e+05,63.6620,372.5843,5.7348e+03,-5.7172e+03
2.5119,7.9433e-04,1.9953e-04,6.6811e+03,1.9331e+03,7.6397e+03,1.2117e+03,143.6400,176.4265,4.0925e+05,278.6340,1.8423e+04,8.7533e+04,6.6036e+05,89.4588,320.8196,8.9027e+03,-8.8754e+03
2.5119,7.9433e-04,3.9811e-04,7.2466e+03,2.0911e+03,7.8917e+03,1.3126e+03,93.7189,125.6016,3.9012e+05,233.4434,1.5245e+04,1.0813e+05,6.3106e+05,128.0758,268.3859,1.2088e+04,-1.2045e+04
2.5119,7.9433e-04,7.9433e-04,7.5027e+03,2.0705e+03,8.1009e+03,1.4187e+03,65.2865,93.2000,3.7677e+05,194.6897,1.2707e+04,1.2650e+05,6.0937e+05,164.2760,226.4470,1.4635e+04,-1.4574e+04
2.5119,7.9433e-04,0.0016,7.6054e+03,2.0189e+03,8.2397e+03,1.5032e+03,69.3549,80.7460,3.6934e+05,168.1713,1.1005e+04,1.3998e+05,5.9629e+05,189.9327,198.6012,1.6345e+04,-1.6267e+04
2.5119,7.9433e-04,0.0032,7.6469e+03,1.9797e+03,8.3183e+03,1.5577e+03,82.4151,78.9648,3.6576e+05,152.4166,9.9932e+03,1.4862e+05,5.8937e+05,205.4689,182.3366,1.7364e+04,-1.7273e+04
2.5119,7.9433e-04,0.0063,7.6643e+03,1.9559e+03,8.3589e+03,1.5888e+03,92.1290,80.1720,3.6414e+05,143.7863,9.4346e+03,1.5362e+05,5.8592e+05,214.0825,173.5283,1.7926e+04,-1.7828e+04
2.5119,7.9433e-04,0.0126,7.6722e+03,1.9433e+03,8.3791e+03,1.6057e+03,97.8490,81.4699,3.6341e+05,139.2605,9.1389e+03,1.5634e+05,5.8424e+05,218.6358,168.9474,1.8224e+04,-1.8122e+04
