f_D,j_C_C,j_C_H,Re_C,Re_C_std,Re_H,Re_H_std,rmsd_fiber,rmsd_TC,rmsd_DP,rmsd_Tout,rmsd_qdot,DP_C,DP_H,T_C_out,T_H_out,qdot_C,qdot_H
0.0100,1.0000e-04,1.9953e-04,4.1491e+03,1.0525e+03,4.7626e+03,732.9470,190.9368,177.5090,2.9451e+04,341.1868,1.5093e+04,132.1634,1.1530e+03,60.3086,382.5743,4.1287e+03,-4.1165e+03
0.0100,1.0000e-04,3.9811e-04,4.4428e+03,1.2032e+03,4.8157e+03,746.3112,234.2708,169.2946,2.9456e+04,325.7025,1.4224e+04,146.4717,1.1357e+03,69.8473,360.8861,4.9986e+03,-4.9852e+03
0.0100,1.9953e-04,1.0000e-04,3.9693e+03,949.8340,4.7259e+03,724.3521,141.0520,220.8392,2.9446e+04,350.4569,1.5666e+04,124.8311,1.1656e+03,56.0138,396.8589,3.5564e+03,-3.5431e+03
0.0100,0.0501,3.9811e-04,4.9774e+03,1.3629e+03,5.3640e+03,982.3022,138.2986,186.4131,2.9520e+04,192.0319,8.3474e+03,235.2634,977.1745,191.7650,213.0297,1.0874e+04,-1.0862e+04
2.5119,7.9433e-04,1.0000e-04,4.1651e+03,1.0570e+03,4.7686e+03,736.0649,147.3556,252.6811,1.8233e+05,340.3322,1.5068e+04,3.3417e+04,2.9437e+05,61.4779,382.0412,4.1547e+03,-4.1398e+03
2.5119,7.9433e-04,1.9953e-04,4.7402e+03,1.3394e+03,4.9474e+03,794.2772,133.7773,204.3648,1.7222e+05,292.5783,1.2618e+04,4.2892e+04,2.7941e+05,96.6752,320.8340,6.6102e+03,-6.5862e+03
2.5119,7.9433e-04,3.9811e-04,5.0230e+03,1.3733e+03,5.1667e+03,889.1773,134.6910,148.5465,1.6179e+05,232.6109,9.9922e+03,5.4326e+04,2.6326e+05,151.6412,254.6931,9.2443e+03,-9.2027e+03
2.5119,7.9433e-04,7.9433e-04,5.0870e+03,1.3244e+03,5.3813e+03,1.0064e+03,154.2361,103.4190,1.5326e+05,178.2579,7.7395e+03,6.4512e+04,2.4926e+05,204.8452,198.1056,1.1507e+04,-1.1446e+04
2.5119,7.9433e-04,0.0016,5.0766e+03,1.2839e+03,5.5472e+03,1.1111e+03,177.0169,74.9827,1.4747e+05,139.3231,6.1238e+03,7.1938e+04,2.3920e+05,244.1392,158.5877,1.3132e+04,-1.3052e+04
2.5119,7.9433e-04,0.0032,5.0550e+03,1.2623e+03,5.6511e+03,1.1811e+03,193.9489,60.6154,1.4408e+05,115.4483,5.1112e+03,7.6684e+04,2.3299e+05,268.8595,134.9033,1.4151e+04,-1.4057e+04
