f_D,j_C_C,j_C_H,Re_C,Re_C_std,Re_H,Re_H_std,rmsd_fiber,rmsd_TC,rmsd_DP,rmsd_Tout,rmsd_qdot,DP_C,DP_H,T_C_out,T_H_out,qdot_C,qdot_H
0.0100,1.0000e-04,1.9953e-04,6.5559e+03,1.6449e+03,8.5963e+03,1.3171e+03,125.8954,169.9112,8.8108e+04,312.1150,2.4617e+04,368.2064,3.7553e+03,66.5207,376.3011,6.4747e+03,-6.4565e+03
0.0100,1.0000e-04,3.9811e-04,7.0009e+03,1.8923e+03,8.6915e+03,1.3397e+03,135.6533,166.9001,8.8136e+04,298.2493,2.3228e+04,400.0937,3.6984e+03,74.2450,356.7157,7.8648e+03,-7.8456e+03
0.0100,1.9953e-04,1.0000e-04,6.3156e+03,1.4966e+03,8.5477e+03,1.3075e+03,158.4826,200.0159,8.8093e+04,319.0050,2.5340e+04,353.0553,3.7850e+03,63.3014,386.5225,5.7528e+03,-5.7325e+03
0.0100,0.0501,3.9811e-04,8.2953e+03,2.3786e+03,9.6741e+03,1.7530e+03,164.8765,173.7216,8.8400e+04,169.5140,1.2931e+04,641.8403,3.1867e+03,186.0779,210.8781,1.8164e+04,-1.8141e+04
2.5119,7.9433e-04,1.0000e-04,6.7265e+03,1.7375e+03,8.3289e+03,1.3255e+03,198.3716,230.8916,4.9070e+05,308.4569,2.4142e+04,9.5540e+04,8.1039e+05,69.5887,372.0968,6.9233e+03,-6.9584e+03
2.5119,7.9433e-04,1.9953e-04,7.7456e+03,2.2620e+03,8.5892e+03,1.3373e+03,163.3204,190.6978,4.8109e+05,264.4990,2.0078e+04,1.2020e+05,7.9467e+05,100.9174,316.1165,1.1001e+04,-1.1008e+04
2.5119,7.9433e-04,3.9811e-04,8.3261e+03,2.3924e+03,8.8972e+03,1.4607e+03,117.2393,141.6263,4.7126e+05,209.6589,1.5596e+04,1.4959e+05,7.7694e+05,149.7157,255.1391,1.5419e+04,-1.5555e+04
2.5119,7.9433e-04,7.9433e-04,8.5186e+03,2.3425e+03,9.2341e+03,1.6656e+03,77.2553,100.8830,4.6285e+05,159.2973,1.1763e+04,1.7557e+05,7.6038e+05,198.0068,202.5186,1.9223e+04,-1.9418e+04
2.5119,7.9433e-04,0.0016,8.5460e+03,2.2838e+03,9.4750e+03,1.8918e+03,55.8468,75.1305,4.5632e+05,122.6633,9.0598e+03,1.9406e+05,7.4703e+05,233.9297,164.9916,2.1935e+04,-2.2111e+04
2.5119,7.9433e-04,0.0032,8.5300e+03,2.2482e+03,9.6569e+03,2.0592e+03,51.3796,61.8768,4.5157e+05,99.8609,7.4240e+03,2.0547e+05,7.3739e+05,256.4932,141.7921,2.3620e+04,-2.3698e+04
