f_D,j_C_C,j_C_H,Re_C,Re_C_std,Re_H,Re_H_std,rmsd_fiber,rmsd_TC,rmsd_DP,rmsd_Tout,rmsd_qdot,DP_C,DP_H,T_C_out,T_H_out,qdot_C,qdot_H
0.0100,1.0000e-04,1.9953e-04,4.1874e+03,646.5879,6.3513e+03,957.3628,234.9650,236.3636,4.7780e+04,349.6424,2.2134e+04,176.5396,2.0029e+03,46.2489,426.5774,1.1725e+03,-1.1709e+03
0.0100,1.0000e-04,3.9811e-04,4.2071e+03,654.2588,6.3554e+03,957.1858,248.5066,247.3810,4.7781e+04,348.9080,2.2070e+04,177.1191,2.0011e+03,46.4507,425.3812,1.2355e+03,-1.2346e+03
0.0100,1.9953e-04,1.0000e-04,4.3831e+03,724.9569,6.3911e+03,965.3273,174.5422,193.3176,4.7789e+04,342.5172,2.1498e+04,182.4552,1.9844e+03,48.2771,414.9896,1.8095e+03,-1.8052e+03
0.0100,0.0501,3.9811e-04,6.5231e+03,1.7815e+03,7.3499e+03,1.3076e+03,143.8438,165.0342,4.7943e+04,177.6427,1.0294e+04,380.2716,1.6213e+03,171.1375,207.0582,1.3032e+04,-1.2992e+04
2.5119,7.9433e-04,1.0000e-04,4.6677e+03,822.4120,6.4708e+03,982.7494,152.2552,189.8397,3.1395e+05,330.3623,2.0422e+04,4.8495e+04,5.0441e+05,51.9428,395.1639,2.8855e+03,-2.8815e+03
2.5119,7.9433e-04,1.9953e-04,4.9019e+03,944.1541,6.5401e+03,999.0618,161.3734,182.3091,3.0840e+05,319.4314,1.9478e+04,5.1041e+04,4.9646e+05,55.8532,377.6328,3.8284e+03,-3.8258e+03
2.5119,7.9433e-04,0.0032,5.4362e+03,1.2939e+03,6.6946e+03,1.0320e+03,201.5453,196.8822,2.9693e+05,295.4808,1.7571e+04,5.7986e+04,4.7988e+05,67.8261,341.7675,5.7314e+03,-5.7374e+03
2.5119,7.9433e-04,0.0063,5.4649e+03,1.3088e+03,6.7046e+03,1.0333e+03,204.2593,199.8204,2.9624e+05,293.9951,1.7459e+04,5.8417e+04,4.7888e+05,68.7389,339.6872,5.8434e+03,-5.8500e+03
2.5119,7.9433e-04,0.0126,5.4799e+03,1.3166e+03,6.7099e+03,1.0342e+03,205.6862,201.4617,2.9589e+05,293.2146,1.7399e+04,5.8646e+04,4.7836e+05,69.2325,338.6080,5.9023e+03,-5.9104e+03
2.5119,7.9433e-04,0.0251,5.4874e+03,1.3204e+03,6.7126e+03,1.0347e+03,206.4288,202.3092,2.9570e+05,292.8171,1.7368e+04,5.8763e+04,4.7810e+05,69.4876,338.0619,5.9323e+03,-5.9427e+03
2.5119,7.9433e-04,0.0501,5.4913e+03,1.3223e+03,6.7139e+03,1.0350e+03,206.8125,202.7377,2.9561e+05,292.6179,1.7352e+04,5.8822e+04,4.7796e+05,69.6168,337.7897,5.9474e+03,-5.9608e+03
0.0100,0.0501,7.9433e-04,6.5164e+03,1.7264e+03,7.8361e+03,1.5685e+03,105.1144,112.6770,4.8011e+04,107.5910,6.3222e+03,454.6402,1.4699e+03,241.9005,136.0658,1.7023e+04,-1.6944e+04
2.5119,7.9433e-04,0.1000,5.4932e+03,1.3233e+03,6.7146e+03,1.0351e+03,207.0090,202.9561,2.9556e+05,292.5186,1.7342e+04,5.8852e+04,4.7789e+05,69.6818,337.6546,5.9549e+03,-5.9723e+03
2.5119,0.0016,1.0000e-04,4.8828e+03,934.1593,6.5257e+03,996.3624,150.1233,199.8951,3.0955e+05,321.0441,1.9611e+04,5.0863e+04,4.9809e+05,55.3042,380.2619,3.6983e+03,-3.6916e+03
2.5119,0.0016,0.0016,6.1114e+03,1.6003e+03,6.9494e+03,1.1274e+03,153.5372,152.4388,2.7948e+05,252.4142,1.4623e+04,7.1576e+04,4.5409e+05,99.9579,286.7756,8.6875e+03,-8.6783e+03
2.5119,0.0016,0.0126,6.2424e+03,1.6134e+03,7.0449e+03,1.1583e+03,162.5876,157.0212,2.7364e+05,237.9283,1.3727e+04,7.5417e+04,4.4539e+05,112.4672,269.9263,9.5802e+03,-9.5762e+03
2.5119,0.0016,0.0251,6.2522e+03,1.6137e+03,7.0533e+03,1.1612e+03,163.3986,157.6716,2.7314e+05,236.6988,1.3651e+04,7.5732e+04,4.4464e+05,113.5634,268.5322,9.6548e+03,-9.6541e+03
0.0100,0.0501,0.0016,6.3765e+03,1.6897e+03,8.2247e+03,1.7738e+03,74.2500,70.4588,4.8077e+04,55.2438,3.1923e+03,504.9592,1.3340e+03,299.0688,87.5630,2.0170e+04,-2.0057e+04
2.5119,0.0016,0.0501,6.2570e+03,1.6137e+03,7.0575e+03,1.1628e+03,163.8248,158.0169,2.7288e+05,236.0751,1.3612e+04,7.5891e+04,4.4426e+05,114.1225,267.8285,9.6925e+03,-9.6957e+03
2.5119,0.0016,0.1000,6.2595e+03,1.6137e+03,7.0596e+03,1.1636e+03,164.0447,158.1983,2.7275e+05,235.7614,1.3590e+04,7.5971e+04,4.4407e+05,114.4045,267.4754,9.7115e+03,-9.7195e+03
2.5119,0.0032,1.0000e-04,5.0783e+03,1.0638e+03,6.5691e+03,1.0077e+03,162.3539,212.8589,3.0615e+05,313.5613,1.8980e+04,5.3229e+04,4.9319e+05,58.5097,368.6536,4.3297e+03,-4.3210e+03
2.5119,0.0032,0.0032,6.5392e+03,1.6210e+03,7.4495e+03,1.3530e+03,110.0684,109.2022,2.5011e+05,176.5768,1.0162e+04,9.1915e+04,4.0955e+05,170.1858,203.3815,1.3162e+04,-1.3125e+04
2.5119,0.0032,0.0063,6.5569e+03,1.6069e+03,7.5242e+03,1.3862e+03,110.8232,106.2414,2.4608e+05,167.2635,9.6333e+03,9.3874e+04,4.0344e+05,179.2901,193.5932,1.3693e+04,-1.3652e+04
2.5119,0.0032,0.0126,6.5642e+03,1.5995e+03,7.5662e+03,1.4051e+03,111.4073,105.1361,2.4384e+05,162.2174,9.3457e+03,9.4890e+04,4.0004e+05,184.2630,188.3277,1.3981e+04,-1.3939e+04
0.0100,0.0501,0.0032,6.2193e+03,1.6750e+03,8.3807e+03,1.8230e+03,54.9141,41.6138,4.8135e+04,22.7491,1.0580e+03,531.1950,1.2261e+03,338.2726,62.9018,2.2314e+04,-2.2184e+04
2.5119,0.0032,0.0251,6.5672e+03,1.5957e+03,7.5885e+03,1.4153e+03,111.7781,104.6996,2.4266e+05,159.5855,9.1951e+03,9.5407e+04,3.9824e+05,186.8711,185.5963,1.4131e+04,-1.4090e+04
2.5119,0.0032,0.0501,6.5686e+03,1.5938e+03,7.6000e+03,1.4206e+03,111.9903,104.5134,2.4205e+05,158.2423,9.1176e+03,9.5666e+04,3.9731e+05,188.2059,184.2061,1.4207e+04,-1.4169e+04
2.5119,0.0032,0.1000,6.5692e+03,1.5928e+03,7.6059e+03,1.4233e+03,112.1050,104.4294,2.4174e+05,157.5630,9.0774e+03,9.5797e+04,3.9684e+05,188.8826,183.5052,1.4246e+04,-1.4211e+04
2.5119,0.0063,1.0000e-04,5.2255e+03,1.1739e+03,6.5992e+03,1.0156e+03,176.7101,223.7841,3.0386e+05,308.2398,1.8552e+04,5.5143e+04,4.8984e+05,61.2136,360.7548,4.7578e+03,-4.7484e+03
2.5119,0.0063,1.9953e-04,5.9448e+03,1.6000e+03,6.8204e+03,1.0862e+03,150.2129,195.3954,2.8799e+05,270.7413,1.5809e+04,6.7643e+04,4.6652e+05,85.7192,309.7249,7.5080e+03,-7.4854e+03
2.5119,0.0063,0.0032,6.5482e+03,1.5973e+03,7.9370e+03,1.6036e+03,72.2645,76.7817,2.2478e+05,114.1387,6.6483e+03,1.0656e+05,3.7010e+05,233.5170,140.1806,1.6701e+04,-1.6614e+04
2.5119,0.0063,0.0063,6.5265e+03,1.5853e+03,8.0691e+03,1.6663e+03,68.7598,66.4939,2.1785e+05,100.8038,5.8752e+03,1.0863e+05,3.5950e+05,247.4539,126.9850,1.7480e+04,-1.7380e+04
0.0100,0.0501,0.0063,6.0845e+03,1.6665e+03,8.3575e+03,1.7878e+03,45.3307,23.9408,4.8179e+04,4.4909,251.8743,540.2090,1.1489e+03,362.1589,52.9607,2.3612e+04,-2.3481e+04
