f_D,j_C_C,j_C_H,Re_C,Re_C_std,Re_H,Re_H_std,rmsd_fiber,rmsd_TC,rmsd_DP,rmsd_Tout,rmsd_qdot,DP_C,DP_H,T_C_out,T_H_out,qdot_C,qdot_H
0.0100,1.0000e-04,1.9953e-04,4.2357e+03,881.1791,4.7119e+03,718.4112,127.5461,158.6962,2.3750e+04,319.4688,1.4386e+04,134.9248,842.1131,81.5970,382.0062,3.4183e+03,-3.4089e+03
0.0100,1.0000e-04,3.9811e-04,4.4122e+03,951.2542,4.7514e+03,726.5647,144.3130,160.3307,2.3753e+04,306.7932,1.3720e+04,144.3063,831.6031,90.4529,365.4551,4.0845e+03,-4.0747e+03
0.0100,1.9953e-04,1.0000e-04,4.1408e+03,842.8184,4.6944e+03,715.8868,149.6850,189.4157,2.3749e+04,325.1478,1.4698e+04,130.5943,846.7107,78.0518,389.8091,3.1069e+03,-3.0958e+03
0.0100,0.0501,3.9811e-04,4.8471e+03,1.0772e+03,5.2210e+03,907.3292,148.9126,163.3195,2.3794e+04,176.5284,7.9640e+03,217.9520,718.2026,210.1644,223.3572,9.8511e+03,-9.8264e+03
2.5119,7.9433e-04,1.0000e-04,4.2946e+03,915.2397,4.7380e+03,727.4927,188.2059,223.6856,1.2958e+05,313.2946,1.4070e+04,3.4777e+04,2.1181e+05,86.2829,374.3337,3.7375e+03,-3.7222e+03
2.5119,7.9433e-04,1.9953e-04,4.6752e+03,1.0605e+03,4.8852e+03,771.2944,151.4163,181.4325,1.2335e+05,269.0592,1.1923e+04,4.2029e+04,2.0211e+05,121.9763,321.1537,5.8895e+03,-5.8654e+03
2.5119,7.9433e-04,3.9811e-04,4.8640e+03,1.0768e+03,5.0611e+03,837.6330,108.2972,134.0160,1.1691e+05,216.3612,9.6145e+03,5.0240e+04,1.9149e+05,170.7154,263.8965,8.2062e+03,-8.1684e+03
2.5119,7.9433e-04,7.9433e-04,4.9103e+03,1.0463e+03,5.2258e+03,912.5913,75.8639,95.7327,1.1162e+05,169.0982,7.6246e+03,5.7431e+04,1.8216e+05,216.9802,215.1211,1.0206e+04,-1.0152e+04
2.5119,7.9433e-04,0.0016,4.9039e+03,1.0202e+03,5.3468e+03,973.3032,63.9522,72.2972,1.0803e+05,135.2288,6.1987e+03,6.2620e+04,1.7543e+05,251.1712,181.2234,1.1640e+04,-1.1574e+04
2.5119,7.9433e-04,0.0032,4.8891e+03,1.0056e+03,5.4191e+03,1.0105e+03,65.3075,61.2960,1.0592e+05,114.4271,5.3087e+03,6.5894e+04,1.7124e+05,272.6831,160.9591,1.2536e+04,-1.2462e+04
2.5119,7.9433e-04,0.0063,4.8776e+03,998.4736,5.4568e+03,1.0300e+03,69.3001,57.1551,1.0478e+05,102.8042,4.8032e+03,6.7773e+04,1.6888e+05,284.9217,149.8901,1.3046e+04,-1.2966e+04
2.5119,7.9433e-04,0.0126,4.8704e+03,995.2696,5.4755e+03,1.0398e+03,72.3077,55.7416,1.0419e+05,96.6409,4.5316e+03,6.8789e+04,1.6763e+05,291.4876,144.1128,1.3319e+04,-1.3238e+04
2.5119,7.9433e-04,0.0251,4.8665e+03,993.7788,5.4847e+03,1.0446e+03,74.0969,55.2409,1.0389e+05,93.4630,4.3900e+03,6.9319e+04,1.6698e+05,294.8976,141.1646,1.3460e+04,-1.3380e+04
2.5119,7.9433e-04,0.0501,4.8644e+03,993.0633,5.4892e+03,1.0470e+03,75.0702,55.0419,1.0374e+05,91.8474,4.3173e+03,6.9589e+04,1.6665e+05,296.6376,139.6740,1.3533e+04,-1.3454e+04
0.0100,0.0501,7.9433e-04,4.7936e+03,1.0451e+03,5.5159e+03,1.0537e+03,110.5286,110.3471,2.3820e+04,103.6375,4.8921e+03,255.4079,651.9979,284.6680,151.5114,1.2943e+04,-1.2889e+04
2.5119,7.9433e-04,0.1000,4.8633e+03,992.7133,5.4914e+03,1.0482e+03,75.5785,54.9522,1.0367e+05,91.0322,4.2801e+03,6.9727e+04,1.6648e+05,297.5179,138.9250,1.3569e+04,-1.3492e+04
2.5119,0.0016,1.0000e-04,4.3225e+03,927.6111,4.7477e+03,730.2059,198.6366,234.0405,1.2913e+05,310.5065,1.3930e+04,3.5199e+04,2.1114e+05,88.4156,370.8810,3.8777e+03,-3.8621e+03
2.5119,0.0016,1.9953e-04,4.7049e+03,1.0709e+03,4.9152e+03,781.7342,166.4581,194.6868,1.2212e+05,260.7522,1.1555e+04,4.3155e+04,2.0019e+05,129.5544,312.0403,6.2578e+03,-6.2329e+03
2.5119,0.0016,3.9811e-04,4.8668e+03,1.0763e+03,5.1316e+03,867.9702,123.7590,144.3978,1.1435e+05,198.4157,8.8661e+03,5.2442e+04,1.8732e+05,188.3456,245.4845,8.9576e+03,-8.9148e+03
2.5119,0.0016,7.9433e-04,4.8717e+03,1.0419e+03,5.3495e+03,973.6287,83.2009,97.9363,1.0744e+05,140.1431,6.4236e+03,6.0760e+04,1.7512e+05,246.4630,186.4712,1.1414e+04,-1.1349e+04
2.5119,0.0016,0.0016,4.8272e+03,1.0190e+03,5.5117e+03,1.0582e+03,55.2497,63.9867,1.0240e+05,97.1186,4.5854e+03,6.6897e+04,1.6562e+05,291.1973,144.8553,1.3266e+04,-1.3183e+04
2.5119,0.0016,0.0032,4.7842e+03,1.0093e+03,5.5984e+03,1.1014e+03,42.6603,43.4270,9.9279e+04,70.2399,3.3911e+03,7.0855e+04,1.5938e+05,320.3843,120.3635,1.4472e+04,-1.4377e+04
2.5119,0.0016,0.0063,4.7547e+03,1.0061e+03,5.6336e+03,1.1180e+03,40.0587,32.8002,9.7545e+04,55.0992,2.6938e+03,7.3169e+04,1.5574e+05,337.4320,107.3827,1.5178e+04,-1.5076e+04
2.5119,0.0016,0.0126,4.7373e+03,1.0054e+03,5.6459e+03,1.1244e+03,40.6553,27.8802,9.6639e+04,47.0408,2.3141e+03,7.4434e+04,1.5377e+05,346.7215,100.7800,1.5563e+04,-1.5459e+04
2.5119,0.0016,0.0251,4.7277e+03,1.0053e+03,5.6498e+03,1.1273e+03,41.5638,25.6904,9.6175e+04,42.8784,2.1150e+03,7.5097e+04,1.5275e+05,351.5874,97.4671,1.5765e+04,-1.5661e+04
0.0100,0.0501,0.0016,4.6884e+03,1.0310e+03,5.7065e+03,1.1388e+03,79.6182,66.7010,2.3845e+04,47.7609,2.3943e+03,282.8440,592.8489,346.2339,101.8588,1.5469e+04,-1.5387e+04
2.5119,0.0016,0.0501,4.7226e+03,1.0053e+03,5.6512e+03,1.1285e+03,42.1874,24.6985,9.5942e+04,40.7609,2.0125e+03,7.5438e+04,1.5222e+05,354.0817,95.8086,1.5869e+04,-1.5766e+04
2.5119,0.0016,0.1000,4.7201e+03,1.0054e+03,5.6517e+03,1.1291e+03,42.5444,24.2315,9.5824e+04,39.6918,1.9604e+03,7.5610e+04,1.5196e+05,355.3458,94.9780,1.5921e+04,-1.5819e+04
2.5119,0.0032,1.0000e-04,4.3367e+03,933.8177,4.7532e+03,731.7481,204.5162,240.3728,1.2888e+05,308.9570,1.3854e+04,3.5429e+04,2.1076e+05,89.6270,368.9876,3.9529e+03,-3.9389e+03
2.5119,0.0032,1.9953e-04,4.7178e+03,1.0763e+03,4.9329e+03,788.0564,175.6788,203.5730,1.2140e+05,255.9657,1.1347e+04,4.3778e+04,1.9907e+05,133.9871,306.8570,6.4652e+03,-6.4420e+03
