f_D,j_C_C,j_C_H,Re_C,Re_C_std,Re_H,Re_H_std,rmsd_fiber,rmsd_TC,rmsd_DP,rmsd_Tout,rmsd_qdot,DP_C,DP_H,T_C_out,T_H_out,qdot_C,qdot_H
0.0100,1.0000e-04,1.9953e-04,5.6495e+03,1.1851e+03,6.4984e+03,990.2800,128.1905,162.7977,4.4954e+04,318.8695,1.9616e+04,246.0278,1.7075e+03,77.8799,388.4378,4.4548e+03,-4.4426e+03
0.0100,1.0000e-04,3.9811e-04,5.9279e+03,1.3040e+03,6.5601e+03,1.0033e+03,141.4450,160.2875,4.4962e+04,305.1289,1.8598e+04,264.7071,1.6839e+03,86.9602,370.1009,5.4731e+03,-5.4597e+03
0.0100,1.9953e-04,1.0000e-04,5.4597e+03,1.0894e+03,6.4622e+03,983.7323,158.3583,199.7203,4.4949e+04,326.7567,2.0226e+04,235.1175,1.7217e+03,73.2519,399.4658,3.8448e+03,-3.8305e+03
0.0100,0.0501,3.9811e-04,6.6193e+03,1.5317e+03,7.1294e+03,1.2164e+03,158.2312,177.3095,4.5040e+04,191.5766,1.1572e+04,388.0151,1.4846e+03,188.5616,243.7868,1.2505e+04,-1.2481e+04
2.5119,7.9433e-04,1.0000e-04,4.9819e+03,894.6788,6.4370e+03,966.0805,203.9908,240.2398,2.7493e+05,339.7618,2.1329e+04,5.3356e+04,4.4486e+05,66.9114,418.7256,2.7405e+03,-2.7301e+03
2.5119,7.9433e-04,1.9953e-04,5.4446e+03,1.1635e+03,6.5912e+03,993.9708,180.1487,211.5013,2.6409e+05,313.1472,1.9295e+04,5.9925e+04,4.2908e+05,82.9502,382.0795,4.7726e+03,-4.7651e+03
2.5119,7.9433e-04,3.9811e-04,5.9294e+03,1.4055e+03,6.8184e+03,1.0518e+03,143.2369,168.4935,2.4964e+05,271.9945,1.6497e+04,7.0537e+04,4.0759e+05,114.5698,331.3229,7.5659e+03,-7.5680e+03
2.5119,7.9433e-04,7.9433e-04,6.2821e+03,1.5033e+03,7.0871e+03,1.1494e+03,98.8945,120.3652,2.3463e+05,221.1015,1.3361e+04,8.4128e+04,3.8438e+05,159.8799,274.3664,1.0701e+04,-1.0706e+04
2.5119,7.9433e-04,0.0016,6.4886e+03,1.4979e+03,7.3305e+03,1.2681e+03,62.1147,80.9178,2.2295e+05,172.7013,1.0515e+04,9.8217e+04,3.6496e+05,206.1778,223.3478,1.3558e+04,-1.3542e+04
2.5119,7.9433e-04,0.0032,6.5937e+03,1.4653e+03,7.4973e+03,1.3690e+03,48.7004,57.0150,2.1609e+05,136.0845,8.3769e+03,1.1026e+05,3.5210e+05,242.5953,186.1490,1.5714e+04,-1.5665e+04
2.5119,7.9433e-04,0.0063,6.6396e+03,1.4391e+03,7.5875e+03,1.4335e+03,54.8229,48.4044,2.1291e+05,112.5832,6.9882e+03,1.1901e+05,3.4497e+05,266.6355,162.9809,1.7118e+04,-1.7040e+04
2.5119,7.9433e-04,0.0126,6.6582e+03,1.4232e+03,7.6291e+03,1.4680e+03,63.7507,48.0986,2.1171e+05,98.9439,6.1685e+03,1.2465e+05,3.4142e+05,280.8686,149.8508,1.7951e+04,-1.7849e+04
2.5119,7.9433e-04,0.0251,6.6660e+03,1.4144e+03,7.6468e+03,1.4850e+03,70.0863,49.8260,2.1134e+05,91.4492,5.7110e+03,1.2801e+05,3.3976e+05,288.7941,142.7592,1.8416e+04,-1.8300e+04
2.5119,7.9433e-04,0.0501,6.6695e+03,1.4096e+03,7.6543e+03,1.4933e+03,73.8680,51.4539,2.1126e+05,87.4678,5.4654e+03,1.2989e+05,3.3900e+05,293.0403,139.0361,1.8666e+04,-1.8543e+04
0.0100,0.0501,7.9433e-04,6.6001e+03,1.4852e+03,7.5664e+03,1.4336e+03,119.5647,123.8454,4.5096e+04,115.5066,7.1788e+03,462.6131,1.3492e+03,264.6452,167.1309,1.6921e+04,-1.6856e+04
2.5119,7.9433e-04,0.1000,6.6711e+03,1.4071e+03,7.6575e+03,1.4972e+03,75.9555,52.5379,2.1126e+05,85.4001,5.3368e+03,1.3090e+05,3.3865e+05,295.2574,137.1173,1.8797e+04,-1.8670e+04
2.5119,0.0016,1.0000e-04,4.9942e+03,897.2462,6.4429e+03,967.0757,211.5519,248.8881,2.7448e+05,338.8232,2.1262e+04,5.3519e+04,4.4423e+05,67.5685,417.5263,2.8078e+03,-2.7971e+03
2.5119,0.0016,1.9953e-04,5.4662e+03,1.1784e+03,6.6111e+03,998.1408,192.4353,224.9614,2.6272e+05,310.0048,1.9089e+04,6.0488e+04,4.2710e+05,85.5173,378.3745,4.9786e+03,-4.9710e+03
2.5119,0.0016,3.9811e-04,5.9488e+03,1.4224e+03,6.8763e+03,1.0686e+03,161.0392,185.6454,2.4602e+05,263.0425,1.5957e+04,7.2104e+04,4.0227e+05,122.7503,321.5589,8.1050e+03,-8.1090e+03
2.5119,0.0016,7.9433e-04,6.2823e+03,1.5101e+03,7.2198e+03,1.2013e+03,119.5567,134.9097,2.2731e+05,201.4685,1.2229e+04,8.7646e+04,3.7329e+05,178.9322,254.0179,1.1838e+04,-1.1834e+04
2.5119,0.0016,0.0016,6.4562e+03,1.4932e+03,7.5535e+03,1.3746e+03,77.9042,87.6638,2.1171e+05,140.3072,8.6596e+03,1.0436e+05,3.4723e+05,238.7703,190.9085,1.5424e+04,-1.5389e+04
2.5119,0.0016,0.0032,6.5050e+03,1.4634e+03,7.7832e+03,1.5190e+03,48.1373,56.2598,2.0181e+05,94.3428,5.9510e+03,1.1825e+05,3.2877e+05,285.9938,145.8408,1.8150e+04,-1.8084e+04
2.5119,0.0016,0.0063,6.5020e+03,1.4450e+03,7.8944e+03,1.5975e+03,35.0889,38.1203,1.9671e+05,65.7774,4.2024e+03,1.2797e+05,3.1784e+05,316.6375,119.3420,1.9917e+04,-1.9820e+04
2.5119,0.0016,0.0126,6.4894e+03,1.4349e+03,7.9315e+03,1.6287e+03,34.6206,29.1925,1.9459e+05,49.5534,3.1715e+03,1.3424e+05,3.1223e+05,334.6839,105.1241,2.0964e+04,-2.0842e+04
2.5119,0.0016,0.0251,6.4790e+03,1.4294e+03,7.9386e+03,1.6391e+03,37.7266,25.3374,1.9386e+05,40.7887,2.5989e+03,1.3800e+05,3.0958e+05,344.6805,97.7877,2.1548e+04,-2.1410e+04
0.0100,0.0501,0.0016,6.4611e+03,1.4580e+03,7.9275e+03,1.6149e+03,86.7946,77.4440,4.5155e+04,53.8562,3.4652e+03,518.2936,1.2215e+03,330.4932,109.7322,2.0660e+04,-2.0556e+04
2.5119,0.0016,0.0501,6.4724e+03,1.4264e+03,7.9377e+03,1.6421e+03,40.3623,23.7514,1.9365e+05,36.1951,2.2935e+03,1.4012e+05,3.0837e+05,349.9991,94.0568,2.1859e+04,-2.1715e+04
2.5119,0.0016,0.1000,6.4687e+03,1.4248e+03,7.9357e+03,1.6425e+03,41.9941,23.0800,1.9361e+05,33.8328,2.1352e+03,1.4126e+05,3.0780e+05,352.7599,92.1758,2.2021e+04,-2.1873e+04
2.5119,0.0032,1.0000e-04,5.0004e+03,897.4967,6.4463e+03,967.6512,215.6680,254.0465,2.7424e+05,338.2883,2.1225e+04,5.3606e+04,4.4388e+05,67.9689,416.8667,2.8440e+03,-2.8340e+03
2.5119,0.0032,1.9953e-04,5.4754e+03,1.1855e+03,6.6227e+03,1.0006e+03,199.3566,233.2815,2.6192e+05,308.1781,1.8974e+04,6.0796e+04,4.2594e+05,87.0636,376.2729,5.0931e+03,-5.0879e+03
2.5119,0.0032,3.9811e-04,5.9551e+03,1.4313e+03,6.9122e+03,1.0794e+03,171.7775,197.0952,2.4381e+05,257.6312,1.5638e+04,7.3000e+04,3.9901e+05,127.7925,315.7554,8.4232e+03,-8.4289e+03
2.5119,0.0032,7.9433e-04,6.2759e+03,1.5133e+03,7.3075e+03,1.2372e+03,133.7544,145.8024,2.2257e+05,189.0646,1.1520e+04,8.9743e+04,3.6610e+05,191.1245,241.3215,1.2548e+04,-1.2541e+04
2.5119,0.0032,0.0016,6.4185e+03,1.4931e+03,7.7077e+03,1.4509e+03,93.4197,95.1385,2.0394e+05,119.5173,7.4692e+03,1.0783e+05,3.3497e+05,260.1327,170.5699,1.6616e+04,-1.6579e+04
2.5119,0.0032,0.0032,6.4177e+03,1.4703e+03,7.9769e+03,1.6157e+03,61.2725,57.5601,1.9096e+05,68.0100,4.3813e+03,1.2209e+05,3.1131e+05,314.3857,121.6164,1.9725e+04,-1.9653e+04
2.5119,0.0032,0.0063,6.3763e+03,1.4588e+03,8.0767e+03,1.6810e+03,40.4215,33.6986,1.8350e+05,36.2504,2.3585e+03,1.3181e+05,2.9629e+05,350.0745,94.3038,2.1771e+04,-2.1667e+04
2.5119,0.0032,0.0126,6.3369e+03,1.4536e+03,8.0776e+03,1.6875e+03,29.6972,20.5422,1.7989e+05,18.4816,1.1668e+03,1.3794e+05,2.8804e+05,371.2341,80.6928,2.2992e+04,-2.2865e+04
0.0100,0.0501,0.0032,6.3115e+03,1.4522e+03,8.0431e+03,1.6489e+03,64.9716,43.6388,4.5208e+04,12.9773,777.6138,551.6742,1.1160e+03,378.8712,77.6995,2.3401e+04,-2.3271e+04
2.5119,0.0032,0.0251,6.3085e+03,1.4512e+03,8.0518e+03,1.6816e+03,25.6995,14.1473,1.7832e+05,9.1506,540.4428,1.4155e+05,2.8389e+05,382.9419,74.1252,2.3670e+04,-2.3531e+04
2.5119,0.0032,0.0501,6.2911e+03,1.4498e+03,8.0285e+03,1.6761e+03,24.7177,11.3855,1.7765e+05,4.6793,300.6678,1.4356e+05,2.8186e+05,389.1445,70.9488,2.4029e+04,-2.3886e+04
2.5119,0.0032,0.1000,6.2812e+03,1.4491e+03,8.0137e+03,1.6722e+03,24.6321,10.2617,1.7736e+05,3.0578,293.7626,1.4463e+05,2.8088e+05,392.3496,69.3959,2.4215e+04,-2.4070e+04
2.5119,0.0063,1.0000e-04,5.0033e+03,896.9573,6.4481e+03,967.9793,217.8206,256.9985,2.7410e+05,338.0035,2.1207e+04,5.3653e+04,4.4368e+05,68.1812,416.5146,2.8613e+03,-2.8537e+03
2.5119,0.0063,1.9953e-04,5.4792e+03,1.1889e+03,6.6290e+03,1.0021e+03,203.0363,238.0467,2.6148e+05,307.1929,1.8913e+04,6.0956e+04,4.2531e+05,87.8962,375.1380,5.1520e+03,-5.1513e+03
2.5119,0.0063,3.9811e-04,5.9566e+03,1.4360e+03,6.9326e+03,1.0857e+03,177.7231,203.8588,2.4256e+05,254.6450,1.5464e+04,7.3479e+04,3.9718e+05,130.5842,312.5614,8.5948e+03,-8.6057e+03
2.5119,0.0063,7.9433e-04,6.2706e+03,1.5153e+03,7.3591e+03,1.2589e+03,142.1650,152.6769,2.1982e+05,182.0088,1.1119e+04,9.0892e+04,3.6193e+05,198.0893,234.1272,1.2948e+04,-1.2943e+04
2.5119,0.0063,0.0016,6.3897e+03,1.4947e+03,7.8004e+03,1.4967e+03,103.7956,100.2131,1.9915e+05,107.7399,6.7911e+03,1.0953e+05,3.2747e+05,272.3851,159.2138,1.7292e+04,-1.7259e+04
2.5119,0.0063,0.0032,6.3571e+03,1.4759e+03,8.0856e+03,1.6649e+03,73.0305,59.4305,1.8377e+05,52.9543,3.4612e+03,1.2369e+05,2.9991e+05,331.1380,108.4427,2.0646e+04,-2.0575e+04
2.5119,0.0063,0.0063,6.2875e+03,1.4679e+03,8.1516e+03,1.7053e+03,52.6431,32.6585,1.7400e+05,19.3061,1.2558e+03,1.3288e+05,2.8120e+05,370.3592,81.4697,2.2887e+04,-2.2783e+04
0.0100,0.0501,0.0063,6.1775e+03,1.4561e+03,7.9427e+03,1.6285e+03,53.9365,22.2777,4.5253e+04,12.8139,1.0759e+03,564.1223,1.0351e+03,410.2239,63.2798,2.5171e+04,-2.5033e+04
2.5119,0.0063,0.0126,6.2222e+03,1.4655e+03,8.0967e+03,1.6930e+03,41.0919,17.7198,1.6838e+05,2.9743,291.4753,1.3815e+05,2.6992e+05,393.7839,68.9676,2.4230e+04,-2.4107e+04
2.5119,0.0063,0.0251,6.1710e+03,1.4646e+03,8.0192e+03,1.6756e+03,35.4294,11.2369,1.6508e+05,10.3093,884.3045,1.4075e+05,2.6335e+05,406.6724,63.3832,2.4969e+04,-2.4837e+04
2.5119,0.0063,0.0501,6.1357e+03,1.4635e+03,7.9606e+03,1.6639e+03,32.9500,9.5804,1.6307e+05,15.2873,1.2526e+03,1.4186e+05,2.5955e+05,413.3969,60.8642,2.5352e+04,-2.5216e+04
2.5119,0.0063,0.1000,6.1140e+03,1.4625e+03,7.9256e+03,1.6568e+03,31.9054,9.5424,1.6189e+05,17.8208,1.4414e+03,1.4228e+05,2.5741e+05,416.8088,59.6761,2.5546e+04,-2.5409e+04
