f_D,j_C_C,j_C_H,Re_C,Re_C_std,Re_H,Re_H_std,rmsd_fiber,rmsd_TC,rmsd_DP,rmsd_Tout,rmsd_qdot,DP_C,DP_H,T_C_out,T_H_out,qdot_C,qdot_H
0.0100,1.0000e-04,1.9953e-04,5.6048e+03,1.1951e+03,6.7496e+03,1.0276e+03,130.2479,169.5335,4.9495e+04,321.4942,2.0537e+04,249.8053,1.9355e+03,70.3876,390.5434,4.1568e+03,-4.1441e+03
0.0100,1.0000e-04,3.9811e-04,5.9679e+03,1.3691e+03,6.8240e+03,1.0437e+03,134.3795,159.0897,4.9506e+04,306.6177,1.9357e+04,272.1771,1.9046e+03,79.3812,369.9431,5.3372e+03,-5.3237e+03
0.0100,1.9953e-04,1.0000e-04,5.3451e+03,1.0736e+03,6.6971e+03,1.0171e+03,169.7344,212.3737,4.9486e+04,331.4546,2.1377e+04,236.2107,1.9580e+03,65.3834,405.1822,3.3169e+03,-3.3036e+03
0.0100,0.0501,3.9811e-04,6.7765e+03,1.6696e+03,7.2921e+03,1.2089e+03,171.6041,196.6987,4.9578e+04,218.4986,1.3537e+04,381.0616,1.7259e+03,154.4742,268.1643,1.1155e+04,-1.1145e+04
2.5119,7.9433e-04,1.0000e-04,5.9224e+03,1.3517e+03,6.8002e+03,1.0485e+03,192.8003,233.1131,3.0549e+05,310.7152,1.9686e+04,6.7633e+04,4.9355e+05,77.1514,375.8794,5.0094e+03,-4.9928e+03
2.5119,7.9433e-04,1.9953e-04,6.5761e+03,1.6185e+03,7.0097e+03,1.1156e+03,160.0414,195.1509,2.9107e+05,268.5279,1.6663e+04,8.2759e+04,4.7161e+05,108.9186,323.1189,8.0406e+03,-8.0083e+03
2.5119,7.9433e-04,3.9811e-04,6.9203e+03,1.6593e+03,7.2743e+03,1.2213e+03,117.9680,147.1161,2.7529e+05,215.5966,1.3312e+04,1.0050e+05,4.4651e+05,156.5648,264.3437,1.1404e+04,-1.1347e+04
2.5119,7.9433e-04,7.9433e-04,7.0086e+03,1.6071e+03,7.5392e+03,1.3467e+03,83.8788,104.8700,2.6153e+05,166.2610,1.0356e+04,1.1618e+05,4.2358e+05,204.1881,212.7449,1.4374e+04,-1.4290e+04
2.5119,7.9433e-04,0.0016,6.9995e+03,1.5629e+03,7.7493e+03,1.4551e+03,69.2738,76.8979,2.5156e+05,130.0331,8.1989e+03,1.2739e+05,4.0628e+05,240.3353,176.0040,1.6541e+04,-1.6437e+04
2.5119,7.9433e-04,0.0032,6.9731e+03,1.5406e+03,7.8852e+03,1.5260e+03,68.7661,62.4226,2.4526e+05,107.4524,6.8364e+03,1.3432e+05,3.9506e+05,263.4193,153.6627,1.7909e+04,-1.7794e+04
2.5119,7.9433e-04,0.0063,6.9526e+03,1.5313e+03,7.9615e+03,1.5651e+03,71.9342,56.3155,2.4166e+05,94.7327,6.0550e+03,1.3822e+05,3.8853e+05,276.6689,141.3449,1.8694e+04,-1.8573e+04
2.5119,7.9433e-04,0.0126,6.9400e+03,1.5278e+03,8.0013e+03,1.5853e+03,74.6014,53.9627,2.3972e+05,87.9598,5.6329e+03,1.4030e+05,3.8497e+05,283.8112,134.8857,1.9117e+04,-1.8994e+04
2.5119,7.9433e-04,0.0251,6.9329e+03,1.5264e+03,8.0215e+03,1.5956e+03,76.2425,53.0318,2.3870e+05,84.4584,5.4122e+03,1.4137e+05,3.8311e+05,287.5297,131.5774,1.9337e+04,-1.9216e+04
