f_D,j_C_C,j_C_H,Re_C,Re_C_std,Re_H,Re_H_std,rmsd_fiber,rmsd_TC,rmsd_DP,rmsd_Tout,rmsd_qdot,DP_C,DP_H,T_C_out,T_H_out,qdot_C,qdot_H
0.0100,1.0000e-04,1.9953e-04,2.0879e+03,412.4089,2.2553e+03,343.7039,122.6113,152.7677,5.5325e+03,315.5122,6.7808e+03,31.8684,180.3622,83.4920,374.6610,1.5857e+03,-1.5810e+03
0.0100,1.0000e-04,3.9811e-04,2.1650e+03,440.8002,2.2733e+03,347.4442,139.6713,156.0427,5.5329e+03,303.2655,6.4778e+03,33.9824,178.1739,92.3415,358.8674,1.8889e+03,-1.8840e+03
0.0100,1.9953e-04,1.0000e-04,2.0450e+03,397.3131,2.2474e+03,342.5048,145.9001,184.5144,5.5324e+03,321.0110,6.9232e+03,30.8725,181.3063,79.8932,382.1053,1.4435e+03,-1.4382e+03
0.0100,0.0501,3.9811e-04,2.3435e+03,490.7339,2.4901e+03,427.7534,145.0857,160.0232,5.5402e+03,176.2460,3.8038e+03,50.5516,154.0466,209.8276,220.5760,4.5680e+03,-4.5554e+03
2.5119,7.9433e-04,1.0000e-04,2.1095e+03,427.2874,2.2669e+03,347.5873,184.7386,219.9538,2.7307e+04,309.4660,6.6330e+03,8.1874e+03,4.5020e+04,88.0835,367.1070,1.7350e+03,-1.7275e+03
2.5119,7.9433e-04,1.9953e-04,2.2748e+03,484.9736,2.3353e+03,367.2362,148.0617,177.5335,2.6015e+04,266.1221,5.6376e+03,9.8198e+03,4.2986e+04,123.6829,315.3806,2.7328e+03,-2.7211e+03
2.5119,7.9433e-04,3.9811e-04,2.3537e+03,489.2836,2.4158e+03,396.2552,105.3112,130.4136,2.4693e+04,214.9694,4.5717e+03,1.1645e+04,4.0766e+04,171.4080,260.0468,3.8023e+03,-3.7846e+03
2.5119,7.9433e-04,7.9433e-04,2.3706e+03,475.6143,2.4900e+03,428.2381,73.4147,93.3451,2.3616e+04,169.4579,3.6569e+03,1.3229e+04,3.8824e+04,216.2906,213.2925,4.7212e+03,-4.6968e+03
2.5119,7.9433e-04,0.0016,2.3653e+03,464.5609,2.5434e+03,453.4279,61.6440,71.2019,2.2891e+04,136.9999,3.0032e+03,1.4368e+04,3.7420e+04,249.3335,181.0170,5.3788e+03,-5.3485e+03
2.5119,7.9433e-04,0.0032,2.3572e+03,458.4317,2.5748e+03,468.3733,62.7874,60.9845,2.2465e+04,117.0952,2.5956e+03,1.5085e+04,3.6545e+04,270.1072,161.7891,5.7893e+03,-5.7549e+03
