f_D,j_C_C,j_C_H,Re_C,Re_C_std,Re_H,Re_H_std,rmsd_fiber,rmsd_TC,rmsd_DP,rmsd_Tout,rmsd_qdot,DP_C,DP_H,T_C_out,T_H_out,qdot_C,qdot_H
0.0100,1.0000e-04,1.9953e-04,6.3481e+03,1.4897e+03,8.8785e+03,1.3581e+03,121.4109,147.5208,7.3866e+04,271.4306,2.1843e+04,347.2257,3.1114e+03,62.3480,332.8409,5.6024e+03,-5.5868e+03
0.0100,1.0000e-04,3.9811e-04,6.7743e+03,1.7434e+03,8.9781e+03,1.3814e+03,136.4456,144.2545,7.3889e+04,259.0397,2.0585e+04,375.2948,3.0618e+03,68.6222,314.6813,6.8617e+03,-6.8444e+03
0.0100,1.9953e-04,1.0000e-04,6.0864e+03,1.2873e+03,8.8264e+03,1.3480e+03,132.4086,175.1857,7.3854e+04,277.9601,2.2525e+04,331.8552,3.1380e+03,59.4841,342.7236,4.9219e+03,-4.9037e+03
0.0100,0.0501,3.9811e-04,8.1305e+03,2.3398e+03,9.9030e+03,1.7487e+03,132.7199,157.4696,7.4087e+04,151.8307,1.1825e+04,578.9457,2.6476e+03,158.3157,188.9505,1.5621e+04,-1.5605e+04
2.5119,7.9433e-04,1.0000e-04,6.4495e+03,1.5468e+03,8.9182e+03,1.3717e+03,161.4904,203.1492,5.1043e+05,268.9096,2.1607e+04,8.8851e+04,8.1726e+05,63.9303,329.4482,5.8400e+03,-5.8218e+03
2.5119,7.9433e-04,1.9953e-04,7.4370e+03,2.1186e+03,9.2268e+03,1.4682e+03,134.4192,170.2757,4.8264e+05,231.5882,1.8096e+04,1.0938e+05,7.7631e+05,87.6064,278.8129,9.3573e+03,-9.3274e+03
2.5119,7.9433e-04,3.9811e-04,8.0829e+03,2.3369e+03,9.6118e+03,1.6233e+03,98.1363,126.2699,4.5246e+05,184.1116,1.4237e+04,1.3455e+05,7.3046e+05,127.4265,223.0282,1.3227e+04,-1.3176e+04
2.5119,7.9433e-04,7.9433e-04,8.3498e+03,2.3358e+03,9.9841e+03,1.8083e+03,69.1147,87.5030,4.2695e+05,139.7384,1.0881e+04,1.5752e+05,6.9019e+05,169.0837,175.1376,1.6597e+04,-1.6518e+04
2.5119,7.9433e-04,0.0016,8.4282e+03,2.2921e+03,1.0264e+04,1.9666e+03,59.6166,62.5525,4.0935e+05,107.4817,8.4711e+03,1.7446e+05,6.6130e+05,201.0143,141.9220,1.9018e+04,-1.8917e+04
2.5119,7.9433e-04,0.0032,8.4429e+03,2.2596e+03,1.0436e+04,2.0695e+03,62.8736,50.1706,3.9889e+05,87.6339,6.9678e+03,1.8528e+05,6.4351e+05,221.3649,122.1948,2.0529e+04,-2.0413e+04
2.5119,7.9433e-04,0.0063,8.4417e+03,2.2415e+03,1.0527e+04,2.1264e+03,67.9655,44.9877,3.9322e+05,76.5631,6.1137e+03,1.9154e+05,6.3358e+05,232.9969,111.4955,2.1387e+04,-2.1262e+04
2.5119,7.9433e-04,0.0126,8.4382e+03,2.2322e+03,1.0573e+04,2.1557e+03,71.5380,42.9221,3.9027e+05,70.7039,5.6552e+03,1.9493e+05,6.2833e+05,239.2472,105.9406,2.1848e+04,-2.1719e+04
2.5119,7.9433e-04,0.0251,8.4357e+03,2.2276e+03,1.0596e+04,2.1706e+03,73.6136,42.0624,3.8878e+05,67.6853,5.4164e+03,1.9671e+05,6.2564e+05,242.4968,103.1145,2.2087e+04,-2.1957e+04
2.5119,7.9433e-04,0.0501,8.4342e+03,2.2252e+03,1.0608e+04,2.1782e+03,74.7303,41.6804,3.8802e+05,66.1532,5.2946e+03,1.9761e+05,6.2426e+05,244.1533,101.6886,2.2208e+04,-2.2080e+04
0.0100,0.0501,7.9433e-04,8.1756e+03,2.3005e+03,1.0582e+04,2.0904e+03,101.0774,110.6871,7.4227e+04,84.8167,6.8045e+03,687.4009,2.3751e+03,225.4341,121.0342,2.0668e+04,-2.0599e+04
2.5119,7.9433e-04,0.1000,8.4334e+03,2.2240e+03,1.0613e+04,2.1820e+03,75.3130,41.5031,3.8764e+05,65.3799,5.2327e+03,1.9807e+05,6.2358e+05,244.9929,100.9737,2.2270e+04,-2.2142e+04
2.5119,0.0016,1.0000e-04,6.5129e+03,1.5822e+03,8.9351e+03,1.3764e+03,169.4072,211.2109,5.0880e+05,266.8482,2.1410e+04,8.9913e+04,8.1488e+05,65.1539,326.6051,6.0366e+03,-6.0198e+03
2.5119,0.0016,1.9953e-04,7.5287e+03,2.1604e+03,9.2808e+03,1.4874e+03,146.0659,181.7420,4.7799e+05,225.2856,1.7575e+04,1.1232e+05,7.6943e+05,92.7181,271.2752,9.8770e+03,-9.8487e+03
2.5119,0.0016,3.9811e-04,8.1371e+03,2.3488e+03,9.7504e+03,1.6845e+03,111.0098,137.5088,4.4190e+05,169.4973,1.3144e+04,1.4040e+05,7.1453e+05,141.1595,207.3349,1.4322e+04,-1.4266e+04
2.5119,0.0016,7.9433e-04,8.3156e+03,2.3228e+03,1.0249e+04,1.9427e+03,75.2022,92.8747,4.0837e+05,115.2520,9.0906e+03,1.6612e+05,6.6170e+05,193.5661,150.2779,1.8394e+04,-1.8301e+04
2.5119,0.0016,0.0016,8.2976e+03,2.2762e+03,1.0649e+04,2.1705e+03,50.2294,59.1925,3.8260e+05,74.8875,6.0430e+03,1.8480e+05,6.1984e+05,235.0792,110.3430,2.1457e+04,-2.1334e+04
2.5119,0.0016,0.0032,8.2303e+03,2.2512e+03,1.0889e+04,2.3068e+03,39.6956,38.4519,3.6545e+05,49.8767,4.0741e+03,1.9625e+05,5.9140e+05,262.2968,87.3097,2.3435e+04,-2.3294e+04
2.5119,0.0016,0.0063,8.1686e+03,2.2419e+03,1.1008e+04,2.3700e+03,38.0778,27.5122,3.5508e+05,35.9798,2.9332e+03,2.0245e+05,5.7408e+05,278.1265,75.4505,2.4581e+04,-2.4431e+04
2.5119,0.0016,0.0126,8.1255e+03,2.2392e+03,1.1061e+04,2.3977e+03,38.9290,22.3615,3.4918e+05,28.6871,2.3171e+03,2.0555e+05,5.6425e+05,286.6870,69.6063,2.5198e+04,-2.5047e+04
2.5119,0.0016,0.0251,8.0995e+03,2.2387e+03,1.1086e+04,2.4095e+03,39.8450,20.0722,3.4597e+05,24.9593,1.9967e+03,2.0706e+05,5.5895e+05,291.1391,66.7425,2.5518e+04,-2.5368e+04
0.0100,0.0501,0.0016,7.9758e+03,2.2597e+03,1.1115e+04,2.3317e+03,76.6436,71.3947,7.4373e+04,34.0250,2.7814e+03,753.5966,2.1128e+03,281.4767,75.7041,2.4713e+04,-2.4602e+04
2.5119,0.0016,0.0501,8.0851e+03,2.2386e+03,1.1097e+04,2.4148e+03,40.4365,19.0571,3.4429e+05,23.0756,1.8336e+03,2.0779e+05,5.5618e+05,293.4106,65.3326,2.5681e+04,-2.5532e+04
2.5119,0.0016,0.1000,8.0775e+03,2.2386e+03,1.1103e+04,2.4172e+03,40.7669,18.5934,3.4343e+05,22.1281,1.7513e+03,2.0814e+05,5.5475e+05,294.5587,64.6334,2.5763e+04,-2.5614e+04
