f_D,j_C_C,j_C_H,Re_C,Re_C_std,Re_H,Re_H_std,rmsd_fiber,rmsd_TC,rmsd_DP,rmsd_Tout,rmsd_qdot,DP_C,DP_H,T_C_out,T_H_out,qdot_C,qdot_H
0.0100,1.0000e-04,1.9953e-04,6.1983e+03,1.5703e+03,8.1106e+03,1.2432e+03,121.0182,170.5064,7.7291e+04,315.4997,2.3526e+04,327.5072,3.3022e+03,63.9196,375.0870,6.1838e+03,-6.1674e+03
0.0100,1.0000e-04,3.9811e-04,6.6437e+03,1.8288e+03,8.2016e+03,1.2651e+03,132.7569,167.1361,7.7314e+04,301.6025,2.2192e+04,357.6063,3.2514e+03,71.4973,355.1742,7.5194e+03,-7.5002e+03
0.0100,1.9953e-04,1.0000e-04,5.9320e+03,1.3735e+03,8.0631e+03,1.2337e+03,152.9035,201.6063,7.7278e+04,322.6117,2.4237e+04,311.7865,3.3293e+03,60.6332,385.7407,5.4746e+03,-5.4550e+03
0.0100,0.0501,3.9811e-04,7.8837e+03,2.3004e+03,9.1338e+03,1.6584e+03,159.3536,175.9098,7.7540e+04,172.8916,1.2470e+04,580.6601,2.7981e+03,183.7195,209.2025,1.7239e+04,-1.7224e+04
2.5119,7.9433e-04,1.0000e-04,6.3176e+03,1.6306e+03,8.0453e+03,1.2507e+03,191.8235,231.8143,5.0907e+05,312.2038,2.3158e+04,8.4311e+04,8.2149e+05,66.2750,370.9078,6.5054e+03,-6.5833e+03
2.5119,7.9433e-04,1.9953e-04,7.3161e+03,2.1759e+03,8.3570e+03,1.3308e+03,155.1214,189.0309,4.9529e+05,268.7440,1.9376e+04,1.0671e+05,8.0039e+05,96.2365,314.2309,1.0306e+04,-1.0347e+04
2.5119,7.9433e-04,3.9811e-04,7.8967e+03,2.3163e+03,8.7605e+03,1.4952e+03,106.2599,136.6647,4.7842e+05,214.7702,1.5347e+04,1.3352e+05,7.7348e+05,143.2586,252.8312,1.4361e+04,-1.4348e+04
2.5119,7.9433e-04,7.9433e-04,8.1104e+03,2.2708e+03,9.1279e+03,1.6801e+03,65.2049,94.5356,4.6003e+05,165.8469,1.1927e+04,1.5782e+05,7.4349e+05,189.5469,200.6975,1.7816e+04,-1.7734e+04
2.5119,7.9433e-04,0.0016,8.1619e+03,2.2077e+03,9.3775e+03,1.8395e+03,49.3930,70.3355,4.4415e+05,130.9671,9.4953e+03,1.7585e+05,7.1713e+05,223.7840,164.6949,2.0260e+04,-2.0153e+04
2.5119,7.9433e-04,0.0032,8.1654e+03,2.1659e+03,9.5302e+03,1.9480e+03,53.7496,59.9076,4.3528e+05,109.6434,7.9914e+03,1.8754e+05,7.0168e+05,245.2017,143.1390,2.1774e+04,-2.1648e+04
2.5119,7.9433e-04,0.0063,8.1597e+03,2.1427e+03,9.6121e+03,2.0105e+03,61.1552,56.3009,4.3075e+05,97.7647,7.1399e+03,1.9442e+05,6.9341e+05,257.3383,131.3345,2.2632e+04,-2.2493e+04
2.5119,7.9433e-04,0.0126,8.1546e+03,2.1309e+03,9.6534e+03,2.0438e+03,66.2599,55.1545,4.2851e+05,91.4767,6.6827e+03,1.9820e+05,6.8917e+05,263.8348,125.1607,2.3092e+04,-2.2946e+04
2.5119,7.9433e-04,0.0251,8.1511e+03,2.1249e+03,9.6739e+03,2.0610e+03,69.1832,54.7755,4.2741e+05,88.2361,6.4455e+03,2.0019e+05,6.8704e+05,267.2055,122.0036,2.3330e+04,-2.3183e+04
2.5119,7.9433e-04,0.0501,8.1491e+03,2.1218e+03,9.6841e+03,2.0698e+03,70.7456,54.6350,4.2686e+05,86.5897,6.3240e+03,2.0121e+05,6.8597e+05,268.9247,120.4073,2.3451e+04,-2.3306e+04
0.0100,0.0501,7.9433e-04,7.8376e+03,2.2297e+03,9.8495e+03,2.0586e+03,123.6791,121.9925,7.7693e+04,95.8535,7.0939e+03,692.5912,2.5095e+03,260.5131,131.0571,2.2643e+04,-2.2573e+04
2.5119,7.9433e-04,0.1000,8.1481e+03,2.1203e+03,9.6892e+03,2.0742e+03,71.5540,54.5757,4.2659e+05,85.7592,6.2622e+03,2.0173e+05,6.8543e+05,269.7941,119.6047,2.3512e+04,-2.3368e+04
2.5119,0.0016,1.0000e-04,6.3859e+03,1.6700e+03,8.0651e+03,1.2608e+03,202.6178,241.8609,5.0794e+05,309.6069,2.2915e+04,8.5527e+04,8.1982e+05,67.9436,367.4358,6.7405e+03,-6.8343e+03
2.5119,0.0016,1.9953e-04,7.4016e+03,2.2119e+03,8.4130e+03,1.3504e+03,171.9620,203.6392,4.9234e+05,260.5656,1.8764e+04,1.1008e+05,7.9590e+05,103.2310,304.8310,1.0928e+04,-1.0947e+04
