f_D,j_C_C,j_C_H,Re_C,Re_C_std,Re_H,Re_H_std,rmsd_fiber,rmsd_TC,rmsd_DP,rmsd_Tout,rmsd_qdot,DP_C,DP_H,T_C_out,T_H_out,qdot_C,qdot_H
0.0100,1.0000e-04,1.9953e-04,4.7814e+03,1.1570e+03,5.5743e+03,857.6679,136.3032,172.5782,3.8565e+04,331.8658,1.6979e+04,175.5836,1.5100e+03,60.1714,375.4265,4.7201e+03,-4.7064e+03
0.0100,1.0000e-04,3.9811e-04,5.1194e+03,1.3424e+03,5.6370e+03,873.3656,145.9769,163.6655,3.8572e+04,316.5951,1.5973e+04,194.2624,1.4869e+03,69.3715,353.7889,5.7269e+03,-5.7120e+03
0.0100,1.9953e-04,1.0000e-04,4.5747e+03,1.0330e+03,5.5306e+03,847.5344,170.0364,215.7738,3.8558e+04,341.1655,1.7652e+04,165.9484,1.5268e+03,55.9850,389.8948,4.0479e+03,-4.0326e+03
0.0100,0.0501,3.9811e-04,5.7555e+03,1.5606e+03,6.2684e+03,1.1432e+03,165.0138,183.6834,3.8656e+04,187.5218,9.3248e+03,308.4233,1.2802e+03,186.3913,209.9324,1.2374e+04,-1.2363e+04
2.5119,7.9433e-04,1.0000e-04,4.7945e+03,1.1592e+03,5.5807e+03,861.1375,204.2407,247.0188,2.4020e+05,331.4599,1.6983e+04,4.4325e+04,3.8768e+05,61.1226,375.5792,4.7181e+03,-4.7011e+03
2.5119,7.9433e-04,1.9953e-04,5.4589e+03,1.5119e+03,5.7888e+03,928.7587,167.3246,200.7139,2.2682e+05,285.1894,1.4187e+04,5.6535e+04,3.6787e+05,94.5115,315.4345,7.5187e+03,-7.4919e+03
2.5119,7.9433e-04,3.9811e-04,5.8024e+03,1.5711e+03,6.0444e+03,1.0389e+03,119.1536,146.1255,2.1297e+05,226.6674,1.1182e+04,7.1462e+04,3.4641e+05,147.7240,250.2663,1.0534e+04,-1.0488e+04
2.5119,7.9433e-04,7.9433e-04,5.8898e+03,1.5214e+03,6.2938e+03,1.1743e+03,81.3353,101.3655,2.0161e+05,173.3287,8.5957e+03,8.4870e+04,3.2778e+05,199.8621,194.4790,1.3131e+04,-1.3063e+04
2.5119,7.9433e-04,0.0016,5.8857e+03,1.4760e+03,6.4854e+03,1.2940e+03,67.2937,72.8703,1.9393e+05,135.0533,6.7388e+03,9.4698e+04,3.1442e+05,238.5794,155.5664,1.4999e+04,-1.4910e+04
2.5119,7.9433e-04,0.0032,5.8652e+03,1.4508e+03,6.6041e+03,1.3729e+03,69.4954,58.3291,1.8944e+05,111.5860,5.5743e+03,1.0100e+05,3.0617e+05,262.9970,132.2996,1.6171e+04,-1.6066e+04
2.5119,7.9433e-04,0.0063,5.8485e+03,1.4387e+03,6.6677e+03,1.4161e+03,74.8086,52.1105,1.8705e+05,98.5000,4.9094e+03,1.0468e+05,3.0157e+05,276.9219,119.6227,1.6840e+04,-1.6727e+04
2.5119,7.9433e-04,0.0126,5.8383e+03,1.4333e+03,6.6995e+03,1.4382e+03,78.7394,49.6246,1.8584e+05,91.5702,4.5505e+03,1.0669e+05,2.9915e+05,284.4090,113.0288,1.7201e+04,-1.7084e+04
2.5119,7.9433e-04,0.0251,5.8326e+03,1.4308e+03,6.7151e+03,1.4491e+03,81.0579,48.5946,1.8522e+05,88.0002,4.3634e+03,1.0774e+05,2.9791e+05,288.2981,109.6658,1.7389e+04,-1.7270e+04
2.5119,7.9433e-04,0.0501,5.8296e+03,1.4297e+03,6.7228e+03,1.4545e+03,82.3224,48.1399,1.8492e+05,86.1855,4.2672e+03,1.0829e+05,2.9728e+05,290.2895,107.9759,1.7485e+04,-1.7366e+04
0.0100,0.0501,7.9433e-04,5.6764e+03,1.5067e+03,6.7559e+03,1.4174e+03,126.1190,126.3993,3.8716e+04,108.3870,5.4907e+03,369.8391,1.1463e+03,267.0584,130.2563,1.6226e+04,-1.6180e+04
2.5119,7.9433e-04,0.1000,5.8280e+03,1.4291e+03,6.7266e+03,1.4572e+03,82.9795,47.9233,1.8477e+05,85.2703,4.2183e+03,1.0856e+05,2.9697e+05,291.2952,107.1247,1.7534e+04,-1.7416e+04
