f_D,j_C_C,j_C_H,Re_C,Re_C_std,Re_H,Re_H_std,rmsd_fiber,rmsd_TC,rmsd_DP,rmsd_Tout,rmsd_qdot,DP_C,DP_H,T_C_out,T_H_out,qdot_C,qdot_H
0.0100,1.0000e-04,1.9953e-04,1.8399e+03,358.0600,1.9921e+03,303.5329,121.8616,151.4475,4.4157e+03,312.3987,5.9453e+03,24.7833,138.0588,84.3532,373.2406,1.3851e+03,-1.3810e+03
0.0100,1.0000e-04,3.9811e-04,1.9063e+03,382.7071,2.0079e+03,306.7810,139.3088,155.1626,4.4160e+03,300.2841,5.6814e+03,26.3894,136.3909,93.1213,357.6645,1.6492e+03,-1.6449e+03
0.0100,1.9953e-04,1.0000e-04,1.8033e+03,345.1067,1.9854e+03,302.5024,144.0030,182.8081,4.4156e+03,317.7792,6.0678e+03,24.0314,138.7659,80.8153,380.4924,1.2628e+03,-1.2582e+03
0.0100,0.0501,3.9811e-04,2.0640e+03,427.5543,2.1971e+03,376.1134,143.1456,158.6623,4.4217e+03,174.0775,3.3348e+03,39.1194,117.9541,209.6819,220.2713,4.0013e+03,-3.9899e+03
2.5119,7.9433e-04,1.0000e-04,1.8593e+03,371.5178,2.0025e+03,306.9304,182.6332,218.1685,2.0711e+04,306.2598,5.8129e+03,6.3691e+03,3.4440e+04,89.0007,365.5696,1.5188e+03,-1.5122e+03
2.5119,7.9433e-04,1.9953e-04,2.0029e+03,421.7281,2.0623e+03,323.9731,146.2765,176.0977,1.9728e+04,263.2245,4.9416e+03,7.6170e+03,3.2889e+04,124.3337,314.2850,2.3924e+03,-2.3822e+03
2.5119,7.9433e-04,3.9811e-04,2.0722e+03,426.1316,2.1325e+03,348.9908,103.9763,129.3014,1.8721e+04,212.5163,4.0086e+03,9.0114e+03,3.1194e+04,171.5959,259.4575,3.3289e+03,-3.3134e+03
2.5119,7.9433e-04,7.9433e-04,2.0874e+03,414.7330,2.1970e+03,376.3658,72.6075,92.5919,1.7903e+04,167.4345,3.2085e+03,1.0221e+04,2.9712e+04,216.0318,213.1920,4.1330e+03,-4.1117e+03
2.5119,7.9433e-04,0.0016,2.0832e+03,405.3213,2.2433e+03,397.7696,61.2853,70.7955,1.7351e+04,135.2977,2.6372e+03,1.1089e+04,2.8640e+04,248.7432,181.2959,4.7080e+03,-4.6817e+03
2.5119,7.9433e-04,0.0032,2.0763e+03,400.0984,2.2703e+03,410.3704,62.6201,60.8020,1.7027e+04,115.5916,2.2811e+03,1.1636e+04,2.7971e+04,269.3098,162.3073,5.0670e+03,-5.0370e+03
2.5119,7.9433e-04,0.0063,2.0713e+03,397.5298,2.2840e+03,416.7273,66.4215,57.1875,1.6852e+04,104.5734,2.0787e+03,1.1950e+04,2.7593e+04,281.0231,151.9469,5.2712e+03,-5.2391e+03
2.5119,7.9433e-04,0.0126,2.0682e+03,396.3614,2.2907e+03,419.7925,69.2713,56.0586,1.6762e+04,98.7235,1.9699e+03,1.2119e+04,2.7392e+04,287.3152,146.5378,5.3810e+03,-5.3481e+03
2.5119,7.9433e-04,0.0251,2.0666e+03,395.8291,2.2939e+03,421.2757,70.9587,55.7115,1.6716e+04,95.7028,1.9131e+03,1.2208e+04,2.7288e+04,290.5860,143.7726,5.4380e+03,-5.4051e+03
2.5119,7.9433e-04,0.0501,2.0657e+03,395.5774,2.2955e+03,422.0083,71.8741,55.5930,1.6693e+04,94.1655,1.8837e+03,1.2253e+04,2.7235e+04,292.2573,142.3743,5.4672e+03,-5.4348e+03
0.0100,0.0501,7.9433e-04,2.0398e+03,416.6109,2.3088e+03,428.1605,104.5909,106.0485,4.4253e+03,104.2785,2.0928e+03,45.6072,107.4150,281.5859,152.0065,5.2516e+03,-5.2297e+03
2.5119,7.9433e-04,0.1000,2.0653e+03,395.4539,2.2963e+03,422.3737,72.3512,55.5443,1.6682e+04,93.3890,1.8685e+03,1.2276e+04,2.7208e+04,293.1034,141.6703,5.4819e+03,-5.4505e+03
2.5119,0.0016,1.0000e-04,1.8699e+03,376.3713,2.0064e+03,308.0227,192.9282,228.4633,2.0641e+04,303.5817,5.7563e+03,6.4433e+03,3.4333e+04,91.0624,362.2532,1.5755e+03,-1.5687e+03
2.5119,0.0016,1.9953e-04,2.0137e+03,425.6586,2.0744e+03,328.0537,161.1434,189.3940,1.9534e+04,255.2100,4.7917e+03,7.8125e+03,3.2582e+04,131.6464,305.4715,2.5429e+03,-2.5319e+03
2.5119,0.0016,3.9811e-04,2.0721e+03,426.2962,2.1605e+03,360.4282,119.0041,139.6314,1.8322e+04,195.2139,3.7032e+03,9.3949e+03,3.0531e+04,188.6205,241.6988,3.6358e+03,-3.6180e+03
2.5119,0.0016,7.9433e-04,2.0711e+03,413.8264,2.2445e+03,398.3221,79.3222,94.6176,1.7263e+04,139.5827,2.7192e+03,1.0805e+04,2.8599e+04,244.5164,185.7319,4.6256e+03,-4.5997e+03
2.5119,0.0016,0.0016,2.0520e+03,405.7567,2.3041e+03,426.7260,52.1521,62.4759,1.6504e+04,98.6865,1.9807e+03,1.1847e+04,2.7106e+04,287.4267,146.6016,5.3703e+03,-5.3370e+03
2.5119,0.0016,0.0032,2.0344e+03,402.2076,2.3339e+03,439.8855,39.9851,43.3270,1.6043e+04,73.1303,1.5012e+03,1.2523e+04,2.6129e+04,315.4294,123.6353,5.8552e+03,-5.8170e+03
2.5119,0.0016,0.0063,2.0226e+03,400.9137,2.3446e+03,444.4554,37.5797,33.5843,1.5792e+04,58.6927,1.2209e+03,1.2921e+04,2.5563e+04,331.8127,111.4339,6.1397e+03,-6.0988e+03
2.5119,0.0016,0.0126,2.0157e+03,400.5326,2.3475e+03,445.7326,38.2567,29.1499,1.5664e+04,50.9864,1.0679e+03,1.3141e+04,2.5258e+04,340.7575,105.2079,6.2955e+03,-6.2534e+03
2.5119,0.0016,0.0251,2.0119e+03,400.4590,2.3482e+03,446.3911,39.1846,27.2007,1.5599e+04,46.9955,987.5753,1.3256e+04,2.5101e+04,345.4484,102.0679,6.3772e+03,-6.3350e+03
0.0100,0.0501,0.0016,1.9975e+03,411.8381,2.3731e+03,454.4016,72.9680,62.8229,4.4287e+03,50.7568,1.0829e+03,50.5270,98.2476,341.0690,105.0873,6.2749e+03,-6.2419e+03
2.5119,0.0016,0.0501,2.0099e+03,400.4606,2.3483e+03,446.7830,39.8108,26.3233,1.5567e+04,44.9626,946.2245,1.3316e+04,2.5020e+04,347.8558,100.4942,6.4191e+03,-6.3773e+03
2.5119,0.0016,0.1000,2.0089e+03,400.4748,2.3482e+03,446.9702,40.1657,25.9106,1.5550e+04,43.9346,925.0945,1.3346e+04,2.4980e+04,349.0770,99.7039,6.4404e+03,-6.3991e+03
2.5119,0.0032,1.0000e-04,1.8753e+03,378.7102,2.0087e+03,308.6455,198.6936,234.7009,2.0602e+04,302.1086,5.7256e+03,6.4838e+03,3.4273e+04,92.2099,360.4415,1.6061e+03,-1.5996e+03
2.5119,0.0032,1.9953e-04,2.0183e+03,427.6353,2.0816e+03,330.5439,170.2113,198.2939,1.9421e+04,250.6157,4.7068e+03,7.9214e+03,3.2402e+04,135.8850,300.4661,2.6277e+03,-2.6170e+03
2.5119,0.0032,3.9811e-04,2.0693e+03,426.7873,2.1780e+03,367.8373,130.0553,147.8744,1.8074e+04,184.9370,3.5231e+03,9.6106e+03,3.0119e+04,198.8423,231.2648,3.8162e+03,-3.7981e+03
2.5119,0.0032,7.9433e-04,2.0574e+03,414.7072,2.2751e+03,412.6580,89.4078,98.8339,1.6841e+04,122.6057,2.4191e+03,1.1133e+04,2.7866e+04,262.1918,169.3394,4.9273e+03,-4.8997e+03
2.5119,0.0032,0.0016,2.0278e+03,408.1708,2.3407e+03,442.8429,57.3194,61.2632,1.5913e+04,75.9087,1.5613e+03,1.2274e+04,2.6035e+04,312.3648,126.1077,5.7936e+03,-5.7573e+03
2.5119,0.0032,0.0032,2.0018e+03,405.9373,2.3632e+03,450.9943,36.6905,36.8571,1.5330e+04,46.2938,985.4879,1.3031e+04,2.4787e+04,346.2519,101.4851,6.3793e+03,-6.3372e+03
2.5119,0.0032,0.0063,1.9840e+03,405.5634,2.3607e+03,451.3734,26.2445,22.8664,1.5009e+04,29.3988,642.9882,1.3488e+04,2.4046e+04,366.6562,88.9432,6.7334e+03,-6.6885e+03
2.5119,0.0032,0.0126,1.9732e+03,405.8156,2.3524e+03,451.0743,22.2994,15.6367,1.4843e+04,20.3913,458.1808,1.3742e+04,2.3642e+04,378.0006,82.7614,6.9310e+03,-6.8852e+03
