f_D,j_C_C,j_C_H,Re_C,Re_C_std,Re_H,Re_H_std,rmsd_fiber,rmsd_TC,rmsd_DP,rmsd_Tout,rmsd_qdot,DP_C,DP_H,T_C_out,T_H_out,qdot_C,qdot_H
0.0100,1.0000e-04,1.9953e-04,4.6320e+03,830.7976,6.5198e+03,986.2425,194.7625,205.3031,5.2639e+04,347.9874,2.2034e+04,198.0990,2.1723e+03,51.4151,414.8610,2.8602e+03,-2.8546e+03
0.0100,1.0000e-04,3.9811e-04,4.7195e+03,870.4618,6.5417e+03,988.8370,218.2641,219.1936,5.2644e+04,344.1048,2.1688e+04,201.8017,2.1620e+03,52.7109,408.6081,3.2054e+03,-3.2010e+03
0.0100,1.9953e-04,1.0000e-04,4.7544e+03,887.1530,6.5490e+03,994.3239,143.3082,184.3280,5.2646e+04,342.7620,2.1560e+04,203.3622,2.1582e+03,53.2572,406.5292,3.3358e+03,-3.3256e+03
0.0100,0.0501,3.9811e-04,6.6564e+03,1.8548e+03,7.4869e+03,1.3517e+03,153.6948,175.4520,5.2811e+04,180.5400,1.0714e+04,410.0361,1.7847e+03,182.9913,210.2214,1.4190e+04,-1.4164e+04
2.5119,7.9433e-04,1.0000e-04,5.1958e+03,1.1403e+03,6.6392e+03,1.0151e+03,154.9599,194.3714,3.4107e+05,327.4899,2.0237e+04,5.6270e+04,5.4972e+05,59.6596,382.8545,4.6623e+03,-4.6464e+03
2.5119,7.9433e-04,1.9953e-04,5.9275e+03,1.5972e+03,6.7745e+03,1.0511e+03,114.3856,140.4473,3.3043e+05,300.8348,1.8145e+04,6.7495e+04,5.3401e+05,75.2942,345.1349,6.7559e+03,-6.7360e+03
2.5119,7.9433e-04,3.9811e-04,6.4679e+03,1.8017e+03,6.8711e+03,1.0823e+03,103.2526,105.9871,3.2410e+05,276.3283,1.6447e+04,7.9633e+04,5.2403e+05,93.8901,314.3045,8.4564e+03,-8.4318e+03
2.5119,7.9433e-04,7.9433e-04,6.7881e+03,1.8526e+03,6.9151e+03,1.1018e+03,130.8360,109.9972,3.2239e+05,259.8008,1.5382e+04,8.9696e+04,5.2049e+05,107.8409,294.8814,9.5237e+03,-9.4947e+03
2.5119,7.9433e-04,0.0016,6.9603e+03,1.8509e+03,6.9371e+03,1.1095e+03,158.0976,124.8511,3.2215e+05,249.4721,1.4734e+04,9.6508e+04,5.1929e+05,116.8302,282.9963,1.0174e+04,-1.0140e+04
2.5119,7.9433e-04,0.0032,7.0490e+03,1.8394e+03,6.9504e+03,1.1136e+03,174.9119,135.6398,3.2210e+05,243.3785,1.4355e+04,1.0056e+05,5.1864e+05,122.2265,276.0737,1.0554e+04,-1.0518e+04
2.5119,7.9433e-04,0.0063,7.0940e+03,1.8303e+03,6.9582e+03,1.1163e+03,184.1703,142.3423,3.2207e+05,240.0253,1.4146e+04,1.0281e+05,5.1828e+05,125.2346,272.3035,1.0764e+04,-1.0725e+04
2.5119,7.9433e-04,0.0126,7.1168e+03,1.8249e+03,6.9623e+03,1.1181e+03,189.0478,146.0935,3.2207e+05,238.2663,1.4035e+04,1.0399e+05,5.1809e+05,126.8271,270.3412,1.0876e+04,-1.0836e+04
2.5119,7.9433e-04,0.0251,7.1281e+03,1.8219e+03,6.9644e+03,1.1193e+03,191.5600,148.0418,3.2206e+05,237.3629,1.3978e+04,1.0459e+05,5.1799e+05,127.6499,269.3388,1.0932e+04,-1.0895e+04
2.5119,7.9433e-04,0.0501,7.1338e+03,1.8203e+03,6.9655e+03,1.1199e+03,192.8404,149.0214,3.2206e+05,236.9063,1.3947e+04,1.0490e+05,5.1794e+05,128.0700,268.8368,1.0961e+04,-1.0927e+04
0.0100,0.0501,7.9433e-04,6.6109e+03,1.7925e+03,8.0379e+03,1.6563e+03,115.3565,120.6304,5.2896e+04,104.6947,6.3262e+03,490.5583,1.6056e+03,259.6303,133.5992,1.8600e+04,-1.8530e+04
