f_D,j_C_C,j_C_H,Re_C,Re_C_std,Re_H,Re_H_std,rmsd_fiber,rmsd_TC,rmsd_DP,rmsd_Tout,rmsd_qdot,DP_C,DP_H,T_C_out,T_H_out,qdot_C,qdot_H
0.0100,1.0000e-04,1.9953e-04,1.6038e+03,309.5685,1.7252e+03,262.8651,120.7031,149.9671,3.2861e+03,309.4696,5.0833e+03,18.6898,102.9044,84.3439,370.8687,1.1890e+03,-1.1853e+03
0.0100,1.0000e-04,3.9811e-04,1.6603e+03,330.0862,1.7387e+03,265.6762,138.3009,153.9655,3.2864e+03,297.4201,4.8574e+03,19.8933,101.6659,93.0954,355.4229,1.4151e+03,-1.4113e+03
0.0100,1.9953e-04,1.0000e-04,1.5723e+03,298.7076,1.7193e+03,261.9539,142.7025,181.3910,3.2861e+03,314.8596,5.1889e+03,18.1207,103.4320,80.7802,378.1056,1.0835e+03,-1.0795e+03
0.0100,0.0501,3.9811e-04,1.7917e+03,366.9120,1.9019e+03,325.1252,141.6533,157.3573,3.2906e+03,172.0937,2.8476e+03,29.3940,87.9612,208.8341,219.0822,3.4298e+03,-3.4199e+03
2.5119,7.9433e-04,1.0000e-04,1.6195e+03,320.8666,1.7340e+03,265.7417,181.1131,216.7204,1.5444e+04,303.4374,4.9711e+03,4.7993e+03,2.5664e+04,88.9052,363.3318,1.3022e+03,-1.2965e+03
2.5119,7.9433e-04,1.9953e-04,1.7413e+03,362.4497,1.7856e+03,280.3970,144.9113,174.7882,1.4715e+04,260.6016,4.2240e+03,5.7329e+03,2.4509e+04,124.1174,312.3749,2.0515e+03,-2.0426e+03
2.5119,7.9433e-04,3.9811e-04,1.7995e+03,365.5828,1.8462e+03,301.8573,102.8180,128.1244,1.3969e+04,210.2021,3.4243e+03,6.7737e+03,2.3249e+04,171.1076,257.9404,2.8541e+03,-2.8408e+03
2.5119,7.9433e-04,7.9433e-04,1.8117e+03,355.7857,1.9018e+03,325.2873,71.7384,91.6470,1.3363e+04,165.4589,2.7395e+03,7.6750e+03,2.2148e+04,215.2171,212.0701,3.5426e+03,-3.5243e+03
2.5119,7.9433e-04,0.0016,1.8075e+03,347.8505,1.9416e+03,343.5998,60.7013,70.1283,1.2954e+04,133.5968,2.2510e+03,8.3207e+03,2.1351e+04,247.6547,180.4876,4.0344e+03,-4.0119e+03
2.5119,7.9433e-04,0.0032,1.8014e+03,343.4868,1.9648e+03,354.3896,62.1766,60.3172,1.2714e+04,114.0676,1.9468e+03,8.7266e+03,2.0854e+04,268.0393,161.6961,4.3413e+03,-4.3156e+03
2.5119,7.9433e-04,0.0063,1.7969e+03,341.3502,1.9767e+03,359.8279,66.0167,56.7951,1.2585e+04,103.1476,1.7739e+03,8.9597e+03,2.0573e+04,279.6495,151.4434,4.5160e+03,-4.4884e+03
2.5119,7.9433e-04,0.0126,1.7942e+03,340.3830,1.9825e+03,362.4395,68.8721,55.7162,1.2518e+04,97.3483,1.6809e+03,9.0857e+03,2.0423e+04,285.8877,146.0888,4.6099e+03,-4.5814e+03
2.5119,7.9433e-04,0.0251,1.7927e+03,339.9454,1.9853e+03,363.7010,70.5574,55.3971,1.2484e+04,94.3525,1.6323e+03,9.1514e+03,2.0345e+04,289.1310,143.3495,4.6587e+03,-4.6302e+03
2.5119,7.9433e-04,0.0501,1.7919e+03,339.7411,1.9866e+03,364.3264,71.4702,55.2938,1.2467e+04,92.8276,1.6073e+03,9.1850e+03,2.0306e+04,290.7885,141.9635,4.6837e+03,-4.6556e+03
0.0100,0.0501,7.9433e-04,1.7699e+03,357.8224,1.9979e+03,369.6518,103.1516,104.9158,3.2932e+03,102.8112,1.7844e+03,34.2369,80.1395,280.2008,151.3854,4.5005e+03,-4.4818e+03
2.5119,7.9433e-04,0.1000,1.7915e+03,339.6426,1.9873e+03,364.6400,71.9458,55.2537,1.2458e+04,92.0569,1.5942e+03,9.2021e+03,2.0286e+04,291.6281,141.2656,4.6963e+03,-4.6691e+03
2.5119,0.0016,1.0000e-04,1.6285e+03,324.9843,1.7374e+03,266.6782,191.3284,226.9339,1.5392e+04,300.7892,4.9229e+03,4.8547e+03,2.5584e+04,90.9415,360.0530,1.3506e+03,-1.3447e+03
2.5119,0.0016,1.9953e-04,1.7503e+03,365.7501,1.7961e+03,283.8964,159.6952,188.0176,1.4571e+04,252.6600,4.0957e+03,5.8788e+03,2.4282e+04,131.3583,303.6418,2.1802e+03,-2.1706e+03
2.5119,0.0016,3.9811e-04,1.7990e+03,365.7518,1.8703e+03,311.6445,117.7288,138.4323,1.3673e+04,193.0440,3.1629e+03,7.0599e+03,2.2757e+04,187.9793,240.3296,3.1169e+03,-3.1016e+03
2.5119,0.0016,7.9433e-04,1.7972e+03,355.1703,1.9426e+03,344.0345,78.2631,93.6835,1.2890e+04,137.8337,2.3206e+03,8.1110e+03,2.1322e+04,243.4553,184.8411,3.9644e+03,-3.9422e+03
2.5119,0.0016,0.0016,1.7804e+03,348.4521,1.9939e+03,368.2995,51.3247,61.8663,1.2330e+04,97.2834,1.6893e+03,8.8865e+03,2.0215e+04,286.0049,146.0928,4.6014e+03,-4.5730e+03
2.5119,0.0016,0.0032,1.7650e+03,345.5361,2.0195e+03,379.5541,39.3644,42.9726,1.1989e+04,71.9514,1.2798e+03,9.3892e+03,1.9490e+04,313.7600,123.3549,5.0161e+03,-4.9834e+03
2.5119,0.0016,0.0063,1.7547e+03,344.4859,2.0287e+03,383.4565,37.0969,33.3812,1.1804e+04,57.6389,1.0406e+03,9.6854e+03,1.9070e+04,329.9997,111.2663,5.2594e+03,-5.2243e+03
2.5119,0.0016,0.0126,1.7487e+03,344.1894,2.0313e+03,384.5292,37.8395,29.0277,1.1709e+04,49.9984,910.0321,9.8485e+03,1.8844e+04,338.8686,105.0930,5.3926e+03,-5.3565e+03
2.5119,0.0016,0.0251,1.7454e+03,344.1447,2.0319e+03,385.0575,38.7947,27.1205,1.1661e+04,46.0411,841.5392,9.9345e+03,1.8727e+04,343.5212,101.9782,5.4626e+03,-5.4264e+03
0.0100,0.0501,0.0016,1.7331e+03,354.0160,2.0533e+03,392.2416,71.5287,61.8909,3.2957e+03,49.7267,921.5595,37.9129,73.3547,339.1952,104.8892,5.3761e+03,-5.3480e+03
2.5119,0.0016,0.0501,1.7437e+03,344.1540,2.0320e+03,385.3831,39.4317,26.2640,1.1637e+04,44.0250,806.2769,9.9788e+03,1.8667e+04,345.9095,100.4158,5.4985e+03,-5.4625e+03
2.5119,0.0016,0.1000,1.7428e+03,344.1721,2.0320e+03,385.5460,39.7915,25.8621,1.1625e+04,43.0054,788.2307,1.0001e+04,1.8637e+04,347.1213,99.6312,5.5167e+03,-5.4812e+03
2.5119,0.0032,1.0000e-04,1.6331e+03,326.9903,1.7393e+03,267.2132,197.0435,233.1138,1.5363e+04,299.3350,4.8966e+03,4.8850e+03,2.5540e+04,92.0716,358.2633,1.3767e+03,-1.3711e+03
2.5119,0.0032,1.9953e-04,1.7540e+03,367.4108,1.8022e+03,286.0330,168.7042,196.8470,1.4488e+04,248.1124,4.0231e+03,5.9602e+03,2.4149e+04,135.5482,298.6846,2.2527e+03,-2.2434e+03
2.5119,0.0032,3.9811e-04,1.7963e+03,366.2088,1.8854e+03,317.9878,128.6874,146.6003,1.3490e+04,182.8588,3.0088e+03,7.2211e+03,2.2452e+04,198.1002,229.9850,3.2714e+03,-3.2558e+03
2.5119,0.0032,7.9433e-04,1.7852e+03,356.0488,1.9689e+03,356.2868,88.1872,97.8123,1.2579e+04,120.9970,2.0638e+03,8.3563e+03,2.0779e+04,260.9734,168.5869,4.2228e+03,-4.1992e+03
2.5119,0.0032,0.0016,1.7594e+03,350.6824,2.0252e+03,382.0938,56.2226,60.5556,1.1895e+04,74.6888,1.3305e+03,9.2067e+03,1.9423e+04,310.7270,125.7680,4.9640e+03,-4.9329e+03
2.5119,0.0032,0.0032,1.7368e+03,348.8951,2.0447e+03,389.1378,35.6447,36.4193,1.1465e+04,45.3344,839.2166,9.7711e+03,1.8499e+04,344.3158,101.3713,5.4648e+03,-5.4288e+03
2.5119,0.0032,0.0063,1.7213e+03,348.6227,2.0428e+03,389.4882,25.2155,22.6061,1.1230e+04,28.6065,547.9767,1.0112e+04,1.7951e+04,364.5427,88.9279,5.7677e+03,-5.7292e+03
2.5119,0.0032,0.0126,1.7120e+03,348.8647,2.0358e+03,389.2208,21.3221,15.4770,1.1108e+04,19.7179,391.9040,1.0301e+04,1.7652e+04,375.7926,82.7892,5.9367e+03,-5.8975e+03
0.0100,0.0501,0.0032,1.7002e+03,353.1200,2.0442e+03,389.6859,49.1088,31.8188,3.2976e+03,15.4479,327.0960,40.4674,68.4579,381.5501,80.0360,6.0079e+03,-5.9725e+03
2.5119,0.0032,0.0251,1.7068e+03,349.1532,2.0306e+03,388.9639,20.2515,12.1163,1.1047e+04,15.2083,314.1876,1.0402e+04,1.7496e+04,381.7532,79.7620,6.0264e+03,-5.9872e+03
2.5119,0.0032,0.0501,1.7040e+03,349.3427,2.0275e+03,388.8078,20.0368,10.6146,1.1016e+04,12.9769,276.7292,1.0453e+04,1.7416e+04,384.8277,78.2624,6.0726e+03,-6.0337e+03
2.5119,0.0032,0.1000,1.7025e+03,349.4450,2.0258e+03,388.7373,20.0229,9.9433,1.1001e+04,11.8792,258.6861,1.0480e+04,1.7376e+04,386.3929,77.5169,6.0962e+03,-6.0575e+03
2.5119,0.0063,1.0000e-04,1.6354e+03,327.9160,1.7403e+03,267.5055,200.0637,236.6127,1.5347e+04,298.5770,4.8831e+03,4.9009e+03,2.5516e+04,92.6497,357.3189,1.3900e+03,-1.3850e+03
