f_D,j_C_C,j_C_H,Re_C,Re_C_std,Re_H,Re_H_std,rmsd_fiber,rmsd_TC,rmsd_DP,rmsd_Tout,rmsd_qdot,DP_C,DP_H,T_C_out,T_H_out,qdot_C,qdot_H
0.0100,1.0000e-04,1.9953e-04,4.7580e+03,998.3773,5.3156e+03,810.5994,128.2588,159.4706,3.0283e+04,318.5720,1.6109e+04,170.8435,1.0915e+03,81.1761,382.7635,3.8690e+03,-3.8585e+03
0.0100,1.0000e-04,3.9811e-04,4.9596e+03,1.0790e+03,5.3607e+03,819.9076,145.1368,160.8892,3.0287e+04,305.8244,1.5353e+04,182.8129,1.0779e+03,90.0242,366.0864,4.6256e+03,-4.6145e+03
0.0100,1.9953e-04,1.0000e-04,4.6497e+03,953.6224,5.2956e+03,807.7150,149.8113,189.9173,3.0281e+04,324.2979,1.6465e+04,165.3126,1.0976e+03,77.6315,390.6456,3.5146e+03,-3.5020e+03
0.0100,0.0501,3.9811e-04,5.4595e+03,1.2242e+03,5.8949e+03,1.0271e+03,148.8780,163.4765,3.0341e+04,175.1930,8.8455e+03,276.6715,930.8699,209.8765,223.5078,1.1144e+04,-1.1116e+04
2.5119,7.9433e-04,1.0000e-04,4.8276e+03,1.0377e+03,5.3457e+03,821.0991,188.0959,223.8163,1.6884e+05,312.4134,1.5754e+04,4.4067e+04,2.7540e+05,85.8500,375.1205,4.2272e+03,-4.2103e+03
2.5119,7.9433e-04,1.9953e-04,5.2625e+03,1.2053e+03,5.5131e+03,871.2737,151.3608,181.6983,1.6068e+05,268.0547,1.3325e+04,5.3322e+04,2.6275e+05,121.5125,321.7263,6.6625e+03,-6.6355e+03
2.5119,7.9433e-04,3.9811e-04,5.4790e+03,1.2246e+03,5.7137e+03,947.7261,108.2741,134.2813,1.5222e+05,215.1238,1.0710e+04,6.3821e+04,2.4888e+05,170.3667,264.1583,9.2858e+03,-9.2433e+03
2.5119,7.9433e-04,7.9433e-04,5.5327e+03,1.1897e+03,5.9025e+03,1.0347e+03,75.9251,95.8282,1.4524e+05,167.5897,8.4553e+03,7.3025e+04,2.3671e+05,216.8063,215.0393,1.1551e+04,-1.1491e+04
2.5119,7.9433e-04,0.0016,5.5258e+03,1.1599e+03,6.0420e+03,1.1059e+03,64.2418,72.2304,1.4050e+05,133.5011,6.8391e+03,7.9667e+04,2.2792e+05,251.1412,180.8571,1.3177e+04,-1.3102e+04
2.5119,7.9433e-04,0.0032,5.5092e+03,1.1431e+03,6.1259e+03,1.1500e+03,65.8061,61.1373,1.3771e+05,112.5592,5.8304e+03,8.3857e+04,2.2245e+05,272.7401,160.3996,1.4192e+04,-1.4108e+04
2.5119,7.9433e-04,0.0063,5.4962e+03,1.1351e+03,6.1701e+03,1.1733e+03,69.9163,56.9479,1.3620e+05,100.8574,5.2573e+03,8.6261e+04,2.1937e+05,285.0271,149.2187,1.4769e+04,-1.4679e+04
2.5119,7.9433e-04,0.0126,5.4882e+03,1.1315e+03,6.1921e+03,1.1851e+03,72.9828,55.5057,1.3541e+05,94.6527,4.9494e+03,8.7560e+04,2.1774e+05,291.6169,143.3798,1.5078e+04,-1.4988e+04
2.5119,7.9433e-04,0.0251,5.4836e+03,1.1298e+03,6.2029e+03,1.1910e+03,74.8018,54.9897,1.3502e+05,91.4537,4.7892e+03,8.8237e+04,2.1689e+05,295.0390,140.3999,1.5239e+04,-1.5148e+04
2.5119,7.9433e-04,0.0501,5.4813e+03,1.1290e+03,6.2083e+03,1.1940e+03,75.7906,54.7831,1.3482e+05,89.8275,4.7068e+03,8.8583e+04,2.1647e+05,296.7854,138.8937,1.5320e+04,-1.5232e+04
0.0100,0.0501,7.9433e-04,5.3998e+03,1.1874e+03,6.2349e+03,1.1978e+03,110.5678,110.5611,3.0375e+04,101.9414,5.3679e+03,324.3405,844.7480,284.5865,151.1719,1.4644e+04,-1.4581e+04
2.5119,7.9433e-04,0.1000,5.4801e+03,1.1286e+03,6.2109e+03,1.1954e+03,76.3071,54.6898,1.3472e+05,89.0070,4.6647e+03,8.8758e+04,2.1625e+05,297.6689,138.1369,1.5362e+04,-1.5275e+04
