f_D,j_C_C,j_C_H,Re_C,Re_C_std,Re_H,Re_H_std,rmsd_fiber,rmsd_TC,rmsd_DP,rmsd_Tout,rmsd_qdot,DP_C,DP_H,T_C_out,T_H_out,qdot_C,qdot_H
0.0100,1.0000e-04,1.9953e-04,4.7781e+03,982.9409,5.3806e+03,820.1609,126.0980,157.7574,3.0217e+04,314.9894,1.6130e+04,173.1701,1.0924e+03,82.2063,380.8596,3.8518e+03,-3.8412e+03
0.0100,1.0000e-04,3.9811e-04,4.9765e+03,1.0645e+03,5.4256e+03,829.3246,142.9025,159.3180,3.0221e+04,302.4374,1.5378e+04,184.9441,1.0787e+03,90.9167,364.4495,4.6041e+03,-4.5933e+03
0.0100,1.9953e-04,1.0000e-04,4.6738e+03,939.6398,5.3609e+03,817.4176,147.5039,187.4244,3.0215e+04,320.5287,1.6478e+04,167.8308,1.0982e+03,78.7792,388.4807,3.5055e+03,-3.4929e+03
0.0100,0.0501,3.9811e-04,5.4891e+03,1.2199e+03,5.9594e+03,1.0345e+03,147.3384,161.7422,3.0275e+04,173.1824,8.8513e+03,278.4104,931.9967,209.2392,223.1391,1.1143e+04,-1.1115e+04
2.5119,7.9433e-04,1.0000e-04,4.8502e+03,1.0242e+03,5.4116e+03,830.8751,185.9149,221.1157,1.6905e+05,308.6920,1.5763e+04,4.4690e+04,2.7551e+05,86.9753,373.0388,4.2223e+03,-4.2050e+03
2.5119,7.9433e-04,1.9953e-04,5.2828e+03,1.1948e+03,5.5790e+03,880.7081,149.5920,179.6939,1.6094e+05,264.9128,1.3337e+04,5.3846e+04,2.6291e+05,122.1013,320.2970,6.6543e+03,-6.6275e+03
2.5119,7.9433e-04,3.9811e-04,5.5035e+03,1.2191e+03,5.7793e+03,956.2848,106.9305,132.9641,1.5251e+05,212.6990,1.0722e+04,6.4246e+04,2.4908e+05,170.1786,263.4031,9.2778e+03,-9.2356e+03
2.5119,7.9433e-04,7.9433e-04,5.5616e+03,1.1870e+03,5.9673e+03,1.0417e+03,74.6193,94.9658,1.4554e+05,165.7662,8.4657e+03,7.3375e+04,2.3693e+05,215.9805,214.8626,1.1545e+04,-1.1486e+04
2.5119,7.9433e-04,0.0016,5.5578e+03,1.1581e+03,6.1056e+03,1.1110e+03,62.6507,71.6359,1.4080e+05,132.0877,6.8477e+03,7.9967e+04,2.2814e+05,249.8959,181.0966,1.3172e+04,-1.3098e+04
2.5119,7.9433e-04,0.0032,5.5428e+03,1.1416e+03,6.1884e+03,1.1537e+03,63.9882,60.6793,1.3800e+05,111.3918,5.8380e+03,8.4123e+04,2.2267e+05,271.2466,160.8964,1.4189e+04,-1.4105e+04
2.5119,7.9433e-04,0.0063,5.5307e+03,1.1335e+03,6.2319e+03,1.1762e+03,67.9838,56.5468,1.3648e+05,99.8265,5.2647e+03,8.6506e+04,2.1959e+05,283.3953,149.8584,1.4766e+04,-1.4678e+04
2.5119,7.9433e-04,0.0126,5.5231e+03,1.1298e+03,6.2535e+03,1.1875e+03,70.9936,55.1277,1.3570e+05,93.6937,4.9566e+03,8.7794e+04,2.1795e+05,289.9122,144.0955,1.5075e+04,-1.4986e+04
2.5119,7.9433e-04,0.0251,5.5189e+03,1.1280e+03,6.2641e+03,1.1931e+03,72.7836,54.6210,1.3530e+05,90.5316,4.7961e+03,8.8464e+04,2.1711e+05,293.2964,141.1539,1.5236e+04,-1.5147e+04
2.5119,7.9433e-04,0.0501,5.5167e+03,1.1272e+03,6.2693e+03,1.1960e+03,73.7569,54.4185,1.3509e+05,88.9244,4.7137e+03,8.8807e+04,2.1668e+05,295.0229,139.6669,1.5318e+04,-1.5231e+04
0.0100,0.0501,7.9433e-04,5.4354e+03,1.1842e+03,6.2951e+03,1.2005e+03,109.4226,109.4486,3.0309e+04,100.7439,5.3668e+03,325.9559,846.1192,283.1289,151.6459,1.4650e+04,-1.4588e+04
