f_D,j_C_C,j_C_H,Re_C,Re_C_std,Re_H,Re_H_std,rmsd_fiber,rmsd_TC,rmsd_DP,rmsd_Tout,rmsd_qdot,DP_C,DP_H,T_C_out,T_H_out,qdot_C,qdot_H
0.0100,1.0000e-04,1.9953e-04,1.6129e+03,312.9230,1.7252e+03,262.9113,120.6452,150.3201,3.3454e+03,310.4465,5.0863e+03,18.8037,103.7768,83.8275,370.7141,1.1931e+03,-1.1895e+03
0.0100,1.0000e-04,3.9811e-04,1.6698e+03,333.1885,1.7389e+03,265.7509,137.7479,154.0826,3.3456e+03,298.3422,4.8595e+03,20.0292,102.5274,92.6323,355.1957,1.4201e+03,-1.4162e+03
0.0100,1.9953e-04,1.0000e-04,1.5807e+03,302.0854,1.7192e+03,261.9761,144.0718,182.2476,3.3453e+03,315.9189,5.1935e+03,18.2186,104.3162,80.2065,378.0672,1.0860e+03,-1.0820e+03
0.0100,0.0501,3.9811e-04,1.7980e+03,368.4447,1.9028e+03,325.7412,143.1764,158.0847,3.3499e+03,172.8767,2.8511e+03,29.6112,88.7071,208.6391,218.7614,3.4333e+03,-3.4234e+03
2.5119,7.9433e-04,1.0000e-04,1.6278e+03,323.8827,1.7339e+03,265.7709,182.6838,217.6821,1.5539e+04,304.5245,4.9763e+03,4.8255e+03,2.5884e+04,88.3130,363.3158,1.3042e+03,-1.2985e+03
2.5119,7.9433e-04,1.9953e-04,1.7495e+03,364.7494,1.7858e+03,280.5374,146.2997,175.5459,1.4803e+04,261.5679,4.2280e+03,5.7715e+03,2.4719e+04,123.6738,312.2249,2.0546e+03,-2.0457e+03
2.5119,7.9433e-04,3.9811e-04,1.8067e+03,367.1277,1.8467e+03,302.2071,103.9114,128.6950,1.4051e+04,211.0209,3.4274e+03,6.8248e+03,2.3448e+04,170.8553,257.6551,2.8581e+03,-2.8448e+03
2.5119,7.9433e-04,7.9433e-04,1.8181e+03,356.9833,1.9027e+03,325.9430,72.3802,92.0614,1.3440e+04,166.1639,2.7418e+03,7.7365e+03,2.2337e+04,215.1046,211.6689,3.5472e+03,-3.5288e+03
2.5119,7.9433e-04,0.0016,1.8134e+03,348.9675,1.9428e+03,344.5688,60.7780,70.3941,1.3030e+04,134.2299,2.2528e+03,8.3896e+03,2.1534e+04,247.6263,180.0022,4.0394e+03,-4.0167e+03
2.5119,7.9433e-04,0.0032,1.8070e+03,344.5794,1.9663e+03,355.5868,61.8789,60.4533,1.2788e+04,114.6595,1.9483e+03,8.8004e+03,2.1033e+04,268.0595,161.1602,4.3465e+03,-4.3207e+03
2.5119,7.9433e-04,0.0063,1.8023e+03,342.4523,1.9784e+03,361.1598,65.5528,56.8443,1.2658e+04,103.7174,1.7752e+03,9.0362e+03,2.0750e+04,279.6960,150.8801,4.5212e+03,-4.4935e+03
2.5119,7.9433e-04,0.0126,1.7995e+03,341.4885,1.9842e+03,363.8327,68.3380,55.7171,1.2591e+04,97.9062,1.6821e+03,9.1637e+03,2.0599e+04,285.9476,145.5100,4.6152e+03,-4.5867e+03
2.5119,7.9433e-04,0.0251,1.7980e+03,341.0558,1.9871e+03,365.1344,69.9933,55.3746,1.2557e+04,94.9043,1.6335e+03,9.2303e+03,2.0521e+04,289.1984,142.7634,4.6640e+03,-4.6355e+03
2.5119,7.9433e-04,0.0501,1.7972e+03,340.8553,1.9884e+03,365.7857,70.8918,55.2592,1.2540e+04,93.3762,1.6084e+03,9.2643e+03,2.0481e+04,290.8592,141.3732,4.6890e+03,-4.6609e+03
0.0100,0.0501,7.9433e-04,1.7751e+03,359.3065,1.9999e+03,371.0863,104.6578,105.5350,3.3526e+03,103.4683,1.7873e+03,34.4978,80.8138,280.1497,150.9004,4.5042e+03,-4.4855e+03
