f_D,j_C_C,j_C_H,Re_C,Re_C_std,Re_H,Re_H_std,rmsd_fiber,rmsd_TC,rmsd_DP,rmsd_Tout,rmsd_qdot,DP_C,DP_H,T_C_out,T_H_out,qdot_C,qdot_H
0.0100,1.0000e-04,1.9953e-04,5.2154e+03,1.1042e+03,5.8793e+03,896.7800,129.0826,160.1705,3.7891e+04,316.8498,1.7626e+04,206.6795,1.3607e+03,80.7015,383.1060,4.2843e+03,-4.2727e+03
0.0100,1.0000e-04,3.9811e-04,5.4413e+03,1.1961e+03,5.9300e+03,907.2322,146.1206,161.3963,3.7897e+04,304.0515,1.6785e+04,221.2301,1.3435e+03,89.4980,366.3054,5.1260e+03,-5.1139e+03
0.0100,1.9953e-04,1.0000e-04,5.0946e+03,1.0526e+03,5.8569e+03,893.5016,149.6586,190.2548,3.7889e+04,322.6068,1.8021e+04,199.9679,1.3683e+03,77.1781,391.0540,3.8900e+03,-3.8761e+03
0.0100,0.0501,3.9811e-04,6.0131e+03,1.3645e+03,6.5262e+03,1.1400e+03,148.5584,163.6238,3.7968e+04,173.3121,9.5827e+03,335.5519,1.1603e+03,209.0928,223.3538,1.2339e+04,-1.2309e+04
2.5119,7.9433e-04,1.0000e-04,5.0978e+03,1.0675e+03,5.8966e+03,898.3061,190.5569,225.8078,2.1171e+05,318.2905,1.7757e+04,5.0495e+04,3.4607e+05,80.3141,385.5834,4.1551e+03,-4.1401e+03
2.5119,7.9433e-04,1.9953e-04,5.6156e+03,1.2969e+03,6.0797e+03,948.2734,155.4904,185.1223,2.0133e+05,276.7971,1.5169e+04,6.0619e+04,3.3033e+05,111.8988,334.0371,6.7460e+03,-6.7251e+03
2.5119,7.9433e-04,3.9811e-04,5.9346e+03,1.3629e+03,6.3064e+03,1.0300e+03,111.3785,137.0474,1.9016e+05,223.9975,1.2237e+04,7.3234e+04,3.1254e+05,159.4138,275.4311,9.6845e+03,-9.6535e+03
2.5119,7.9433e-04,7.9433e-04,6.0508e+03,1.3380e+03,6.5258e+03,1.1305e+03,75.2297,96.7449,1.8082e+05,173.9652,9.5988e+03,8.5174e+04,2.9665e+05,207.7300,223.1763,1.2332e+04,-1.2284e+04
2.5119,7.9433e-04,0.0016,6.0713e+03,1.3041e+03,6.6909e+03,1.2187e+03,60.7615,71.5956,1.7454e+05,136.7725,7.6501e+03,9.4331e+04,2.8513e+05,244.9105,185.6010,1.4292e+04,-1.4224e+04
2.5119,7.9433e-04,0.0032,6.0649e+03,1.2819e+03,6.7905e+03,1.2763e+03,62.8073,59.8696,1.7095e+05,113.3947,6.4077e+03,1.0039e+05,2.7802e+05,268.8752,162.6078,1.5544e+04,-1.5460e+04
2.5119,7.9433e-04,0.0063,6.0556e+03,1.2701e+03,6.8425e+03,1.3076e+03,68.3152,55.7649,1.6909e+05,100.1487,5.6915e+03,1.0400e+05,2.7407e+05,282.7148,149.8731,1.6267e+04,-1.6172e+04
2.5119,7.9433e-04,0.0126,6.0488e+03,1.2643e+03,6.8681e+03,1.3235e+03,72.4352,54.5984,1.6816e+05,93.0689,5.3032e+03,1.0600e+05,2.7200e+05,290.2037,143.1746,1.6658e+04,-1.6558e+04
2.5119,7.9433e-04,0.0251,6.0448e+03,1.2613e+03,6.8804e+03,1.3313e+03,74.8810,54.3058,1.6771e+05,89.4017,5.1002e+03,1.0706e+05,2.7094e+05,294.1139,139.7432,1.6862e+04,-1.6761e+04
2.5119,7.9433e-04,0.0501,6.0426e+03,1.2598e+03,6.8865e+03,1.3352e+03,76.2091,54.2353,1.6748e+05,87.5334,4.9959e+03,1.0760e+05,2.7041e+05,296.1140,138.0050,1.6966e+04,-1.6866e+04
0.0100,0.0501,7.9433e-04,5.9499e+03,1.3233e+03,6.9112e+03,1.3354e+03,110.3947,110.8064,3.8013e+04,99.7964,5.7288e+03,393.4988,1.0525e+03,283.8824,150.5782,1.6216e+04,-1.6147e+04
2.5119,7.9433e-04,0.1000,6.0414e+03,1.2591e+03,6.8895e+03,1.3372e+03,76.9029,54.2161,1.6737e+05,86.5893,4.9426e+03,1.0788e+05,2.7014e+05,297.1279,137.1308,1.7019e+04,-1.6920e+04
