f_D,j_C_C,j_C_H,Re_C,Re_C_std,Re_H,Re_H_std,rmsd_fiber,rmsd_TC,rmsd_DP,rmsd_Tout,rmsd_qdot,DP_C,DP_H,T_C_out,T_H_out,qdot_C,qdot_H
0.0100,1.0000e-04,1.9953e-04,7.9404e+03,1.7064e+03,1.2034e+04,1.8364e+03,114.4202,134.4092,1.1899e+05,236.5110,2.5431e+04,569.7526,5.1774e+03,66.4335,311.8260,6.3325e+03,-6.3144e+03
0.0100,1.0000e-04,3.9811e-04,8.3497e+03,1.9277e+03,1.2158e+04,1.8634e+03,130.4274,133.2938,1.1903e+05,225.6350,2.4014e+04,602.2694,5.0998e+03,71.7124,296.1637,7.7497e+03,-7.7318e+03
0.0100,1.9953e-04,1.0000e-04,7.7475e+03,1.5978e+03,1.1975e+04,1.8259e+03,113.6521,154.9270,1.1897e+05,241.6315,2.6112e+04,555.6074,5.2150e+03,64.2609,319.4059,5.6539e+03,-5.6316e+03
0.0100,0.0501,3.9811e-04,1.0183e+04,2.8216e+03,1.3337e+04,2.3078e+03,113.2576,141.1108,1.1939e+05,129.3623,1.3412e+04,882.6685,4.4304e+03,147.2991,180.4515,1.8364e+04,-1.8327e+04
2.5119,7.9433e-04,1.0000e-04,8.1682e+03,1.8127e+03,1.1781e+04,1.8766e+03,137.3568,178.4876,7.8171e+05,233.2047,2.4880e+04,1.4742e+05,1.2625e+06,68.5777,307.5297,6.8197e+03,-6.9277e+03
2.5119,7.9433e-04,1.9953e-04,9.2498e+03,2.4288e+03,1.2183e+04,1.9474e+03,114.7048,151.6092,7.6501e+05,200.0226,2.0788e+04,1.7392e+05,1.2365e+06,88.5440,262.6883,1.0924e+04,-1.1008e+04
2.5119,7.9433e-04,3.9811e-04,1.0063e+04,2.7855e+03,1.2707e+04,2.1601e+03,85.2890,115.1306,7.4321e+05,158.2893,1.6223e+04,2.0709e+05,1.2016e+06,121.2603,212.3308,1.5492e+04,-1.5572e+04
2.5119,7.9433e-04,7.9433e-04,1.0453e+04,2.8704e+03,1.3322e+04,2.3973e+03,62.0178,81.4300,7.2032e+05,118.5368,1.2256e+04,2.3754e+05,1.1642e+06,156.5587,167.9534,1.9504e+04,-1.9498e+04
2.5119,7.9433e-04,0.0016,1.0596e+04,2.8635e+03,1.3823e+04,2.6235e+03,54.6700,58.2684,6.9961e+05,89.1020,9.3825e+03,2.5993e+05,1.1303e+06,184.3889,136.6476,2.2414e+04,-2.2343e+04
2.5119,7.9433e-04,0.0032,1.0637e+04,2.8468e+03,1.4131e+04,2.7492e+03,57.4873,46.5045,6.8266e+05,70.9834,7.5901e+03,2.7393e+05,1.1029e+06,202.4117,118.2915,2.4234e+04,-2.4114e+04
2.5119,7.9433e-04,0.0063,1.0645e+04,2.8368e+03,1.4267e+04,2.8267e+03,61.5990,41.3323,6.7057e+05,60.8501,6.5642e+03,2.8180e+05,1.0836e+06,212.7577,108.3123,2.5266e+04,-2.5139e+04
2.5119,7.9433e-04,0.0126,1.0645e+04,2.8318e+03,1.4338e+04,2.8680e+03,64.4476,39.1615,6.6408e+05,55.4812,6.0148e+03,2.8598e+05,1.0731e+06,218.3233,103.1193,2.5818e+04,-2.5688e+04
2.5119,7.9433e-04,0.0251,1.0643e+04,2.8295e+03,1.4374e+04,2.8894e+03,66.0938,38.2275,6.6070e+05,52.7148,5.7295e+03,2.8812e+05,1.0677e+06,221.2153,100.4717,2.6104e+04,-2.5975e+04
2.5119,7.9433e-04,0.0501,1.0642e+04,2.8283e+03,1.4393e+04,2.9003e+03,66.9814,37.8102,6.5898e+05,51.3096,5.5837e+03,2.8921e+05,1.0649e+06,222.6921,99.1361,2.6249e+04,-2.6122e+04
0.0100,0.0501,7.9433e-04,1.0356e+04,2.8457e+03,1.4186e+04,2.7075e+03,85.8320,100.7585,1.1964e+05,69.4516,7.4060e+03,1.0326e+03,3.9860e+03,205.6853,118.7860,2.4408e+04,-2.4308e+04
2.5119,7.9433e-04,0.1000,1.0641e+04,2.8276e+03,1.4402e+04,2.9058e+03,67.4432,37.6168,6.5811e+05,50.6014,5.5100e+03,2.8976e+05,1.0635e+06,223.4388,98.4658,2.6322e+04,-2.6196e+04
2.5119,0.0016,1.0000e-04,8.2387e+03,1.8425e+03,1.1805e+04,1.8891e+03,144.3310,185.5447,7.8089e+05,231.2359,2.4646e+04,1.4884e+05,1.2612e+06,69.7150,304.8526,7.0651e+03,-7.1501e+03
2.5119,0.0016,1.9953e-04,9.3749e+03,2.4916e+03,1.2250e+04,1.9873e+03,124.4018,161.0742,7.6137e+05,194.3500,2.0141e+04,1.7811e+05,1.2309e+06,92.8910,255.7868,1.1558e+04,-1.1669e+04
2.5119,0.0016,3.9811e-04,1.0170e+04,2.8242e+03,1.2915e+04,2.2204e+03,95.2001,124.3966,7.3515e+05,145.2581,1.4930e+04,2.1544e+05,1.1889e+06,132.8499,197.8444,1.6798e+04,-1.6852e+04
2.5119,0.0016,7.9433e-04,1.0469e+04,2.8749e+03,1.3778e+04,2.5813e+03,64.9954,85.4994,7.0107e+05,96.4944,1.0153e+04,2.4984e+05,1.1343e+06,177.6276,144.7893,2.1640e+04,-2.1574e+04
2.5119,0.0016,0.0016,1.0497e+04,2.8550e+03,1.4380e+04,2.8662e+03,43.7915,55.2444,6.5731e+05,59.9526,6.5309e+03,2.7448e+05,1.0660e+06,214.1110,107.9612,2.5302e+04,-2.5169e+04
2.5119,0.0016,0.0032,1.0427e+04,2.8433e+03,1.4727e+04,3.0521e+03,34.6298,36.1511,6.2339e+05,37.3010,4.2055e+03,2.8848e+05,1.0132e+06,238.0836,86.6605,2.7645e+04,-2.7496e+04
2.5119,0.0016,0.0063,1.0345e+04,2.8434e+03,1.4917e+04,3.1477e+03,32.7042,25.8336,6.0190e+05,24.8130,2.8849e+03,2.9514e+05,9.7992e+05,251.8964,75.6553,2.8980e+04,-2.8826e+04
2.5119,0.0016,0.0126,1.0282e+04,2.8469e+03,1.5015e+04,3.1942e+03,32.8989,20.9472,5.8924e+05,18.3414,2.1883e+03,2.9796e+05,9.6052e+05,259.2740,70.2292,2.9689e+04,-2.9534e+04
