f_D,j_C_C,j_C_H,Re_C,Re_C_std,Re_H,Re_H_std,rmsd_fiber,rmsd_TC,rmsd_DP,rmsd_Tout,rmsd_qdot,DP_C,DP_H,T_C_out,T_H_out,qdot_C,qdot_H
0.0100,1.0000e-04,1.9953e-04,3.4030e+03,695.1584,3.7411e+03,570.2579,126.0008,156.9946,1.5110e+04,320.8829,1.1508e+04,86.2198,516.9488,82.4230,380.3294,2.6937e+03,-2.6861e+03
0.0100,1.0000e-04,3.9811e-04,3.5392e+03,747.8276,3.7719e+03,576.5938,142.6716,159.1255,1.5111e+04,308.3497,1.0987e+04,92.1274,510.5689,91.3114,364.0318,3.2149e+03,-3.2069e+03
0.0100,1.9953e-04,1.0000e-04,3.3291e+03,666.8257,3.7275e+03,568.2887,149.1455,188.2104,1.5109e+04,326.4847,1.1752e+04,83.4828,519.7150,78.8576,387.9940,2.4504e+03,-2.4416e+03
0.0100,0.0501,3.9811e-04,3.8661e+03,841.3527,4.1396e+03,716.3654,148.5796,162.6838,1.5135e+04,178.8922,6.4451e+03,138.4653,441.0520,210.7328,222.9484,7.7652e+03,-7.7454e+03
2.5119,7.9433e-04,1.0000e-04,3.4456e+03,721.2715,3.7612e+03,577.1965,188.0462,223.0841,7.8895e+04,314.7031,1.1256e+04,2.2197e+04,1.2952e+05,87.1277,372.6376,2.9479e+03,-2.9354e+03
2.5119,7.9433e-04,1.9953e-04,3.7378e+03,829.4946,3.8767e+03,611.1145,151.1458,180.6034,7.5132e+04,270.7055,9.5650e+03,2.6758e+04,1.2362e+05,122.9372,319.8896,4.6433e+03,-4.6240e+03
2.5119,7.9433e-04,3.9811e-04,3.8807e+03,840.0824,4.0138e+03,661.9847,108.0030,133.2214,7.1258e+04,218.4756,7.7490e+03,3.1898e+04,1.1717e+05,171.4607,263.2409,6.4656e+03,-6.4357e+03
2.5119,7.9433e-04,7.9433e-04,3.9140e+03,816.2568,4.1413e+03,718.8768,75.5244,95.3138,6.8089e+04,171.7662,6.1857e+03,3.6387e+04,1.1152e+05,217.3542,215.1185,8.0363e+03,-7.9945e+03
2.5119,7.9433e-04,0.0016,3.9075e+03,796.2956,4.2342e+03,764.3578,63.3364,72.2546,6.5949e+04,138.3473,5.0661e+03,3.9623e+04,1.0743e+05,251.2273,181.7485,9.1626e+03,-9.1107e+03
2.5119,7.9433e-04,0.0032,3.8951e+03,785.1225,4.2892e+03,791.8130,64.3865,61.4763,6.4693e+04,117.8334,4.3673e+03,4.1665e+04,1.0489e+05,272.5341,161.8241,9.8661e+03,-9.8074e+03
