f_D,j_C_C,j_C_H,Re_C,Re_C_std,Re_H,Re_H_std,rmsd_fiber,rmsd_TC,rmsd_DP,rmsd_Tout,rmsd_qdot,DP_C,DP_H,T_C_out,T_H_out,qdot_C,qdot_H
0.0100,1.0000e-04,1.9953e-04,3.7009e+03,757.0579,4.0844e+03,622.5760,126.4334,157.5931,1.8180e+04,320.5094,1.2555e+04,102.4115,619.8049,82.5556,381.4731,2.9480e+03,-2.9397e+03
0.0100,1.0000e-04,3.9811e-04,3.8501e+03,815.5810,4.1181e+03,629.4825,143.1238,159.6212,1.8182e+04,307.9432,1.1984e+04,109.4236,612.1487,91.4389,365.1331,3.5190e+03,-3.5103e+03
0.0100,1.9953e-04,1.0000e-04,3.6206e+03,725.7809,4.0697e+03,620.4695,149.3533,188.4878,1.8179e+04,326.0944,1.2820e+04,99.1854,623.1039,79.0182,389.1164,2.6830e+03,-2.6734e+03
0.0100,0.0501,3.9811e-04,4.2133e+03,920.5963,4.5207e+03,782.9514,148.8936,162.7929,1.8211e+04,178.0385,7.0042e+03,164.6279,528.7682,211.1381,223.5882,8.5082e+03,-8.4866e+03
2.5119,7.9433e-04,1.0000e-04,3.7495e+03,786.3817,4.1068e+03,630.3078,188.3059,223.2066,9.4564e+04,314.2423,1.2276e+04,2.6384e+04,1.5546e+05,87.3285,373.6864,3.2292e+03,-3.2157e+03
2.5119,7.9433e-04,1.9953e-04,4.0705e+03,906.7742,4.2331e+03,667.5134,151.3968,180.8193,9.0036e+04,270.1440,1.0424e+04,3.1810e+04,1.4837e+05,123.1534,320.8269,5.0860e+03,-5.0651e+03
2.5119,7.9433e-04,3.9811e-04,4.2284e+03,919.4191,4.3832e+03,723.4364,108.2408,133.4852,8.5369e+04,217.7677,8.4338e+03,3.7931e+04,1.4062e+05,171.7448,264.0114,7.0832e+03,-7.0506e+03
2.5119,7.9433e-04,7.9433e-04,4.2660e+03,893.5710,4.5231e+03,786.1215,75.7062,95.4990,8.1545e+04,170.8866,6.7198e+03,4.3282e+04,1.3383e+05,217.7451,215.6997,8.8056e+03,-8.7598e+03
2.5119,7.9433e-04,0.0016,4.2595e+03,871.7027,4.6253e+03,836.3661,63.4814,72.3487,7.8959e+04,137.3250,5.4921e+03,4.7141e+04,1.2891e+05,251.7107,182.1715,1.0041e+04,-9.9840e+03
2.5119,7.9433e-04,0.0032,4.2463e+03,859.4458,4.6859e+03,866.8143,64.5340,61.5262,7.7441e+04,116.7192,4.7260e+03,4.9575e+04,1.2586e+05,273.0763,162.1435,1.0812e+04,-1.0748e+04
2.5119,7.9433e-04,0.0063,4.2361e+03,853.4866,4.7173e+03,882.6065,68.3532,57.4875,7.6623e+04,105.2049,4.2907e+03,5.0974e+04,1.2413e+05,285.2346,151.2088,1.1251e+04,-1.1183e+04
2.5119,7.9433e-04,0.0126,4.2299e+03,850.7462,4.7328e+03,890.4633,71.2713,56.1313,7.6202e+04,99.0987,4.0568e+03,5.1729e+04,1.2322e+05,291.7576,145.5018,1.1486e+04,-1.1417e+04
2.5119,7.9433e-04,0.0251,4.2265e+03,849.4710,4.7403e+03,894.3371,73.0141,55.6611,7.5988e+04,95.9495,3.9348e+03,5.2123e+04,1.2275e+05,295.1453,142.5886,1.1608e+04,-1.1540e+04
2.5119,7.9433e-04,0.0501,4.2247e+03,848.8673,4.7440e+03,896.2461,73.9640,55.4784,7.5880e+04,94.3487,3.8721e+03,5.2324e+04,1.2251e+05,296.8747,141.1169,1.1670e+04,-1.1603e+04
