f_D,j_C_C,j_C_H,Re_C,Re_C_std,Re_H,Re_H_std,rmsd_fiber,rmsd_TC,rmsd_DP,rmsd_Tout,rmsd_qdot,DP_C,DP_H,T_C_out,T_H_out,qdot_C,qdot_H
0.0100,1.0000e-04,1.9953e-04,2.8702e+03,581.3582,3.1326e+03,477.4780,124.5159,155.6094,1.0838e+04,319.9455,9.5734e+03,60.8680,356.9598,82.5517,378.1566,2.2398e+03,-2.2333e+03
0.0100,1.0000e-04,3.9811e-04,2.9824e+03,623.7687,3.1581e+03,482.7616,141.1078,158.0534,1.0839e+04,307.5100,9.1418e+03,65.0124,352.5745,91.4376,362.0059,2.6716e+03,-2.6648e+03
0.0100,1.9953e-04,1.0000e-04,2.8086e+03,558.5116,3.1213e+03,475.8080,148.3776,187.2242,1.0838e+04,325.5343,9.7766e+03,58.9301,358.8693,78.9558,385.7899,2.0370e+03,-2.0297e+03
0.0100,0.0501,3.9811e-04,3.2463e+03,698.2335,3.4637e+03,597.9395,147.7924,162.0792,1.0855e+04,179.0006,5.3702e+03,97.4073,304.6356,210.2256,221.9257,6.4495e+03,-6.4327e+03
2.5119,7.9433e-04,1.0000e-04,2.9033e+03,602.4466,3.1490e+03,483.1038,187.3816,222.3605,5.4070e+04,313.8688,9.3662e+03,1.5654e+04,8.9278e+04,87.1771,370.5725,2.4491e+03,-2.4386e+03
2.5119,7.9433e-04,1.9953e-04,3.1433e+03,689.3116,3.2452e+03,511.1316,150.4618,179.8076,5.1487e+04,270.1189,7.9607e+03,1.8848e+04,8.5222e+04,122.9335,318.1457,3.8578e+03,-3.8416e+03
2.5119,7.9433e-04,3.9811e-04,3.2595e+03,696.8261,3.3589e+03,552.9337,107.2814,132.4469,4.8835e+04,218.2679,6.4531e+03,2.2436e+04,8.0791e+04,171.2288,261.9306,5.3703e+03,-5.3453e+03
2.5119,7.9433e-04,7.9433e-04,3.2856e+03,676.9779,3.4643e+03,599.4233,74.7542,94.7903,4.6672e+04,171.9826,5.1566e+03,2.5564e+04,7.6909e+04,216.8164,214.2726,6.6725e+03,-6.6377e+03
2.5119,7.9433e-04,0.0016,3.2794e+03,660.5847,3.5408e+03,636.3516,62.4606,72.0019,4.5215e+04,138.9085,4.2285e+03,2.7818e+04,7.4105e+04,250.4354,181.2796,7.6057e+03,-7.5626e+03
2.5119,7.9433e-04,0.0032,3.2687e+03,651.4551,3.5858e+03,658.4615,63.4258,61.3780,4.4362e+04,118.6154,3.6492e+03,2.9240e+04,7.2359e+04,271.5808,161.5996,8.1886e+03,-8.1398e+03
2.5119,7.9433e-04,0.0063,3.2607e+03,647.0253,3.6090e+03,669.7953,67.1855,57.4361,4.3903e+04,107.2752,3.3198e+03,3.0057e+04,7.1375e+04,283.6183,150.8616,8.5201e+03,-8.4682e+03
2.5119,7.9433e-04,0.0126,3.2558e+03,644.9950,3.6204e+03,675.3604,70.0671,56.1336,4.3667e+04,101.2593,3.1427e+03,3.0499e+04,7.0852e+04,290.0791,145.2579,8.6980e+03,-8.6453e+03
2.5119,7.9433e-04,0.0251,3.2531e+03,644.0568,3.6258e+03,678.0937,71.7883,55.6938,4.3547e+04,98.1558,3.0503e+03,3.0730e+04,7.0582e+04,293.4358,142.3977,8.7904e+03,-8.7379e+03
2.5119,7.9433e-04,0.0501,3.2516e+03,643.6198,3.6285e+03,679.4369,72.7259,55.5273,4.3487e+04,96.5775,3.0028e+03,3.0848e+04,7.0445e+04,295.1499,140.9521,8.8375e+03,-8.7860e+03
0.0100,0.0501,7.9433e-04,3.2077e+03,678.5770,3.6498e+03,687.8135,109.1959,109.0494,1.0865e+04,107.5252,3.3626e+03,113.9230,276.9438,283.7653,151.6791,8.4684e+03,-8.4332e+03
2.5119,7.9433e-04,0.1000,3.2509e+03,643.4107,3.6299e+03,680.1014,73.2153,55.4534,4.3457e+04,95.7809,2.9784e+03,3.0907e+04,7.0376e+04,296.0169,140.2250,8.8613e+03,-8.8111e+03
2.5119,0.0016,1.0000e-04,2.9209e+03,610.1988,3.1554e+03,484.8722,197.8148,232.7880,5.3884e+04,311.1365,9.2749e+03,1.5840e+04,8.8996e+04,89.2803,367.1815,2.5405e+03,-2.5298e+03
2.5119,0.0016,1.9953e-04,3.1614e+03,695.6093,3.2647e+03,517.8433,165.5872,193.2407,5.0976e+04,261.9325,7.7195e+03,1.9343e+04,8.4419e+04,130.4278,309.1543,4.0994e+03,-4.0824e+03
2.5119,0.0016,3.9811e-04,3.2597e+03,696.7142,3.4045e+03,572.0978,122.8456,142.9125,4.7777e+04,200.5903,5.9620e+03,2.3407e+04,7.9050e+04,188.6569,243.7916,5.8634e+03,-5.8349e+03
2.5119,0.0016,7.9433e-04,3.2590e+03,674.9273,3.5429e+03,637.0645,82.3712,96.9823,4.4965e+04,143.5160,4.3689e+03,2.7038e+04,7.3977e+04,245.9429,186.1424,7.4646e+03,-7.4224e+03
2.5119,0.0016,0.0016,3.2284e+03,660.7673,3.6434e+03,687.2077,54.3415,63.7644,4.2939e+04,101.4833,3.1699e+03,2.9723e+04,7.0045e+04,289.9782,145.6666,8.6717e+03,-8.6171e+03
2.5119,0.0016,0.0032,3.1998e+03,654.7007,3.6949e+03,711.3900,41.4225,43.7716,4.1701e+04,75.2224,2.3897e+03,3.1465e+04,6.7469e+04,318.7211,121.8957,9.4581e+03,-9.3955e+03
2.5119,0.0016,0.0063,3.1804e+03,652.6445,3.7143e+03,720.0934,38.5491,33.4937,4.1025e+04,60.4045,1.9330e+03,3.2490e+04,6.5976e+04,335.5260,109.2976,9.9189e+03,-9.8523e+03
2.5119,0.0016,0.0126,3.1689e+03,652.1896,3.7202e+03,722.9900,39.0191,28.7545,4.0678e+04,52.5022,1.6835e+03,3.3054e+04,6.5174e+04,344.6926,102.8852,1.0171e+04,-1.0103e+04
2.5119,0.0016,0.0251,3.1626e+03,652.1303,3.7217e+03,724.5767,39.8705,26.6478,4.0502e+04,48.4126,1.5524e+03,3.3351e+04,6.4757e+04,349.4969,99.6603,1.0303e+04,-1.0235e+04
0.0100,0.0501,0.0016,3.1386e+03,669.9836,3.7628e+03,736.1372,77.8130,65.4057,1.0875e+04,52.7153,1.7241e+03,126.2937,252.5596,344.5962,103.2964,1.0122e+04,-1.0068e+04
2.5119,0.0016,0.0501,3.1594e+03,652.1443,3.7220e+03,725.2650,40.4663,25.6906,4.0414e+04,46.3297,1.4849e+03,3.3504e+04,6.4545e+04,351.9600,98.0435,1.0371e+04,-1.0303e+04
2.5119,0.0016,0.1000,3.1577e+03,652.1582,3.7220e+03,725.5891,40.8098,25.2389,4.0369e+04,45.2773,1.4504e+03,3.3581e+04,6.4437e+04,353.2092,97.2341,1.0405e+04,-1.0338e+04
2.5119,0.0032,1.0000e-04,2.9298e+03,614.0498,3.1589e+03,485.8784,203.6733,239.1224,5.3781e+04,309.6251,9.2253e+03,1.5942e+04,8.8840e+04,90.4635,365.3250,2.5897e+03,-2.5798e+03
2.5119,0.0032,1.9953e-04,3.1691e+03,698.8956,3.2763e+03,521.9285,174.8209,202.2512,5.0677e+04,257.2254,7.5829e+03,1.9618e+04,8.3948e+04,134.7925,304.0416,4.2357e+03,-4.2194e+03
2.5119,0.0032,3.9811e-04,3.2553e+03,697.3107,3.4331e+03,584.5223,134.2551,151.3215,4.7119e+04,190.0823,5.6728e+03,2.3948e+04,7.7969e+04,199.1326,233.1303,6.1527e+03,-6.1243e+03
2.5119,0.0032,7.9433e-04,3.2367e+03,675.9984,3.5941e+03,661.7933,93.1443,101.5200,4.3833e+04,126.1801,3.8868e+03,2.7851e+04,7.2040e+04,264.0007,169.3583,7.9485e+03,-7.9040e+03
2.5119,0.0032,0.0016,3.1887e+03,664.4251,3.7063e+03,716.1278,60.6625,63.0264,4.1330e+04,78.2555,2.4948e+03,3.0767e+04,6.7191e+04,315.4134,124.6693,9.3510e+03,-9.2915e+03
2.5119,0.0032,0.0032,3.1459e+03,660.8013,3.7480e+03,732.1742,39.8193,37.8434,3.9728e+04,47.8830,1.5569e+03,3.2689e+04,6.3861e+04,350.1358,99.2696,1.0299e+04,-1.0230e+04
2.5119,0.0032,0.0063,3.1165e+03,660.4535,3.7464e+03,732.9171,29.1732,23.3226,3.8829e+04,30.5462,994.2703,3.3837e+04,6.1868e+04,371.0281,86.4354,1.0871e+04,-1.0798e+04
2.5119,0.0032,0.0126,3.0986e+03,661.0709,3.7345e+03,731.5853,24.9294,15.7863,3.8355e+04,21.2516,685.6360,3.4470e+04,6.0773e+04,382.6343,80.1672,1.1190e+04,-1.1116e+04
0.0100,0.0501,0.0032,3.0765e+03,668.1778,3.7498e+03,731.1863,56.0796,34.5998,1.0882e+04,16.9964,563.8732,134.6422,234.5003,388.2987,77.7478,1.1314e+04,-1.1247e+04
2.5119,0.0032,0.0251,3.0886e+03,661.6740,3.7250e+03,730.5629,23.5226,12.2192,3.8113e+04,16.4520,526.3770,3.4802e+04,6.0198e+04,388.7756,77.0988,1.1359e+04,-1.1285e+04
2.5119,0.0032,0.0501,3.0832e+03,662.0459,3.7192e+03,730.4095,23.0861,10.6307,3.7990e+04,14.0220,446.6942,3.4971e+04,5.9903e+04,391.9405,75.5835,1.1446e+04,-1.1373e+04
2.5119,0.0032,0.1000,3.0804e+03,662.2632,3.7161e+03,730.3835,22.9486,9.9283,3.7928e+04,12.8024,407.3217,3.5056e+04,5.9754e+04,393.5494,74.8311,1.1490e+04,-1.1418e+04
2.5119,0.0063,1.0000e-04,2.9343e+03,615.9523,3.1608e+03,486.4279,206.7774,242.7033,5.3726e+04,308.8324,9.1996e+03,1.5996e+04,8.8756e+04,91.0765,364.3430,2.6146e+03,-2.6063e+03
2.5119,0.0063,1.9953e-04,3.1725e+03,700.6295,3.2826e+03,524.2288,179.9153,207.5840,5.0513e+04,254.6933,7.5101e+03,1.9765e+04,8.3690e+04,137.1402,301.2895,4.3073e+03,-4.2933e+03
2.5119,0.0063,3.9811e-04,3.2515e+03,697.9566,3.4494e+03,591.7241,141.0734,156.7220,4.6746e+04,184.3215,5.5152e+03,2.4235e+04,7.7358e+04,204.8967,227.3047,6.3092e+03,-6.2832e+03
2.5119,0.0063,7.9433e-04,3.2225e+03,677.3631,3.6235e+03,675.9653,100.8646,105.1175,4.3164e+04,116.5451,3.6174e+03,2.8274e+04,7.0900e+04,274.1514,160.1574,8.2174e+03,-8.1743e+03
2.5119,0.0063,0.0016,3.1639e+03,667.3485,3.7391e+03,729.3742,68.2468,63.9411,4.0326e+04,65.1653,2.1054e+03,3.1297e+04,6.5426e+04,330.1578,113.3976,9.7418e+03,-9.6824e+03
2.5119,0.0063,0.0032,3.1116e+03,664.9294,3.7626e+03,736.1731,46.0413,36.0422,3.8445e+04,32.2038,1.0608e+03,3.3306e+04,6.1532e+04,369.0171,87.6414,1.0801e+04,-1.0732e+04
2.5119,0.0063,0.0063,3.0743e+03,665.4775,3.7326e+03,730.7848,33.0426,19.4534,3.7356e+04,13.2618,436.2296,3.4513e+04,5.9133e+04,393.0074,75.1949,1.1458e+04,-1.1385e+04
0.0100,0.0501,0.0063,3.0276e+03,670.2997,3.6723e+03,728.9549,42.5795,16.2916,1.0887e+04,6.4814,310.5271,139.6866,223.1776,416.2997,65.9289,1.2082e+04,-1.2009e+04
2.5119,0.0063,0.0126,3.0501e+03,667.1217,3.6988e+03,730.5304,26.4240,10.9873,3.6765e+04,4.2903,202.3919,3.5162e+04,5.7788e+04,406.5701,69.3029,1.1831e+04,-1.1756e+04
2.5119,0.0063,0.0251,3.0357e+03,668.4853,3.6745e+03,731.8256,23.3504,7.7437,3.6442e+04,4.9876,273.5528,3.5487e+04,5.7058e+04,413.8217,66.4699,1.2030e+04,-1.1956e+04
2.5119,0.0063,0.0501,3.0277e+03,669.2818,3.6601e+03,732.9859,21.9577,7.0501,3.6268e+04,7.2261,351.5513,3.5644e+04,5.6671e+04,417.5792,65.0868,1.2134e+04,-1.2060e+04
2.5119,0.0063,0.1000,3.0234e+03,669.7063,3.6523e+03,733.8625,21.3169,7.0758,3.6176e+04,8.5058,395.8474,3.5721e+04,5.6470e+04,419.4947,64.4054,1.2186e+04,-1.2113e+04
2.5119,0.0126,1.0000e-04,2.9365e+03,616.9253,3.1618e+03,486.7161,208.3702,244.5940,5.3697e+04,308.4276,9.1869e+03,1.6025e+04,8.8713e+04,91.3841,363.8357,2.6264e+03,-2.6200e+03
2.5119,0.0126,1.9953e-04,3.1741e+03,701.4950,3.2859e+03,525.4515,182.5905,210.4429,5.0427e+04,253.3782,7.4731e+03,1.9842e+04,8.3555e+04,138.3577,299.8576,4.3428e+03,-4.3319e+03
2.5119,0.0126,3.9811e-04,3.2492e+03,698.3415,3.4580e+03,595.6106,144.8078,159.7323,4.6548e+04,181.2992,5.4333e+03,2.4383e+04,7.7032e+04,207.9243,224.2508,6.3893e+03,-6.3668e+03
2.5119,0.0126,7.9433e-04,3.2146e+03,678.2352,3.6393e+03,683.4825,105.4229,107.2910,4.2796e+04,111.4495,3.4748e+03,2.8488e+04,7.0277e+04,279.5585,155.3365,8.3587e+03,-8.3185e+03
