f_D,j_C_C,j_C_H,Re_C,Re_C_std,Re_H,Re_H_std,rmsd_fiber,rmsd_TC,rmsd_DP,rmsd_Tout,rmsd_qdot,DP_C,DP_H,T_C_out,T_H_out,qdot_C,qdot_H
2.5119,0.0016,0.0501,3.1229e+03,650.9819,3.6845e+03,719.7994,41.2436,25.5541,3.9886e+04,46.3832,1.4736e+03,3.2788e+04,6.3304e+04,351.2161,96.9262,1.0266e+04,-1.0199e+04
2.5119,0.0016,0.1000,3.1212e+03,650.9931,3.6845e+03,720.1143,41.5962,25.0972,3.9842e+04,45.3298,1.4395e+03,3.2864e+04,6.3198e+04,352.4695,96.1205,1.0300e+04,-1.0233e+04
2.5119,0.0032,1.0000e-04,2.8879e+03,612.7457,3.1238e+03,480.5435,203.4425,239.5682,5.3136e+04,310.0947,9.1389e+03,1.5496e+04,8.7267e+04,89.3165,364.7711,2.5610e+03,-2.5511e+03
2.5119,0.0032,1.9953e-04,3.1297e+03,698.6459,3.2405e+03,516.4666,174.7370,202.7614,5.0067e+04,257.7066,7.5132e+03,1.9111e+04,8.2444e+04,133.5065,303.3371,4.1902e+03,-4.1741e+03
2.5119,0.0032,3.9811e-04,3.2173e+03,696.9730,3.3967e+03,578.9742,134.2107,151.7198,4.6544e+04,190.4520,5.6223e+03,2.3373e+04,7.6549e+04,197.9261,232.2433,6.0879e+03,-6.0597e+03
2.5119,0.0032,7.9433e-04,3.1995e+03,675.2548,3.5572e+03,656.3108,93.1091,101.7738,4.3287e+04,126.4282,3.8545e+03,2.7212e+04,7.0701e+04,262.9349,168.3274,7.8654e+03,-7.8212e+03
2.5119,0.0032,0.0016,3.1518e+03,663.3503,3.6694e+03,710.7473,60.6782,63.1723,4.0798e+04,78.4290,2.4767e+03,3.0079e+04,6.5914e+04,314.4706,123.5832,9.2533e+03,-9.1945e+03
2.5119,0.0032,0.0032,3.1091e+03,659.6181,3.7108e+03,726.6548,39.9632,37.9144,3.9203e+04,48.0192,1.5478e+03,3.1968e+04,6.2623e+04,349.2888,98.2089,1.0192e+04,-1.0124e+04
2.5119,0.0032,0.0063,3.0797e+03,659.2065,3.7088e+03,727.1002,29.5019,23.3432,3.8305e+04,30.6612,990.0964,3.3097e+04,6.0653e+04,370.2486,85.4293,1.0759e+04,-1.0687e+04
2.5119,0.0032,0.0126,3.0619e+03,659.7980,3.6967e+03,725.4201,25.4163,15.7774,3.7831e+04,21.3530,683.7524,3.3719e+04,5.9569e+04,381.8922,79.2021,1.1075e+04,-1.1002e+04
0.0100,0.0501,0.0032,3.0398e+03,666.7264,3.7121e+03,725.2411,56.1009,34.7019,1.0423e+04,17.1603,565.2290,131.6238,229.7723,387.4827,76.8572,1.1195e+04,-1.1129e+04
2.5119,0.0032,0.0251,3.0518e+03,660.4025,3.6869e+03,724.6741,24.0984,12.1914,3.7588e+04,16.5429,525.4261,3.4045e+04,5.9001e+04,388.0548,76.1587,1.1242e+04,-1.1169e+04
2.5119,0.0032,0.0501,3.0464e+03,660.7837,3.6810e+03,724.6440,23.7061,10.5952,3.7465e+04,14.1066,446.0507,3.4211e+04,5.8709e+04,391.2294,74.6564,1.1329e+04,-1.1256e+04
2.5119,0.0032,0.1000,3.0436e+03,660.9764,3.6777e+03,724.6663,23.5885,9.8888,3.7402e+04,12.8827,406.6981,3.4295e+04,5.8560e+04,392.8440,73.9113,1.1373e+04,-1.1300e+04
2.5119,0.0063,1.0000e-04,2.8924e+03,614.6687,3.1257e+03,481.0855,206.5230,243.1390,5.3082e+04,309.3092,9.1137e+03,1.5549e+04,8.7185e+04,89.9194,363.7931,2.5854e+03,-2.5771e+03
2.5119,0.0063,1.9953e-04,3.1331e+03,700.3583,3.2468e+03,518.7495,179.8137,208.1161,4.9905e+04,255.1841,7.4415e+03,1.9255e+04,8.2191e+04,135.8428,300.5916,4.2607e+03,-4.2469e+03
2.5119,0.0063,3.9811e-04,3.2135e+03,697.5876,3.4129e+03,586.1477,141.0193,157.1639,4.6176e+04,184.7016,5.4670e+03,2.3652e+04,7.5948e+04,203.6788,226.4239,6.2421e+03,-6.2164e+03
2.5119,0.0063,7.9433e-04,3.1853e+03,676.5679,3.5866e+03,670.4626,100.8152,105.4181,4.2623e+04,116.8066,3.5888e+03,2.7623e+04,6.9577e+04,273.0758,159.1376,8.1305e+03,-8.0879e+03
2.5119,0.0063,0.0016,3.1269e+03,666.2679,3.7021e+03,723.9518,68.2206,64.1273,3.9800e+04,65.3596,2.0924e+03,3.0593e+04,6.4169e+04,329.2097,112.3445,9.6390e+03,-9.5802e+03
2.5119,0.0063,0.0032,3.0748e+03,663.5950,3.7251e+03,730.3897,46.0798,36.1394,3.7922e+04,32.3631,1.0575e+03,3.2565e+04,6.0316e+04,368.1765,86.6549,1.0688e+04,-1.0619e+04
2.5119,0.0063,0.0063,3.0375e+03,664.1122,3.6947e+03,724.7358,33.1735,19.4747,3.6832e+04,13.3825,436.8002,3.3749e+04,5.7942e+04,392.2494,74.2994,1.1339e+04,-1.1266e+04
0.0100,0.0501,0.0063,2.9908e+03,668.7832,3.6327e+03,723.9717,42.6284,16.2448,1.0428e+04,6.3027,298.5716,136.5624,218.5379,415.5932,65.1371,1.1956e+04,-1.1884e+04
2.5119,0.0063,0.0126,3.0132e+03,665.7237,3.6600e+03,724.9765,26.6378,10.9369,3.6239e+04,4.2815,196.8465,3.4386e+04,5.6610e+04,405.8624,68.4626,1.1709e+04,-1.1634e+04
2.5119,0.0063,0.0251,2.9987e+03,667.0449,3.6349e+03,726.3797,23.6214,7.6430,3.5913e+04,4.8292,262.8179,3.4703e+04,5.5883e+04,413.1402,65.6586,1.1906e+04,-1.1832e+04
2.5119,0.0063,0.0501,2.9906e+03,667.8326,3.6201e+03,727.9013,22.2628,6.9335,3.5736e+04,7.0695,339.8449,3.4856e+04,5.5497e+04,416.9110,64.2920,1.2008e+04,-1.1935e+04
2.5119,0.0063,0.1000,2.9864e+03,668.2592,3.6119e+03,728.8126,21.6410,6.9594,3.5643e+04,8.3532,383.6870,3.4930e+04,5.5295e+04,418.8326,63.6197,1.2060e+04,-1.1988e+04
2.5119,0.0126,1.0000e-04,2.8946e+03,615.6289,3.1266e+03,481.3698,208.1035,245.0237,5.3054e+04,308.9084,9.1012e+03,1.5576e+04,8.7143e+04,90.2214,363.2879,2.5970e+03,-2.5906e+03
2.5119,0.0126,1.9953e-04,3.1348e+03,701.2024,3.2501e+03,519.9640,182.4804,210.9879,4.9821e+04,253.8746,7.4050e+03,1.9330e+04,8.2059e+04,137.0529,299.1628,4.2958e+03,-4.2849e+03
2.5119,0.0126,3.9811e-04,3.2112e+03,697.9612,3.4215e+03,590.0185,144.7495,160.1992,4.5980e+04,181.6844,5.3862e+03,2.3797e+04,7.5627e+04,206.7017,223.3740,6.3211e+03,-6.2988e+03
2.5119,0.0126,7.9433e-04,3.1774e+03,677.4210,3.6024e+03,677.9745,105.3717,107.6192,4.2258e+04,111.7184,3.4482e+03,2.7832e+04,6.8961e+04,278.4787,154.3242,8.2698e+03,-8.2300e+03
2.5119,0.0126,0.0016,3.1131e+03,667.9219,3.7180e+03,729.7100,73.3389,64.9415,3.9233e+04,58.3770,1.8840e+03,3.0847e+04,6.3183e+04,337.2375,106.5656,9.8472e+03,-9.7904e+03
2.5119,0.0126,0.0032,3.0554e+03,665.6546,3.7238e+03,729.6748,51.3265,35.3890,3.7170e+04,23.8683,785.9626,3.2860e+04,5.8968e+04,378.7757,80.9367,1.0966e+04,-1.0897e+04
