f_D,j_C_C,j_C_H,Re_C,Re_C_std,Re_H,Re_H_std,rmsd_fiber,rmsd_TC,rmsd_DP,rmsd_Tout,rmsd_qdot,DP_C,DP_H,T_C_out,T_H_out,qdot_C,qdot_H
0.0100,1.0000e-04,1.9953e-04,5.5461e+03,1.1291e+03,7.9592e+03,1.2122e+03,139.4194,160.4634,6.4056e+04,293.2882,2.1581e+04,275.6607,2.6918e+03,56.7370,354.1430,4.5634e+03,-4.5521e+03
0.0100,1.0000e-04,3.9811e-04,5.8534e+03,1.3528e+03,8.0234e+03,1.2251e+03,159.8706,164.7910,6.4070e+04,284.3670,2.0717e+04,292.4189,2.6610e+03,60.6421,340.5100,5.4274e+03,-5.4167e+03
0.0100,1.9953e-04,1.0000e-04,5.4832e+03,1.0846e+03,7.9437e+03,1.2114e+03,132.4252,175.9356,6.4052e+04,295.4457,2.1793e+04,272.3120,2.6991e+03,55.9585,357.5715,4.3540e+03,-4.3385e+03
0.0100,0.0501,3.9811e-04,7.4958e+03,2.1744e+03,8.9692e+03,1.5968e+03,139.8614,163.9309,6.4254e+04,160.7837,1.1296e+04,497.8494,2.2611e+03,161.3439,192.4547,1.4851e+04,-1.4836e+04
2.5119,7.9433e-04,1.0000e-04,5.8591e+03,1.3371e+03,8.0358e+03,1.2347e+03,162.3869,203.9471,4.3424e+05,284.6177,2.0750e+04,7.3517e+04,6.9642e+05,60.8426,341.1899,5.3988e+03,-5.3801e+03
2.5119,7.9433e-04,1.9953e-04,6.7852e+03,1.9276e+03,8.2876e+03,1.3114e+03,129.7722,164.1114,4.1303e+05,249.8993,1.7696e+04,9.0535e+04,6.6522e+05,82.1269,293.0781,8.4565e+03,-8.4296e+03
2.5119,7.9433e-04,3.9811e-04,7.4221e+03,2.1597e+03,8.5655e+03,1.4194e+03,91.8921,117.1222,3.9273e+05,208.6146,1.4563e+04,1.1094e+05,6.3423e+05,115.9106,243.5026,1.1597e+04,-1.1554e+04
2.5119,7.9433e-04,7.9433e-04,7.7367e+03,2.1782e+03,8.7984e+03,1.5331e+03,75.1537,84.9131,3.7819e+05,172.3973,1.2025e+04,1.2955e+05,6.1074e+05,149.1745,203.5216,1.4144e+04,-1.4085e+04
2.5119,7.9433e-04,0.0016,7.8750e+03,2.1421e+03,8.9525e+03,1.6227e+03,82.7677,70.9348,3.6990e+05,147.2670,1.0304e+04,1.4342e+05,5.9631e+05,173.4027,176.8947,1.5872e+04,-1.5798e+04
2.5119,7.9433e-04,0.0032,7.9358e+03,2.1082e+03,9.0387e+03,1.6791e+03,95.0877,67.6118,3.6583e+05,132.2287,9.2739e+03,1.5238e+05,5.8857e+05,188.2907,161.3422,1.6908e+04,-1.6822e+04
2.5119,7.9433e-04,0.0063,7.9637e+03,2.0869e+03,9.0824e+03,1.7106e+03,103.8987,67.7866,3.6397e+05,123.9600,8.7030e+03,1.5762e+05,5.8470e+05,196.6103,152.9269,1.7483e+04,-1.7390e+04
2.5119,7.9433e-04,0.0126,7.9766e+03,2.0747e+03,9.1039e+03,1.7273e+03,109.0625,68.4797,3.6312e+05,119.6147,8.4007e+03,1.6047e+05,5.8279e+05,201.0253,148.5509,1.7786e+04,-1.7691e+04
2.5119,7.9433e-04,0.0251,7.9828e+03,2.0683e+03,9.1143e+03,1.7359e+03,111.8625,68.9849,3.6272e+05,117.3848,8.2442e+03,1.6197e+05,5.8186e+05,203.3049,146.3207,1.7942e+04,-1.7848e+04
2.5119,7.9433e-04,0.0501,7.9858e+03,2.0650e+03,9.1194e+03,1.7404e+03,113.3254,69.2740,3.6253e+05,116.2547,8.1641e+03,1.6274e+05,5.8139e+05,204.4653,145.1969,1.8021e+04,-1.7929e+04
0.0100,0.0501,7.9433e-04,7.5158e+03,2.1282e+03,9.6054e+03,1.9254e+03,106.6624,114.8422,6.4371e+04,91.3577,6.5662e+03,594.0420,2.0264e+03,231.2791,122.1066,1.9605e+04,-1.9541e+04
2.5119,7.9433e-04,0.1000,7.9873e+03,2.0633e+03,9.1220e+03,1.7426e+03,114.0741,69.4246,3.6244e+05,115.6853,8.1230e+03,1.6313e+05,5.8116e+05,205.0513,144.6324,1.8061e+04,-1.7971e+04
2.5119,0.0016,1.0000e-04,5.9460e+03,1.3985e+03,8.0577e+03,1.2410e+03,173.8287,215.5942,4.3225e+05,281.7115,2.0487e+04,7.4833e+04,6.9355e+05,62.4668,337.0594,5.6614e+03,-5.6435e+03
