ineff,eff,alpha,NTU,C_r,T_C_out,T_H_out,m_dot_C,m_dot_H,ConvSteps,run
-4.7629e-05,1.0000,0.8000,27.5420,0.0100,650,644,0.0631,6.2939,60,1057
2.3292e-05,1.0000,0.8000,27.5420,0.1000,650,589.96,0.0631,0.6291,16,1058
-0.0179,1.0179,0.8000,27.5420,0.2000,650,528.14,0.0631,0.3149,60,1059
0.4655,0.5345,0.9000,1,0.6000,370.61,457.53,1.7375,2.8925,60,106
1.8714e-05,1.0000,0.8000,27.5420,0.3000,650,469.9,0.0631,0.2098,60,1060
0.0032,0.9968,0.8000,27.5420,0.4000,649.96,409.86,0.0634,0.1574,60,1061
4.1446e-04,0.9996,0.8000,27.5420,0.5000,649.76,349.95,0.0631,0.1259,60,1062
0.0019,0.9981,0.8000,27.5420,0.6000,648.86,290.5,0.0631,0.1049,60,1063
0.0078,0.9922,0.8000,27.5420,0.7000,645.5,226.75,0.0633,0.0897,60,1064
0.0189,0.9811,0.8000,27.5420,0.8000,638.7,178.85,0.0630,0.0786,15,1065
0.0422,0.9578,0.8000,27.5420,0.9000,625.08,133.64,0.0630,0.0698,60,1066
0.0721,0.9279,0.8000,27.5420,1,601.58,97.132,0.0623,0.0626,60,1067
-0.0035,1.0035,0.9000,27.5420,0.0100,650,643.99,0.0630,6.2959,60,1068
0.0016,0.9984,0.9000,27.5420,0.1000,650,590.09,0.0630,0.6295,60,1069
0.4800,0.5200,0.9000,1,0.7000,361.97,431.59,1.7371,2.4792,60,107
-0.0043,1.0043,0.9000,27.5420,0.2000,650,530.46,0.0626,0.3148,60,1070
4.1911e-05,1.0000,0.9000,27.5420,0.3000,649.99,469.89,0.0631,0.2099,60,1071
1.8397e-04,0.9998,0.9000,27.5420,0.4000,649.9,409.88,0.0631,0.1574,20,1072
0.0039,0.9961,0.9000,27.5420,0.5000,649.43,351.67,0.0629,0.1258,60,1073
-7.3939e-04,1.0007,0.9000,27.5420,0.6000,647.56,286.96,0.0635,0.1050,60,1074
0.0096,0.9904,0.9000,27.5420,0.7000,642.98,231.73,0.0630,0.0897,60,1075
0.0271,0.9729,0.9000,27.5420,0.8000,633.75,182.77,0.0630,0.0786,15,1076
0.0572,0.9428,0.9000,27.5420,0.9000,618.24,138.67,0.0630,0.0695,60,1077
0.0878,0.9122,0.9000,27.5420,1,594.33,104.76,0.0635,0.0632,60,1078
0.0026,0.9974,1,27.5420,0.0100,650,644.03,0.0629,6.3074,60,1079
0.4942,0.5058,0.9000,1,0.8000,353.57,407.16,1.7375,2.1679,60,108
0.0034,0.9966,1,27.5420,0.1000,650,590.33,0.0630,0.6309,60,1080
4.4061e-05,1.0000,1,27.5420,0.2000,650,530,0.0631,0.3154,60,1081
