j_C,f_D,Re_C,Re_H,rmsd_fiber,rmsd_TC,rmsd_DP,rmsd_Tout,rmsd_qdot
0.0723,0.4507,2.3697e+03,2.7953e+03,25.8351,15.6642,1.7977e+03,29.5120,911.9696
0.0757,0.4507,2.3686e+03,2.7932e+03,25.7976,15.8718,1.7989e+03,29.7411,918.4736
0.0792,0.4507,2.3676e+03,2.7912e+03,25.7626,16.0695,1.8001e+03,29.9600,924.6609
0.0830,0.4507,2.3666e+03,2.7892e+03,25.7381,16.2583,1.8013e+03,30.1697,930.7148
0.0869,0.4507,2.3655e+03,2.7873e+03,25.7135,16.4384,1.8025e+03,30.3705,936.4136
0.0910,0.4507,2.3645e+03,2.7853e+03,25.6899,16.6105,1.8037e+03,30.5633,941.8266
0.0953,0.4507,2.3636e+03,2.7835e+03,25.6650,16.7742,1.8048e+03,30.7475,946.9640
0.0998,0.4507,2.3626e+03,2.7817e+03,25.6332,16.9311,1.8056e+03,30.9250,951.9286
0.1045,0.4507,2.3617e+03,2.7800e+03,25.6012,17.0807,1.8063e+03,31.0951,956.6997
0.1094,0.4507,2.3608e+03,2.7784e+03,25.5700,17.2236,1.8070e+03,31.2583,961.3117
0.1145,0.4507,2.3600e+03,2.7768e+03,25.5382,17.3594,1.8076e+03,31.4143,965.6795
0.1199,0.4507,2.3591e+03,2.7752e+03,25.5038,17.4892,1.8081e+03,31.5642,969.9154
0.1256,0.4507,2.3583e+03,2.7737e+03,25.4767,17.6126,1.8087e+03,31.7072,973.8582
0.1315,0.4507,2.3575e+03,2.7722e+03,25.4528,17.7301,1.8093e+03,31.8442,977.6958
0.1377,0.4507,2.3567e+03,2.7708e+03,25.4205,17.8424,1.8097e+03,31.9759,981.3855
0.1442,0.4507,2.3559e+03,2.7694e+03,25.3922,17.9493,1.8101e+03,32.1018,984.8000
0.1510,0.4507,2.3552e+03,2.7681e+03,25.3576,18.0514,1.8104e+03,32.2227,988.1361
0.1581,0.4507,2.3545e+03,2.7668e+03,25.3266,18.1483,1.8106e+03,32.3382,991.2844
0.1656,0.4507,2.3538e+03,2.7655e+03,25.2986,18.2409,1.8109e+03,32.4489,994.3304
