ineff,eff,alpha,NTU,C_r,T_C_out,T_H_out,m_dot_C,m_dot_H,ConvSteps,run
-0.0040,1.0040,0.8000,39.8110,0.1000,650,589.98,0.0434,0.4354,60,1058
1.9556e-05,1.0000,0.8000,39.8110,0.2000,650,529.93,0.0436,0.2177,60,1059
0.4655,0.5345,0.9000,1,0.6000,370.73,457.53,1.7371,2.8898,19,106
3.7055e-05,1.0000,0.8000,39.8110,0.3000,650,469.91,0.0436,0.1451,24,1060
2.5661e-05,1.0000,0.8000,39.8110,0.4000,650,409.87,0.0436,0.1089,60,1061
-0.0058,1.0058,0.8000,39.8110,0.5000,649.98,348.73,0.0436,0.0871,60,1062
-0.0032,1.0032,0.8000,39.8110,0.6000,649.82,290.36,0.0440,0.0728,60,1063
0.0085,0.9915,0.8000,39.8110,0.7000,649.08,237.94,0.0433,0.0623,60,1064
0.0085,0.9915,0.8000,39.8110,0.8000,644.92,173.87,0.0436,0.0544,60,1065
0.0275,0.9725,0.8000,39.8110,0.9000,635.53,128.25,0.0435,0.0490,60,1066
0.0615,0.9385,0.8000,39.8110,1,619.65,92.684,0.0431,0.0435,60,1067
-0.0089,1.0089,0.9000,39.8110,0.0100,650,644.08,0.0425,4.3554,60,1068
1.6818e-05,1.0000,0.9000,39.8110,0.1000,650,589.96,0.0436,0.4356,60,1069
0.4799,0.5201,0.9000,1,0.7000,362.01,431.6,1.7368,2.4791,60,107
0.0069,0.9931,0.9000,39.8110,0.2000,650,531.02,0.0436,0.2179,60,1070
0.0015,0.9985,0.9000,39.8110,0.3000,650,468.97,0.0436,0.1452,60,1071
0.0138,0.9862,0.9000,39.8110,0.4000,649.99,412.92,0.0443,0.1092,60,1072
0.0018,0.9982,0.9000,39.8110,0.5000,649.94,354.36,0.0432,0.0873,60,1073
-5.6290e-05,1.0001,0.9000,39.8110,0.6000,649.48,289.91,0.0437,0.0727,60,1074
0.0053,0.9947,0.9000,39.8110,0.7000,647.24,228.58,0.0441,0.0618,60,1075
0.0143,0.9857,0.9000,39.8110,0.8000,641.41,176.63,0.0436,0.0545,60,1076
0.0364,0.9636,0.9000,39.8110,0.9000,628.15,129.47,0.0436,0.0484,60,1077
0.0719,0.9281,0.9000,39.8110,1,605.95,93.912,0.0436,0.0436,60,1078
-1.4541e-04,1.0001,1,39.8110,0.0100,650,644,0.0436,4.3636,60,1079
0.4941,0.5059,0.9000,1,0.8000,353.54,407.15,1.7372,2.1679,26,108
3.7915e-05,1.0000,1,39.8110,0.1000,650,590,0.0436,0.4364,60,1080
