ineff,eff,C_r,alpha,NTU,T_H_out,T_C_out,run
0.3128,0.6872,0.5000,0.7000,1.5849,443.97,461.78,204
0.3338,0.6662,0.6000,0.7000,1.5849,410.75,450.21,205
0.3534,0.6466,0.7000,0.7000,1.5849,379.33,436.51,206
0.3752,0.6248,0.8000,0.7000,1.5849,350.07,424.91,207
0.3948,0.6052,0.9000,0.7000,1.5849,323.15,413.15,208
0.4137,0.5863,1,0.7000,1.5849,298.28,401.71,209
0.4881,0.5119,0.9000,0.1000,1,373.63,357.09,21
0.9975,0.0025,0,0.8000,1.5849,50,51.506,210
0.2281,0.7719,0.1000,0.8000,1.5849,603.68,513.13,211
0.2510,0.7490,0.2000,0.8000,1.5849,560.12,499.4,212
0.2736,0.7264,0.3000,0.8000,1.5849,519.24,485.86,213
0.2935,0.7065,0.4000,0.8000,1.5849,481.17,472.76,214
0.3180,0.6820,0.5000,0.8000,1.5849,445.02,458.89,215
0.3478,0.6522,0.6000,0.8000,1.5849,415.06,455.16,216
0.3593,0.6407,0.7000,0.8000,1.5849,381.21,434.63,217
0.3790,0.6210,0.8000,0.8000,1.5849,352.43,422.03,218
0.3991,0.6009,0.9000,0.8000,1.5849,326.08,410.56,219
0.5006,0.4994,1,0.1000,1,350.53,349.75,22
0.4178,0.5822,1,0.8000,1.5849,301.12,398.07,220
1.0000,-1.7687e-05,0,0.9000,1.5849,0,0,221
0.2283,0.7717,0.1000,0.9000,1.5849,604.08,513.93,222
0.2528,0.7472,0.2000,0.9000,1.5849,560.35,498.12,223
0.2759,0.7241,0.3000,0.9000,1.5849,519.87,484.62,224
0.2986,0.7014,0.4000,0.9000,1.5849,481.71,470.04,225
0.3211,0.6789,0.5000,0.9000,1.5849,445.96,456.08,226
0.3423,0.6577,0.6000,0.9000,1.5849,414.16,444.52,227
0.3636,0.6364,0.7000,0.9000,1.5849,382.75,431.19,228
0.3852,0.6148,0.8000,0.9000,1.5849,354.72,418.92,229
1.0000,-5.1523e-06,0,0.2000,1,0,0,23
0.4049,0.5951,0.9000,0.9000,1.5849,328.68,407.01,230
0.4230,0.5770,1,0.9000,1.5849,304.16,395.46,231
0.3821,0.6179,0.1000,0.2000,1,612.92,420.98,24
1.0000,4.7995e-05,0,1.0000e-04,2.5119,50,50.029,243
1.0000,-3.4654e-07,0.1000,1.0000e-04,2.5119,50,50,244
1.0000,6.4834e-07,0.2000,1.0000e-04,2.5119,50,50,245
0.1567,0.8433,0.3000,1.0000e-04,2.5119,473.26,576.72,246
0.1662,0.8338,0.4000,1.0000e-04,2.5119,388.14,553.97,247
0.1654,0.8346,0.5000,1.0000e-04,2.5119,392.13,535.97,248
0.1864,0.8136,0.6000,1.0000e-04,2.5119,359.31,505.58,249
0.3962,0.6038,0.2000,0.2000,1,577.5,412.44,25
0.2662,0.7338,0.7000,1.0000e-04,2.5119,258.02,422.16,250
0.2503,0.7497,0.8000,1.0000e-04,2.5119,256.84,474.2,251
0.2764,0.7236,0.9000,1.0000e-04,2.5119,261.06,552.66,252
0.2784,0.7216,1,1.0000e-04,2.5119,238.89,509.65,253
1.0000,-9.2848e-06,0,0.1000,2.5119,0,0,254
0.0951,0.9049,0.1000,0.1000,2.5119,595.54,592.43,255
0.1079,0.8921,0.2000,0.1000,2.5119,542.3,581.48,256
0.1287,0.8713,0.3000,0.1000,2.5119,492.98,572.96,257
0.1482,0.8518,0.4000,0.1000,2.5119,444.63,561.06,258
0.1675,0.8325,0.5000,0.1000,2.5119,400.04,549.16,259
0.4103,0.5897,0.3000,0.2000,1,543.78,404.3,26
0.1887,0.8113,0.6000,0.1000,2.5119,357.95,535.96,260
0.2114,0.7886,0.7000,0.1000,2.5119,319.44,522.56,261
0.2356,0.7644,0.8000,0.1000,2.5119,283.2,507.29,262
0.2640,0.7360,0.9000,0.1000,2.5119,250.07,491.15,263
0.2860,0.7140,1,0.1000,2.5119,222.63,478.46,264
1.0000,-1.2955e-05,0,0.2000,2.5119,0,0,265
0.0991,0.9009,0.1000,0.2000,2.5119,596.05,593,266
0.1114,0.8886,0.2000,0.2000,2.5119,543.51,582.48,267
0.1310,0.8690,0.3000,0.2000,2.5119,493.56,571.76,268
0.1488,0.8512,0.4000,0.2000,2.5119,446.43,560.02,269
0.4233,0.5767,0.4000,0.2000,1,511.71,395.91,27
0.1690,0.8310,0.5000,0.2000,2.5119,401.77,547.02,270
0.1911,0.8089,0.6000,0.2000,2.5119,360.57,534.33,271
0.2179,0.7821,0.7000,0.2000,2.5119,319.61,519.76,272
0.2419,0.7581,0.8000,0.2000,2.5119,285.73,504.35,273
0.2669,0.7331,0.9000,0.2000,2.5119,254.28,490.03,274
0.2914,0.7086,1,0.2000,2.5119,224.92,473.84,275
1.0000,-1.6519e-05,0,0.3000,2.5119,0,0,276
0.0961,0.9039,0.1000,0.3000,2.5119,595.74,591.26,277
0.1146,0.8854,0.2000,0.3000,2.5119,543.75,581.21,278
0.1335,0.8665,0.3000,0.3000,2.5119,494.57,570.35,279
0.4376,0.5624,0.5000,0.2000,1,481.05,387.09,28
0.1545,0.8455,0.4000,0.3000,2.5119,447.88,558.28,280
0.1755,0.8245,0.5000,0.3000,2.5119,404.03,546.03,281
0.2001,0.7999,0.6000,0.3000,2.5119,361.06,528.93,282
0.2225,0.7775,0.7000,0.3000,2.5119,321.8,513.03,283
0.2484,0.7516,0.8000,0.3000,2.5119,288.07,499.44,284
0.2730,0.7270,0.9000,0.3000,2.5119,258.71,487.34,285
0.2974,0.7026,1,0.3000,2.5119,228.46,468.94,286
1.0000,-1.8554e-05,0,0.4000,2.5119,0,0,287
0.0985,0.9015,0.1000,0.4000,2.5119,595.94,591.25,288
0.1170,0.8830,0.2000,0.4000,2.5119,544.25,580.15,289
0.4511,0.5489,0.6000,0.2000,1,452.32,379.52,29
0.1371,0.8629,0.3000,0.4000,2.5119,494.76,567.82,290
0.1582,0.8418,0.4000,0.4000,2.5119,448.66,555.36,291
0.1807,0.8193,0.5000,0.4000,2.5119,405.44,543.05,292
0.2041,0.7959,0.6000,0.4000,2.5119,365.17,528.55,293
0.2281,0.7719,0.7000,0.4000,2.5119,325.87,511.79,294
0.2538,0.7462,0.8000,0.4000,2.5119,292.6,497.66,295
0.2786,0.7214,0.9000,0.4000,2.5119,262.42,483.51,296
0.3041,0.6959,1,0.4000,2.5119,232.53,467.28,297
1.0000,-2.1081e-05,0,0.5000,2.5119,0,0,298
0.0984,0.9016,0.1000,0.5000,2.5119,595.94,590.27,299
0.4065,0.5935,0.2000,1.0000e-04,1,558.32,419.17,3
1.0000,-5.1537e-06,0.7000,0.2000,1,0,0,30
0.1196,0.8804,0.2000,0.5000,2.5119,544.66,578.95,300
0.1388,0.8612,0.3000,0.5000,2.5119,494.67,564.88,301
0.1616,0.8384,0.4000,0.5000,2.5119,449.35,552.74,302
0.1841,0.8159,0.5000,0.5000,2.5119,405.74,536.87,303
0.2101,0.7899,0.6000,0.5000,2.5119,366.15,523.93,304
0.2357,0.7643,0.7000,0.5000,2.5119,328.83,508.83,305
0.2610,0.7390,0.8000,0.5000,2.5119,294.64,493.33,306
0.2866,0.7134,0.9000,0.5000,2.5119,263.76,477.86,307
0.3103,0.6897,1,0.5000,2.5119,236.34,463.14,308
1.0000,-2.3199e-05,0,0.6000,2.5119,0,0,309
0.4770,0.5230,0.8000,0.2000,1,398.94,363.69,31
0.0986,0.9014,0.1000,0.6000,2.5119,595.73,589.06,310
0.1217,0.8783,0.2000,0.6000,2.5119,545.3,578.04,311
0.1435,0.8565,0.3000,0.6000,2.5119,495.63,563.26,312
0.1682,0.8318,0.4000,0.6000,2.5119,449.6,549.37,313
0.1907,0.8093,0.5000,0.6000,2.5119,407.26,534.33,314
0.2143,0.7857,0.6000,0.6000,2.5119,367.63,520.12,315
0.2420,0.7580,0.7000,0.6000,2.5119,331.35,505.23,316
0.2659,0.7341,0.8000,0.6000,2.5119,298.1,489.99,317
0.2923,0.7077,0.9000,0.6000,2.5119,268.13,475.49,318
0.3171,0.6829,1,0.6000,2.5119,240.39,459.61,319
0.4903,0.5097,0.9000,0.2000,1,374.81,355.87,32
0.9964,0.0036,0,0.7000,2.5119,50,52.193,320
0.1021,0.8979,0.1000,0.7000,2.5119,596.12,588.73,321
0.1219,0.8781,0.2000,0.7000,2.5119,544.41,574.3,322
0.1479,0.8521,0.3000,0.7000,2.5119,496.61,561.28,323
0.1714,0.8286,0.4000,0.7000,2.5119,452.92,548.11,324
0.1960,0.8040,0.5000,0.7000,2.5119,411.29,533.93,325
0.2218,0.7782,0.6000,0.7000,2.5119,370.08,516.88,326
0.2480,0.7520,0.7000,0.7000,2.5119,334.15,501.2,327
0.2732,0.7268,0.8000,0.7000,2.5119,300.73,485.31,328
0.2989,0.7011,0.9000,0.7000,2.5119,272.33,472.61,329
0.5028,0.4972,1,0.2000,1,350.25,348.15,33
0.3196,0.6804,1,0.7000,2.5119,245.88,456.69,330
1.0000,-2.6748e-05,0,0.8000,2.5119,0,0,331
0.1027,0.8973,0.1000,0.8000,2.5119,596.3,588.14,332
0.1287,0.8713,0.2000,0.8000,2.5119,545.9,574.77,333
0.1503,0.8497,0.3000,0.8000,2.5119,496.84,557.86,334
0.1779,0.8221,0.4000,0.8000,2.5119,453.54,545.63,335
0.2034,0.7966,0.5000,0.8000,2.5119,410.18,527.47,336
0.2322,0.7678,0.6000,0.8000,2.5119,371.78,511.46,337
0.2539,0.7461,0.7000,0.8000,2.5119,336.46,495.93,338
0.2798,0.7202,0.8000,0.8000,2.5119,306.59,484.14,339
1.0000,-6.5822e-06,0,0.3000,1,0,0,34
0.3063,0.6937,0.9000,0.8000,2.5119,275.09,465.71,340
0.3293,0.6707,1,0.8000,2.5119,246.89,447.61,341
1.0000,-2.8071e-05,0,0.9000,2.5119,0,0,342
0.1062,0.8938,0.1000,0.9000,2.5119,596.47,586.96,343
0.1306,0.8694,0.2000,0.9000,2.5119,545.57,571.41,344
0.1559,0.8441,0.3000,0.9000,2.5119,498.53,556.45,345
0.1814,0.8186,0.4000,0.9000,2.5119,454.15,539.98,346
0.2092,0.7908,0.5000,0.9000,2.5119,410.97,522.97,347
0.2352,0.7648,0.6000,0.9000,2.5119,375.12,508.47,348
0.2620,0.7380,0.7000,0.9000,2.5119,340.86,492.79,349
0.3825,0.6175,0.1000,0.3000,1,612.93,420.42,35
0.2875,0.7125,0.8000,0.9000,2.5119,308.82,476.76,350
0.3140,0.6860,0.9000,0.9000,2.5119,279.63,461.96,351
0.3385,0.6615,1,0.9000,2.5119,252.66,445.71,352
0.3969,0.6031,0.2000,0.3000,1,577.64,412.12,36
0.9999,7.6296e-05,0,1.0000e-04,3.9811,50,50.047,364
1.0000,-2.1356e-08,0.1000,1.0000e-04,3.9811,50,50.001,365
0.0653,0.9347,0.2000,1.0000e-04,3.9811,557.46,632.41,366
0.1219,0.8781,0.3000,1.0000e-04,3.9811,514.35,639.62,367
1.0000,3.7003e-06,0.4000,1.0000e-04,3.9811,50,50.001,368
0.0877,0.9123,0.5000,1.0000e-04,3.9811,330.24,593.35,369
0.4117,0.5883,0.3000,0.3000,1,543.86,402.51,37
0.1142,0.8858,0.6000,1.0000e-04,3.9811,360.24,611.77,370
0.1178,0.8822,0.7000,1.0000e-04,3.9811,309.4,595.18,371
0.1635,0.8365,0.8000,1.0000e-04,3.9811,261.92,591.57,372
0.1878,0.8122,0.9000,1.0000e-04,3.9811,182.03,528.96,373
0.2030,0.7970,1,1.0000e-04,3.9811,183.03,549.57,374
1.0000,-1.4690e-05,0,0.1000,3.9811,0,0,375
0.0226,0.9774,0.1000,0.1000,3.9811,591.39,634.58,376
0.0274,0.9726,0.2000,0.1000,3.9811,533.99,629.61,377
0.0441,0.9559,0.3000,0.1000,3.9811,477.95,623.07,378
0.0574,0.9426,0.4000,0.1000,3.9811,424.75,615.16,379
0.4252,0.5748,0.4000,0.3000,1,512.06,394.97,38
0.0758,0.9242,0.5000,0.1000,3.9811,372.57,605.06,380
0.0968,0.9032,0.6000,0.1000,3.9811,322.45,592.64,381
0.1174,0.8826,0.7000,0.1000,3.9811,279.07,579.43,382
0.1440,0.8560,0.8000,0.1000,3.9811,238.73,563.25,383
0.1733,0.8267,0.9000,0.1000,3.9811,204.53,547.6,384
0.1996,0.8004,1,0.1000,3.9811,169.84,525.44,385
0.9968,0.0032,0,0.2000,3.9811,50,51.925,386
0.0277,0.9723,0.1000,0.2000,3.9811,591.61,634.56,387
0.0325,0.9675,0.2000,0.2000,3.9811,534.33,629.07,388
0.0450,0.9550,0.3000,0.2000,3.9811,479.01,622.18,389
0.4391,0.5609,0.5000,0.3000,1,481.79,386.37,39
0.0580,0.9420,0.4000,0.2000,3.9811,423.53,612.25,390
0.0669,0.9331,0.5000,0.2000,3.9811,370.83,601.63,391
0.0992,0.9008,0.6000,0.2000,3.9811,324.3,588.73,392
0.1197,0.8803,0.7000,0.2000,3.9811,284.35,577.1,393
0.1495,0.8505,0.8000,0.2000,3.9811,241.97,560.02,394
0.1767,0.8233,0.9000,0.2000,3.9811,206.89,542.37,395
0.2110,0.7890,1,0.2000,3.9811,177.27,525.27,396
1.0000,-2.6122e-05,0,0.3000,3.9811,0,0,397
0.0242,0.9758,0.1000,0.3000,3.9811,591.53,633.98,398
0.0307,0.9693,0.2000,0.3000,3.9811,532.73,626.39,399
0.4080,0.5920,0.3000,1.0000e-04,1,527.19,428.99,4
0.4532,0.5468,0.6000,0.3000,1,453.04,377.86,40
0.0477,0.9523,0.3000,0.3000,3.9811,478.25,619.69,400
0.0644,0.9356,0.4000,0.3000,3.9811,424.82,610.26,401
0.0818,0.9182,0.5000,0.3000,3.9811,372.47,597.17,402
0.1063,0.8937,0.6000,0.3000,3.9811,327.23,585.13,403
0.1333,0.8667,0.7000,0.3000,3.9811,286.71,573.74,404
0.1589,0.8411,0.8000,0.3000,3.9811,251.04,560.16,405
0.1896,0.8104,0.9000,0.3000,3.9811,209.46,534.02,406
0.2152,0.7848,1,0.3000,3.9811,178.93,514.88,407
1.0000,-2.9406e-05,0,0.4000,3.9811,0,0,408
0.0297,0.9703,0.1000,0.4000,3.9811,592.07,633.93,409
0.4675,0.5325,0.7000,0.3000,1,425.76,369.41,41
0.0319,0.9681,0.2000,0.4000,3.9811,532.94,625.36,410
0.0554,0.9446,0.3000,0.4000,3.9811,479.8,618.33,411
0.0729,0.9271,0.4000,0.4000,3.9811,428.82,609.64,412
0.0858,0.9142,0.5000,0.4000,3.9811,375.56,595.21,413
0.1112,0.8888,0.6000,0.4000,3.9811,331.26,582.89,414
0.1360,0.8640,0.7000,0.4000,3.9811,288.33,567.08,415
0.1670,0.8330,0.8000,0.4000,3.9811,248.51,549.5,416
0.1960,0.8040,0.9000,0.4000,3.9811,216.2,533.27,417
0.2253,0.7747,1,0.4000,3.9811,186.43,514.8,418
1.0000,-3.3661e-05,0,0.5000,3.9811,0,0,419
0.4794,0.5206,0.8000,0.3000,1,400.95,362.11,42
0.0270,0.9730,0.1000,0.5000,3.9811,591.74,632.97,420
0.0425,0.9575,0.2000,0.5000,3.9811,535.39,625.82,421
0.0525,0.9475,0.3000,0.5000,3.9811,480.23,616.42,422
0.0811,0.9189,0.4000,0.5000,3.9811,431.13,607.12,423
0.0965,0.9035,0.5000,0.5000,3.9811,379.08,593.41,424
0.1191,0.8809,0.6000,0.5000,3.9811,334.18,579.26,425
0.1440,0.8560,0.7000,0.5000,3.9811,291.14,562.99,426
0.1708,0.8292,0.8000,0.5000,3.9811,256.2,548.1,427
0.2006,0.7994,0.9000,0.5000,3.9811,220.5,529.49,428
0.2311,0.7689,1,0.5000,3.9811,189.35,509.84,429
0.4933,0.5067,0.9000,0.3000,1,375.88,353.8,43
1.0000,-3.6737e-05,0,0.6000,3.9811,0,0,430
0.0297,0.9703,0.1000,0.6000,3.9811,592.05,632.58,431
0.0403,0.9597,0.2000,0.6000,3.9811,534.94,624.14,432
0.0538,0.9462,0.3000,0.6000,3.9811,478.7,613.78,433
0.0782,0.9218,0.4000,0.6000,3.9811,429.17,602.78,434
0.1004,0.8996,0.5000,0.6000,3.9811,379.75,589.16,435
0.1266,0.8734,0.6000,0.6000,3.9811,337.38,575.18,436
0.1507,0.8493,0.7000,0.6000,3.9811,294,558.56,437
0.1781,0.8219,0.8000,0.6000,3.9811,257.82,542.11,438
0.2074,0.7926,0.9000,0.6000,3.9811,227.24,527.3,439
0.5049,0.4951,1,0.3000,1,353.09,345.93,44
0.2395,0.7605,1,0.6000,3.9811,192.43,503.62,440
1.0000,-3.9790e-05,0,0.7000,3.9811,0,0,441
0.0326,0.9674,0.1000,0.7000,3.9811,592.23,631.9,442
0.0429,0.9571,0.2000,0.7000,3.9811,534.56,622.03,443
0.0633,0.9367,0.3000,0.7000,3.9811,480.56,611.04,444
0.0844,0.9156,0.4000,0.7000,3.9811,429.76,599.25,445
0.1079,0.8921,0.5000,0.7000,3.9811,381.56,584.64,446
0.1317,0.8683,0.6000,0.7000,3.9811,340.77,570.79,447
0.1580,0.8420,0.7000,0.7000,3.9811,298.92,554.75,448
0.1914,0.8086,0.8000,0.7000,3.9811,260.63,536.84,449
1.0000,-7.3823e-06,0,0.4000,1,0,0,45
0.2188,0.7812,0.9000,0.7000,3.9811,232.78,522.7,450
0.2470,0.7530,1,0.7000,3.9811,203.65,505.16,451
1.0000,-4.2377e-05,0,0.8000,3.9811,0,0,452
0.0374,0.9626,0.1000,0.8000,3.9811,592.4,631.39,453
0.0477,0.9523,0.2000,0.8000,3.9811,535.65,620.69,454
0.0677,0.9323,0.3000,0.8000,3.9811,483.45,610.5,455
0.0891,0.9109,0.4000,0.8000,3.9811,431.12,595.73,456
0.1019,0.8981,0.5000,0.8000,3.9811,386.46,581.85,457
0.1415,0.8585,0.6000,0.8000,3.9811,343.39,568.54,458
0.1666,0.8334,0.7000,0.8000,3.9811,301.2,547.39,459
0.3823,0.6177,0.1000,0.4000,1,612.99,420.42,46
0.1985,0.8015,0.8000,0.8000,3.9811,265.67,531.15,460
0.2288,0.7712,0.9000,0.8000,3.9811,237.16,518.9,461
0.2592,0.7408,1,0.8000,3.9811,207.65,499.05,462
1.0000,-4.4501e-05,0,0.9000,3.9811,0,0,463
0.0319,0.9681,0.1000,0.9000,3.9811,591.7,629.56,464
0.0473,0.9527,0.2000,0.9000,3.9811,536.63,619.2,465
0.0701,0.9299,0.3000,0.9000,3.9811,482.04,605.58,466
0.0687,0.9313,0.4000,0.9000,3.9811,426.12,586.39,467
0.1225,0.8775,0.5000,0.9000,3.9811,386.24,575.36,468
0.1457,0.8543,0.6000,0.9000,3.9811,343.97,559.02,469
0.3973,0.6027,0.2000,0.4000,1,577.66,410.79,47
0.1808,0.8192,0.7000,0.9000,3.9811,305.76,543.47,470
0.2063,0.7937,0.8000,0.9000,3.9811,272.62,527.38,471
0.2369,0.7631,0.9000,0.9000,3.9811,239.27,507.71,472
0.2659,0.7341,1,0.9000,3.9811,210.27,488.4,473
0.4120,0.5880,0.3000,0.4000,1,544.2,402.22,48
0.9999,1.2153e-04,0,1.0000e-04,6.3096,50,50.074,485
-0.0061,1.0061,0.1000,1.0000e-04,6.3096,583.94,647.62,486
0.0432,0.9568,0.2000,1.0000e-04,6.3096,529.71,647.77,487
0.0262,0.9738,0.3000,1.0000e-04,6.3096,450.52,643.74,488
-0.0513,1.0513,0.4000,1.0000e-04,6.3096,353.97,622.88,489
0.4262,0.5738,0.4000,0.4000,1,512.59,394.41,49
0.0254,0.9746,0.5000,1.0000e-04,6.3096,374.58,639.72,490
0.0553,0.9447,0.6000,1.0000e-04,6.3096,281.92,624.64,491
0.0784,0.9216,0.7000,1.0000e-04,6.3096,207.62,603.05,492
0.0747,0.9253,0.8000,1.0000e-04,6.3096,235.76,618.69,493
0.1007,0.8993,0.9000,1.0000e-04,6.3096,176.7,597.58,494
0.1322,0.8678,1,1.0000e-04,6.3096,112.56,544.31,495
1.0000,-2.3314e-05,0,0.1000,6.3096,0,0,496
0.0054,0.9946,0.1000,0.1000,6.3096,590.07,648.14,497
0.0060,0.9940,0.2000,0.1000,6.3096,531.65,646.95,498
0.0077,0.9923,0.3000,0.1000,6.3096,470.66,644.38,499
0.4183,0.5817,0.4000,1.0000e-04,1,497.17,447.78,5
0.4406,0.5594,0.5000,0.4000,1,482.42,385.4,50
0.0125,0.9875,0.4000,0.1000,6.3096,412.8,641.14,500
0.0221,0.9779,0.5000,0.1000,6.3096,359.29,636.54,501
0.0354,0.9646,0.6000,0.1000,6.3096,304.54,629.3,502
0.0530,0.9470,0.7000,0.1000,6.3096,251.94,618.1,503
0.0740,0.9260,0.8000,0.1000,6.3096,205.75,603.71,504
0.1032,0.8968,0.9000,0.1000,6.3096,168.03,587.62,505
0.1369,0.8631,1,0.1000,6.3096,131.65,562.45,506
1.0000,-3.2775e-05,0,0.2000,6.3096,0,0,507
0.0073,0.9927,0.1000,0.2000,6.3096,590.37,648.04,508
0.0040,0.9960,0.2000,0.2000,6.3096,530.52,646.44,509
0.4548,0.5452,0.6000,0.4000,1,453.77,376.69,51
0.0138,0.9862,0.3000,0.2000,6.3096,472.69,644.03,510
0.0277,0.9723,0.4000,0.2000,6.3096,419.17,640.46,511
0.0260,0.9740,0.5000,0.2000,6.3096,355.55,634.33,512
0.0483,0.9517,0.6000,0.2000,6.3096,302.25,626.25,513
0.0641,0.9359,0.7000,0.2000,6.3096,258.74,617.42,514
0.0882,0.9118,0.8000,0.2000,6.3096,203.65,597.6,515
0.1149,0.8851,0.9000,0.2000,6.3096,173.03,583.23,516
0.1499,0.8501,1,0.2000,6.3096,136.46,562.42,517
1.0000,-4.1632e-05,0,0.3000,6.3096,0,0,518
0.0051,0.9949,0.1000,0.3000,6.3096,589.72,647.76,519
0.4682,0.5318,0.7000,0.4000,1,427,368.89,52
0.0124,0.9876,0.2000,0.3000,6.3096,532.52,646.26,520
0.0034,0.9966,0.3000,0.3000,6.3096,469.03,642.48,521
0.0194,0.9806,0.4000,0.3000,6.3096,414.62,639.1,522
0.0286,0.9714,0.5000,0.3000,6.3096,358.77,631.8,523
0.0512,0.9488,0.6000,0.3000,6.3096,308.4,623.81,524
0.0625,0.9375,0.7000,0.3000,6.3096,254.53,608.92,525
0.0871,0.9129,0.8000,0.3000,6.3096,209.18,591.73,526
0.1229,0.8771,0.9000,0.3000,6.3096,175.53,579.25,527
0.1599,0.8401,1,0.3000,6.3096,143.42,555.39,528
1.0000,-4.6648e-05,0,0.4000,6.3096,0,0,529
0.4813,0.5187,0.8000,0.4000,1,401.8,361.46,53
-0.0074,1.0074,0.1000,0.4000,6.3096,589.92,647.61,530
0.0087,0.9913,0.2000,0.4000,6.3096,530.52,645.59,531
0.0121,0.9879,0.3000,0.4000,6.3096,471.84,642.23,532
0.0210,0.9790,0.4000,0.4000,6.3096,414.79,636.95,533
0.0316,0.9684,0.5000,0.4000,6.3096,357.06,628.73,534
0.0476,0.9524,0.6000,0.4000,6.3096,306.23,618.84,535
0.0692,0.9308,0.7000,0.4000,6.3096,262.14,607.42,536
0.0908,0.9092,0.8000,0.4000,6.3096,216.25,590.09,537
0.1249,0.8751,0.9000,0.4000,6.3096,176.64,569.48,538
0.1590,0.8410,1,0.4000,6.3096,149.82,551.97,539
0.4951,0.5049,0.9000,0.4000,1,377.48,352.47,54
1.0001,-5.3088e-05,0,0.5000,6.3096,0,0,540
0.0029,0.9971,0.1000,0.5000,6.3096,589.93,647.44,541
0.0215,0.9785,0.2000,0.5000,6.3096,534.24,645.72,542
0.0209,0.9791,0.3000,0.5000,6.3096,475.71,641.77,543
0.0216,0.9784,0.4000,0.5000,6.3096,415.99,635.49,544
0.0319,0.9681,0.5000,0.5000,6.3096,361.39,627.27,545
0.0550,0.9450,0.6000,0.5000,6.3096,314.75,617.5,546
0.0827,0.9173,0.7000,0.5000,6.3096,257.89,600.89,547
0.1102,0.8898,0.8000,0.5000,6.3096,212.04,580.19,548
0.1358,0.8642,0.9000,0.5000,6.3096,178.97,563.83,549
0.5078,0.4922,1,0.4000,1,354.91,344.87,55
0.1704,0.8296,1,0.5000,6.3096,149.87,544.43,550
1.0001,-5.8570e-05,0,0.6000,6.3096,0,0,551
0.0046,0.9954,0.1000,0.6000,6.3096,590.11,647.2,552
0.0044,0.9956,0.2000,0.6000,6.3096,530.5,644.32,553
0.0149,0.9851,0.3000,0.6000,6.3096,473.78,640.2,554
0.0281,0.9719,0.4000,0.6000,6.3096,418.18,633.74,555
0.0419,0.9581,0.5000,0.6000,6.3096,362.27,624.31,556
0.0650,0.9350,0.6000,0.6000,6.3096,313.52,614.17,557
0.0915,0.9085,0.7000,0.6000,6.3096,262.54,597,558
0.1082,0.8918,0.8000,0.6000,6.3096,224.59,582.21,559
1.0000,-8.4067e-06,0,0.5000,1,0,0,56
0.1422,0.8578,0.9000,0.6000,6.3096,187.53,560.49,560
0.2179,0.7821,1,0.6000,6.3096,184.97,546.62,561
1.0001,-6.2908e-05,0,0.7000,6.3096,0,0,562
0.0472,0.9528,0.1000,0.7000,6.3096,595.32,648.07,563
-0.0020,1.0020,0.2000,0.7000,6.3096,529.17,643.22,564
0.0337,0.9663,0.3000,0.7000,6.3096,485.98,640.87,565
0.0292,0.9708,0.4000,0.7000,6.3096,416.42,630.51,566
0.0486,0.9514,0.5000,0.7000,6.3096,365.04,621.3,567
0.0683,0.9317,0.6000,0.7000,6.3096,314.64,607.78,568
0.1011,0.8989,0.7000,0.7000,6.3096,278.63,596.13,569
0.3832,0.6168,0.1000,0.5000,1,613.01,420.06,57
0.1232,0.8768,0.8000,0.7000,6.3096,234.53,578.03,570
0.1466,0.8534,0.9000,0.7000,6.3096,189.25,550.22,571
0.1791,0.8209,1,0.7000,6.3096,158.86,532.51,572
1.0001,-6.6904e-05,0,0.8000,6.3096,0,0,573
0.0146,0.9854,0.1000,0.8000,6.3096,591.42,646.88,574
0.0166,0.9834,0.2000,0.8000,6.3096,532.65,642.85,575
0.0234,0.9766,0.3000,0.8000,6.3096,473.95,636.67,576
0.0309,0.9691,0.4000,0.8000,6.3096,417.4,627.34,577
0.0482,0.9518,0.5000,0.8000,6.3096,368.43,617.75,578
0.0795,0.9205,0.6000,0.8000,6.3096,316.07,601.49,579
0.3986,0.6014,0.2000,0.5000,1,577.83,410.85,58
0.1024,0.8976,0.7000,0.8000,6.3096,273.59,586.49,580
0.1347,0.8653,0.8000,0.8000,6.3096,238.78,574.51,581
0.1593,0.8407,0.9000,0.8000,6.3096,205.57,552.1,582
0.2010,0.7990,1,0.8000,6.3096,170.52,533.61,583
1.0001,-7.0481e-05,0,0.9000,6.3096,0,0,584
0.0015,0.9985,0.1000,0.9000,6.3096,590.58,646.22,585
0.0150,0.9850,0.2000,0.9000,6.3096,532.53,641.58,586
0.0215,0.9785,0.3000,0.9000,6.3096,472.38,633.39,587
0.0535,0.9465,0.4000,0.9000,6.3096,421.24,624.92,588
0.0608,0.9392,0.5000,0.9000,6.3096,372.08,614.07,589
0.4136,0.5864,0.3000,0.5000,1,544.42,401.82,59
0.0844,0.9156,0.6000,0.9000,6.3096,325.87,600.17,590
0.1148,0.8852,0.7000,0.9000,6.3096,278.18,581.15,591
0.1474,0.8526,0.8000,0.9000,6.3096,243.31,568.2,592
0.1743,0.8257,0.9000,0.9000,6.3096,202.98,540.5,593
0.2047,0.7953,1,0.9000,6.3096,173.03,520.29,594
0.4284,0.5716,0.5000,1.0000e-04,1,489.93,419.08,6
0.4287,0.5713,0.4000,0.5000,1,512.57,392.05,60
0.9998,1.8737e-04,0,1.0000e-04,10,50,50.114,606
-9.3206e-04,1.0009,0.1000,1.0000e-04,10,587.12,649.93,607
0.0014,0.9986,0.2000,1.0000e-04,10,526.84,649.83,608
0.0214,0.9786,0.3000,1.0000e-04,10,484.34,649.77,609
