f_D,j_C_C,j_C_H,Re_C,Re_C_std,Re_H,Re_H_std,rmsd_fiber,rmsd_TC,rmsd_DP,rmsd_Tout,rmsd_qdot,DP_C,DP_H,T_C_out,T_H_out,qdot_C,qdot_H
2.5119,0.0016,0.0501,2.5451e+03,515.8262,2.9830e+03,575.0281,40.2221,26.0640,2.5781e+04,46.5983,1.1946e+03,2.1593e+04,4.1012e+04,350.5748,99.3368,8.2489e+03,-8.1951e+03
2.5119,0.0016,0.1000,2.5437e+03,515.8459,2.9830e+03,575.2742,40.5657,25.6298,2.5754e+04,45.5558,1.1672e+03,2.1642e+04,4.0944e+04,351.8119,98.5348,8.2762e+03,-8.2231e+03
2.5119,0.0032,1.0000e-04,2.3710e+03,487.7639,2.5408e+03,390.6290,201.9718,237.4953,3.4142e+04,307.1761,7.3480e+03,1.0387e+04,5.6293e+04,91.3854,363.4108,2.0629e+03,-2.0547e+03
2.5119,0.0032,1.9953e-04,2.5568e+03,552.1494,2.6342e+03,419.0343,173.2029,200.7122,3.2190e+04,255.1234,6.0398e+03,1.2740e+04,5.3208e+04,135.5734,302.6725,3.3740e+03,-3.3607e+03
2.5119,0.0032,3.9811e-04,2.6227e+03,550.5726,2.7585e+03,467.9248,132.7378,149.8981,2.9958e+04,188.6067,4.5196e+03,1.5506e+04,4.9440e+04,199.3990,232.5042,4.8997e+03,-4.8768e+03
2.5119,0.0032,7.9433e-04,2.6069e+03,534.3248,2.8848e+03,527.5722,91.7914,100.3883,2.7906e+04,125.4204,3.0996e+03,1.7998e+04,4.5714e+04,263.6321,169.5520,6.3274e+03,-6.2920e+03
2.5119,0.0032,0.0016,2.5686e+03,525.6210,2.9717e+03,568.7563,59.4718,62.2927,2.6352e+04,78.0668,1.9938e+03,1.9863e+04,4.2677e+04,314.5069,125.5033,7.4416e+03,-7.3946e+03
2.5119,0.0032,0.0032,2.5347e+03,522.8061,3.0030e+03,580.4967,38.7232,37.4508,2.5366e+04,48.0343,1.2486e+03,2.1098e+04,4.0600e+04,348.8678,100.4372,8.1946e+03,-8.1404e+03
2.5119,0.0032,0.0063,2.5114e+03,522.4973,3.0009e+03,581.0914,28.1614,23.1629,2.4819e+04,30.8685,801.5144,2.1840e+04,3.9363e+04,369.5512,87.7233,8.6499e+03,-8.5922e+03
2.5119,0.0032,0.0126,2.4974e+03,522.9388,2.9910e+03,580.3947,24.0337,15.7572,2.4534e+04,21.6558,556.0580,2.2251e+04,3.8686e+04,381.0456,81.4874,8.9038e+03,-8.8451e+03
0.0100,0.0501,0.0032,2.4799e+03,528.9030,3.0037e+03,580.6584,53.9142,33.6753,6.9265e+03,17.2887,456.0566,87.1190,149.6008,386.7860,78.8968,9.0058e+03,-8.9526e+03
2.5119,0.0032,0.0251,2.4896e+03,523.3842,2.9833e+03,579.7136,22.7300,12.2490,2.4389e+04,16.8940,429.3644,2.2468e+04,3.8332e+04,387.1312,78.4261,9.0385e+03,-8.9797e+03
