ineff,eff,alpha,NTU,C_r,T_C_out,T_H_out,m_dot_C,m_dot_H,ConvSteps,run
-0.0057,1.0057,0.8000,39.8110,0.1000,650,590.67,0.0431,0.4357,60,1058
-0.0017,1.0017,0.8000,39.8110,0.2000,650,530.67,0.0437,0.2179,60,1059
0.4655,0.5345,0.9000,1,0.6000,370.69,457.58,1.7373,2.8924,60,106
-0.0117,1.0117,0.8000,39.8110,0.3000,650,468.32,0.0427,0.1448,60,1060
-0.0100,1.0100,0.8000,39.8110,0.4000,649.99,404.24,0.0442,0.1089,60,1061
-0.0069,1.0069,0.8000,39.8110,0.5000,649.92,349.91,0.0430,0.0869,60,1062
-8.9391e-04,1.0009,0.8000,39.8110,0.6000,649.41,289.53,0.0435,0.0726,60,1063
0.0046,0.9954,0.8000,39.8110,0.7000,647.24,231.69,0.0436,0.0622,15,1064
0.0156,0.9844,0.8000,39.8110,0.8000,640.61,177.3,0.0436,0.0544,60,1065
0.0406,0.9594,0.8000,39.8110,0.9000,626.48,132.22,0.0436,0.0483,60,1066
0.0761,0.9239,0.8000,39.8110,1,603.45,97.87,0.0438,0.0434,60,1067
-0.0026,1.0026,0.9000,39.8110,0.0100,650,643.98,0.0436,4.3556,27,1068
-0.0028,1.0028,0.9000,39.8110,0.1000,650,589.6,0.0437,0.4353,60,1069
0.4800,0.5200,0.9000,1,0.7000,361.98,431.58,1.7371,2.4770,19,107
-0.0014,1.0014,0.9000,39.8110,0.2000,650,528.9,0.0438,0.2175,60,1070
0.0109,0.9891,0.9000,39.8110,0.3000,650,471.88,0.0436,0.1452,60,1071
-0.0049,1.0049,0.9000,39.8110,0.4000,649.97,407.96,0.0439,0.1089,60,1072
-0.0130,1.0130,0.9000,39.8110,0.5000,649.69,344.68,0.0440,0.0871,60,1073
0.0050,0.9950,0.9000,39.8110,0.6000,648.64,292.35,0.0435,0.0730,60,1074
0.0032,0.9968,0.9000,39.8110,0.7000,644.21,231.38,0.0435,0.0622,60,1075
0.0241,0.9759,0.9000,39.8110,0.8000,636.69,186.39,0.0437,0.0548,60,1076
0.0492,0.9508,0.9000,39.8110,0.9000,617.85,136.42,0.0436,0.0486,60,1077
0.0845,0.9155,0.9000,39.8110,1,591.8,103.15,0.0437,0.0434,60,1078
-1.8449e-04,1.0002,1,39.8110,0.0100,650,644,0.0436,4.3639,60,1079
0.4939,0.5061,0.9000,1,0.8000,353.57,407.2,1.7364,2.1679,60,108
-1.6785e-04,1.0002,1,39.8110,0.1000,650,590.45,0.0434,0.4365,60,1080
0.0109,0.9891,1,39.8110,0.2000,650,530.28,0.0439,0.2180,60,1081
4.0334e-04,0.9996,1,39.8110,0.3000,649.99,469.35,0.0437,0.1453,60,1082
0.0051,0.9949,1,39.8110,0.4000,649.86,409,0.0440,0.1093,60,1083
0.0012,0.9988,1,39.8110,0.5000,649.09,350.38,0.0436,0.0873,60,1084
0.0011,0.9989,1,39.8110,0.6000,646.45,293.28,0.0432,0.0729,60,1085
0.0171,0.9829,1,39.8110,0.7000,639.59,237.24,0.0436,0.0623,60,1086
0.0377,0.9623,1,39.8110,0.8000,627.14,188.2,0.0436,0.0545,16,1087
0.0694,0.9306,1,39.8110,0.9000,611.22,150.45,0.0436,0.0486,60,1088
0.0974,0.9026,1,39.8110,1,587.27,118.78,0.0429,0.0433,60,1089
0.5078,0.4922,0.9000,1,0.9000,345.34,384.13,1.7372,1.9270,60,109
-0.0188,1.0188,0,63.0960,0.0100,650,643.78,0.0280,2.7533,60,1090
0.0014,0.9986,0,63.0960,0.1000,650,590.37,0.0274,0.2750,60,1091
6.7800e-04,0.9993,0,63.0960,0.2000,650,529.41,0.0277,0.1380,60,1092
0.0096,0.9904,0,63.0960,0.3000,650,473.68,0.0272,0.0920,60,1093
-4.9932e-04,1.0005,0,63.0960,0.4000,650,410.57,0.0275,0.0686,60,1094
-0.0013,1.0013,0,63.0960,0.5000,650,349.58,0.0275,0.0550,14,1095
-0.0069,1.0069,0,63.0960,0.6000,650,282.28,0.0279,0.0463,60,1096
-7.8750e-04,1.0008,0,63.0960,0.7000,650,229.66,0.0275,0.0393,15,1097
-0.0068,1.0068,0,63.0960,0.8000,650,170.38,0.0274,0.0343,60,1098
0.0058,0.9942,0,63.0960,0.9000,649.95,120.41,0.0272,0.0313,60,1099
0.4999,0.5001,0,1,1,349.94,349.97,1.7372,1.7371,60,11
0.5201,0.4799,0.9000,1,1,337.36,362.5,1.7377,1.7342,60,110
0.0091,0.9909,0,63.0960,1,641.82,61.883,0.0277,0.0275,60,1100
-0.0029,1.0029,0.1000,63.0960,0.0100,650,643.85,0.0281,2.7327,60,1101
-0.0136,1.0136,0.1000,63.0960,0.1000,650,588.35,0.0279,0.2732,60,1102
0.0136,0.9864,0.1000,63.0960,0.2000,650,532.1,0.0274,0.1366,60,1103
-0.0078,1.0078,0.1000,63.0960,0.3000,650,468.02,0.0276,0.0910,60,1104
0.0011,0.9989,0.1000,63.0960,0.4000,650,408.59,0.0277,0.0683,60,1105
0.0026,0.9974,0.1000,63.0960,0.5000,650,368.59,0.0259,0.0547,60,1106
0.0083,0.9917,0.1000,63.0960,0.6000,650,300.61,0.0269,0.0456,60,1107
4.2443e-05,1.0000,0.1000,63.0960,0.7000,650,229.48,0.0275,0.0390,14,1108
-3.4300e-06,1.0000,0.1000,63.0960,0.8000,650,169.58,0.0275,0.0342,18,1109
0.3697,0.6303,1,1,0.0100,428.15,646.22,1.7372,173.7168,60,111
0.0012,0.9988,0.1000,63.0960,0.9000,649.73,110.88,0.0276,0.0305,60,1110
0.0041,0.9959,0.1000,63.0960,1,637.76,57.928,0.0278,0.0274,60,1111
0.0042,0.9958,0.2000,63.0960,0.0100,650,644.06,0.0273,2.7387,60,1112
-0.0017,1.0017,0.2000,63.0960,0.1000,650,590.6,0.0272,0.2739,60,1113
0.0063,0.9937,0.2000,63.0960,0.2000,650,530.75,0.0275,0.1369,60,1114
-1.3377e-05,1.0000,0.2000,63.0960,0.3000,650,470.33,0.0274,0.0913,60,1115
-7.3656e-04,1.0007,0.2000,63.0960,0.4000,650,409.65,0.0275,0.0685,60,1116
0.0033,0.9967,0.2000,63.0960,0.5000,650,353.7,0.0272,0.0546,60,1117
-0.0137,1.0137,0.2000,63.0960,0.6000,650,285.94,0.0274,0.0457,60,1118
-2.2919e-05,1.0000,0.2000,63.0960,0.7000,650,229.54,0.0275,0.0391,20,1119
0.3860,0.6140,1,1,0.1000,418.41,613.16,1.7372,17.3717,25,112
0.0057,0.9943,0.2000,63.0960,0.8000,649.98,173.25,0.0275,0.0342,60,1120
0.0041,0.9959,0.2000,63.0960,0.9000,648.93,111.83,0.0275,0.0303,60,1121
0.0239,0.9761,0.2000,63.0960,1,635.79,66.389,0.0276,0.0274,60,1122
0.0091,0.9909,0.3000,63.0960,0.0100,650,644.15,0.0271,2.7404,60,1123
-0.0011,1.0011,0.3000,63.0960,0.1000,650,589.89,0.0275,0.2740,37,1124
